RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
271942|622030|492886|0|3051|759199|907192|68367|51851|0|0|0|0|0|0|||||
284082|10005|10950|||0|0|0|0|0|0|0|0|0|0|10005||||
301507|7547|6973|||0|0|0|0|0|0|0|0|0|0|7547||||
274489|46756|63148|||0|0|0|0|0|0|0|0|0|0|46756||||
275166|57908|94066|||0|0|3765|4385|0|0|0|0|0|0|61673||||
277824|9014|13186|||0|0|42000|40534|0|0|0|250|0|9809|51014||||
297825|4381|3368|||||||||67465|66718|||71846||||
277268|72194|95190|||0|0|0|0|0|0|0|0|0|0|72194||||
274737|4060|6625|||0|0|0|0|0|0|0|0|0|0|4060||||
264926|40306|41374|||0|0|1844|1844|0|0|0|0|0|0|42150||||
268608|14391|19656|||0|0|0|0|0|0|0|0|0|0|14391||||
270974|21036|18918|||0|0|0|0|0|0|0|0|0|0|21036||||
267949|26608|44138|||0|0|0|0|0|0|0|0|0|0|26608||||
244067|15209|9580|||45310|54421|9600|9600|||||||70119||||
330767|51634|59473|||0|0|0|0|0|0|0|0|0|0|51634||||
274067|36662|43163|||0||0||0||152|152|0||36814||||
277996|36371|28230|||||||||||||36371||||
268227|10893|14131|||0|0|0|0|0|0|0|0|0|0|10893||||
277573|2991|2309|||0|0|162|130|0|0|0|0|0|0|3153||||
266711|14605|11888|||0|0|0|0|0|0|0|0|0|0|14605||||
274947|16295|24185|||0|0|0|0|0|0|0|0|0|0|16295||||
277193|15742|19595|||0|0|0|0|0|0|0|0|0|0|15742||||
242416|33149|49173|||||||||||||33149||||
275556|7553|7810|||0|0|0|0|0|0|0|0|0|0|7553||||
266269|19193|7851|||0|0|6370|6370|0|0|0|0|0|0|25563||||
262395|47630|50265|||0|0|0|0|0|0|0|0|0|0|47630||||
282195|3734|5268|||0|0|0|0|0|0|0|0|0|0|3734||||
278615|122898|226267|0|0|0|0|546746|526834|0|0|0|0|0|0|||||
277014|7869|3807|||0|0|0|0|0|0|0|0|0|0|7869||||
298334|35898|63797|||17000|17000|0|0|0|0|0|0|0|0|52898||||
277142|44981|42812|||0|0|0|0|0|0|0|0|0|0|44981||||
272802|57292|57992|||0|0|0|0|0|0|0|0|0|0|57292||||
279001|862|11|||||750|750|||||||1612||||
245131|1223948|1595217|0|0|0|0|96838|78459|247951|258473|0|0|0|0|1568737||||
263937|42422|46125|||0|0|0|0|0|0|0|0|0|0|42422||||
245364|745485|629956|0|0|0|0|326566|309427|0|0|139|139|0|0|1072190||||
265959|32259|31434|||0||0||0||0||0||32259||||
309616|43055|37320|||0|0|1048|1522|0|0|0|0|0|0|44103||||
254010|96977|95394|||0|0|0|0|0|0|0|0|0|0|96977||||
248837|1469653|1257325|0|25085|1406868|1432078|89625|74579|0|0|0|0|0|0|||||
243100|123032|123027|||0|0|0|0|0|0|0|0|0|0|123032||||
266416|199732|195706|0|0|0|0|0|0|0|0|0|0|0|0|||||
309007|545966|517449|0|0|0|0|707302|677871|0|0|18915|5070|0|0|||||
250701|16501|19759|||0|0|14632|14632|0|0|0|0|0|0|31133||||
251231|22191|25586|||0|0|0|0|0|0|0|0|0|0|22191||||
247902|4626|9542|||0|0|0|0|0|0|0|0|0|0|4626||||
280243|104398|109665|||0|0|0|0|0|0|0|0|0|0|104398||||
278837|36520|45342|||0|0|2790|2790|0|0|0|0|0|0|39310||||
247167|159795|69479|||0|0|0|0|0|0|0|0|0|0|159795||||
272199|31338|52578|0|0|0|0|2765|2765|0|0|0|0|0|0|||||
281000|26902|25789|||174624|179007|369|224|0|0|139|139|0|0|202034||||
278416|56776|63639|||0||0||0||0||0||56776||||
268012|109389|117471|||0|0|0|0|0|0|0|0|0|0|109389||||
286199|27958|19499|||0|0|0|0|0|0|0|0|0|0|27958||||
270045|43763|35733|||0|0|14522|14522|0|0|0|0|0|0|58285||||
271790|49704|49836|||0|0|322|182|0|0|0|0|0|0|50026||||
279399|44405|58901|||0|0|0|0|0|0|1100|1100|0|0|45505||||
276613|73366|66268|||0|0|0|0|0|0|0|0|0|0|73366||||
271768|50692|52314|||0||0||0||0||0||50692||||
339984|14061|18182|||0|0|0|0|0|0|116|116|0|0|14177||||
258180|11583|1083|||0|0|0|0|0|0|0|0|0|0|11583||||
274751|20970|20372|0|0|0|0|376936|368186|0|0|0|0|0|0|||||
272340|24338|147561|0|170793|0|0|7797|6379|0|0|0|0|0|0|||||
272853|23471|24817|||0|0|0|0|0|0|8000|8000|0|0|31471||||
264581|32840|36481|||0|0|0|0|0|0|0|0|0|0|32840||||
274478|14200|12410|||0|0|0|0|0|0|0|0|0|0|14200||||
278259|5878|6381|||0|0|0|0|0|0|0|0|0|0|5878||||
280963|534|1094|||0|0|0|0|0|0|0|0|0|0|534||||
271725|2450954|2189274|0|0|0|0|153111|156922|0|0|0|0|8800|6400|||||
295374|418771|421515|0|0|0|0|147748|951796|0|0|0|0|0|0|||||
277601|27552|27274|||0|0|0|0|0|0|0|0|0|0|27552||||
301908|287505|197586|0|0|0|0|27401|27401|0|0|0|0|0|0|||||
273462|228550|239103|709755|168820|2214094|2161820|1041965|1326080|64908|60228|117|11132|0|0|||||
282430|14292|10725|||||98636|98636|||||||112928||||
267004|21432|21482|||0|0|0|0|0|0|0|0|0|0|21432||||
280359|113568|97803|||50532|51448|454|257|0|0|0|0|30000|30000|194554||||
266572|254915|283172|0|0|0|0|0|0|0|0|0|0|0|0|||||
266544|52406|50490|||0|0|20896|21318|0|0|0|0|0|0|73302||||
269022|11574|10402|||0|0|0|0|0|0|1600|1600|0|0|13174||||
277672|84906|84364|||0|0|0|0|0|0|0|0|0|0|84906||||
278982|58688|45603|||0|0|0|0|0|0|0|0|0|0|58688||||
301540|1973|3056|||0|0|85889|85889|0|0|3250|3250|0|0|91112||||
263751|40461|48763|||132155|134026|2257|2257|0|0|0|0|0|0|174873||||
276499|56606|79931|||0|0|0|0|0|0|0|0|0|0|56606||||
274348|47197|46307|||5000|0|10000|10000|0|0|0|0|0|0|62197||||
263828|13238|14944|||0|0|0|0|0|0|0|0|0|0|13238||||
273535|32337|33604|||0|0|50000|50000|0|0|2000|2000|0|0|84337||||
260952|4636|10678|||0|0|0|0|0|0|0|0|0|0|4636||||
275627|25422|6688|||0|0|4491|4042|0|0|3503|3994|0|0|33416||||
274889|87777|98579|||2445|2445|||||||||90222||||
273778|398096|578123|210206|206489|0|0|26306|18302|0|0|-12916|-12836|13264|12916|||||
244202|634|18180|||10699|10879|1405|1405|0|0|0|0|0|0|12738||||
358437|10994|6344|38491|57467|14000|14000|18010|16235|0|0|0|0|0|0|||||
264387|3893|2399|||0|0|0|0|0|0|0|0|0|0|3893||||
285795|6082|0|0|0|0|0|266995|266995|0|0|0|0|0|0|273077||||
270776|47831|36778|0|0|1626577|1729361|16184|19479|0|0|0|0|0|0|||||
263931|37795|0|||87116|0|2600|0|0|0|0|0|0|0|127511||||
282155|45115|33697|||0|0|1034|1034|0|0|0|0|0|0|46149||||
281259|68595|67635|||0||884|884|0||0||0||69479||||
331155|1829109|1797284|0|0|1000|0|33763|52847|0|0|0|0|0|0|||||
262053|6485|7562|||0|0|0|0|0|0|0|0|0|0|6485||||
266286|83873|66037|||0|0|80191|80191|0|0|3072|3072|0|0|167136||||
264454|26105|36777|||0|0|0|0|0|0|400|800|0|0|26505||||
274773|106616|96952|0|0|0|0|237188|237612|0|0|0|0|0|0|||||
268304|14794|16953|||0|0|0|0|0|0|0|0|0|0|14794||||
277435|114054|103799|||0|0|938|938|0|0|0|0|0|0|114992||||
280346|11651|10032|||11849|11987|37000|37000|0|0|10350|10350|0|0|70850||||
281461|9706|8735|||||||||||||9706||||
280784|10321|12270|||0|0|0|0|0|0|0|0|0|0|10321||||
269117|21657|19451|||||||||||||||||
294538|65062|133921|||0|0|0|0|0|0|0|0|0|0|65062||||
289516|41653|42680|||0|0|3800|3800|0|0|0|0|0|0|45453||||
266999|21415|21349|||0|0|0|0|0|0|0|0|0|0|21415||||
284105|73750|83022|||0||0||0||0||0||73750||||
280176|1554|1306|||84409|80414|738|738|0|0|0|0|0|0|86701||||
286675|142679|173245|||0|0|0|0|0|0|1570|1570|0|0|144249||||
275755|38241|52714|||0|0|5321|8748|0|0|0|0|0|0|43562||||
269153|33062|33582|||0|0|1918|2004|0|0|0|0|0|0|34980||||
265743|17911|26433|||0|0|0|0|0|0|0|0|0|0|17911||||
282577|9690|6538|||0|0|0|0|0|0|0|0|0|0|9690||||
270482|9856|12559|||0|0|0|2746|0|0|0|0|0|0|9856||||
284089|47755|49468|||0|0|5685|5685|0|0|0|0|0|0|53440||||
282852|45655|39151|||0|0|41575|41575|0|0|0|0|0|0|87230||||
297456|14486|15080|||0|0|0|0|0|0|0|0|0|0|14486||||
284020|21558|24254|||0|0|0|0|0|0|0|0|0|0|21558||||
298647|66659|54697|||253|253|5667|5667|0|0|0|0|0|0|72579||||
282565|25662|45871|||0|0|0|0|0|0|8106|8106|0|0|33768||||
285494|33377|37250|||0|0|9344|9344|0|0|0|1500|0|0|42721||||
276719|3837|15514|||0|0|0|0|0|0|0|0|0|0|3837||||
261523|28364|29033|||0|0|0|0|0|0|0|0|0|0|28364||||
286162|79197|86926|||0|0|0|0|0|0|0|0|0|0|79197||||
272627|151101|153237|0|0|33|33|30771|24329|0|0|0|0|0|0|||||
279741|18126|22612|||0|0|0|0|0|0|0|0|0|0|18126||||
371763|1668|2771|||0|0|0|0|0|0|0|0|0|0|1668||||
265629|23169|35101|||0|0|3313|3313|0|0|0|0|0|0|26482||||
297454|29168|32107|||0|0|4000|4000|0|0|0|0|0|0|33168||||
298447|63967|71306|||0|0|6554|6554|0|0|0|0|0|0|70521||||
264981|18551|15676|||0|0|64|10|0|0|0|0|0|0|18615||||
277290|39933|41086|||0|0|0|0|0|0|0|0|0|0|39933||||
282144|157563|131521|||0|0|3060|2842|0|0|0|11412|0|0|160623||||
