OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
9834|2101|ACTIVE MEMBERS|10319|T|272219
9835|2102|Agency Fee Payers|28|F|272219
9486|2101|ACTIVE MEMBERS|461|T|271942
9487|2101|RETIRED MEMBERS|191|T|271942
9488|2101|LIFE MEMBERS|55|F|271942
9489|2102|Agency Fee Payers|0|F|271942
15208|2101|Active Carriers|2701|T|278615
15209|2101|Retired members|472|T|278615
15210|2102|Agency Fee Payers|0|F|278615
2025|2101|Building Trades|917|T|248837
2026|2101|Production Workers|328|T|248837
2027|2101|Retired|322|T|248837
2028|2101|On Withdrawal|30|F|248837
2029|2102|Agency Fee Payers|0|F|248837
5636|2101|Regular Carriers|1499|T|266416
5637|2101|Relief Carriers|969|T|266416
5638|2101|Retired Carriers, do not vote on contract|709|T|266416
5639|2101|Associate Members|29|F|266416
5640|2102|Agency Fee Payers|0|F|266416
26978|2101|APPRENTICES|21|F|309007
26979|2101|PENSIONERS|74|F|309007
26980|2101|HONORARY MEMBERS|38|F|309007
26981|2101|JOURNEYMEN|238|T|309007
26982|2102|Agency Fee Payers|0|F|309007
9809|2101|Regular Dues Paying Members of local 2-187|457|T|272199
9810|2102|Agency Fee Payers|0|F|272199
13532|2101|Class A Membership|217|T|274751
13533|2101|Class BA Membership|30|T|274751
13534|2102|Agency Fee Payers|0|F|274751
9268|2101|A Members|427|T|271725
9269|2101|BA Members|5|T|271725
9270|2102|Agency Fee Payers|0|F|271725
17899|2101|General membership dues paying members|1823|T|295374
17900|2102|Agency Fee Payers|0|F|295374
23356|2101|REGULAR MEMBERS|1187|T|301908
23357|2102|Agency Fee Payers|0|F|301908
12038|2101|Dues Paying Members|36551|T|273462
12039|2102|Agency Fee Payers|0|F|273462
5658|2101|REGULAR  NENBERS|1072|T|266572
5659|2102|Agency Fee Payers|0|F|266572
12684|2101|ACTIVE MEMBERS|6443|T|273778
12685|2102|Agency Fee Payers|0|F|273778
67218|2101|REGULAR MEMBERS - FULL PAYING|1015|T|358437
67219|2102|Agency Fee Payers|0|F|358437
7808|2101|Class 1|2774|T|270776
7809|2101|Class 4|72|T|270776
7810|2101|Class 5|5|T|270776
7811|2101|Class 7|6|F|270776
7812|2101|Class 8|163|F|270776
7813|2102|Agency Fee Payers|1|F|270776
43752|2101|"BA" Members|3353|T|331155
43753|2101|"A" Members|4|T|331155
43754|2102|Agency Fee Payers|49|F|331155
13556|2101|REGULAR MEMBERS|337|T|274773
13557|2102|Agency Fee Payers|0|F|274773
10456|2101|Regular Members|9900|T|272627
10457|2102|Agency Fee Payers|0|F|272627
22760|2101|Active members / full dues|520|T|300754
22761|2101|Retired members / full dues|31|T|300754
22762|2102|Agency Fee Payers|0|F|300754
12795|2101|Regular Members|31000|T|273815
12796|2102|Agency Fee Payers|0|F|273815
15537|2101|FULL TIME|10156|T|280989
15538|2101|PART TIME|663|T|280989
15539|2101|RETIREE|2661|F|280989
15540|2101|ASSOCIATE|73|F|280989
15541|2102|Agency Fee Payers|1355|F|280989
4623|2101|"A" MEMBERS|7|T|261333
4624|2101|"BA" MEMBERS|1569|T|261333
4625|2102|Agency Fee Payers|2|F|261333
5186|2101|GENERAL MEMBERSHIP|1985|T|262767
5187|2102|Agency Fee Payers|0|F|262767
3897|2101|Active members with all rights|534|T|256110
3898|2101|Members on LTD|58|F|256110
3899|2101|Members not sworn in|20|F|256110
3900|2101|Retired members|118|F|256110
3901|2102|Agency Fee Payers|0|F|256110
4553|2101|FULL DUES PAYING MEMBERS|1840|T|261192
4554|2101|CASH DUES PAYING MEMBER|1|T|261192
4555|2102|Agency Fee Payers|0|F|261192
15476|2101|Active|5991|T|280427
15477|2101|Executive Active|0|T|280427
15478|2101|Executive Inactive|0|F|280427
15479|2101|Apprentice|0|F|280427
15480|2101|Inactive|1239|F|280427
15481|2102|Agency Fee Payers|60|F|280427
13807|2101|Active|6279|T|275314
13808|2101|Executive Active|0|T|275314
13809|2101|Executive Inactive|0|F|275314
13810|2101|Apprentice|0|F|275314
13811|2101|Inactive|2183|F|275314
13812|2102|Agency Fee Payers|27|F|275314
19912|2102|Agency Fee Payers|0|F|298946
17322|2101|Active|2851|T|293198
17323|2101|Executive Active|0|T|293198
17324|2101|Apprentice|0|F|293198
17325|2101|Executive Inactive|0|F|293198
17326|2101|Inactive|1544|F|293198
17327|2102|Agency Fee Payers|170|F|293198
17121|2101|"REGULAR MEMBERS"|803|T|292884
17122|2102|Agency Fee Payers|0|F|292884
