OID|DESCRIPTION|BOOK_VALUE|RPT_ID
7304|CONSTRUCTION PERIOD INTEREST NET|4284|309007
7305|WORKERS COMPENSATION DEPOSIT|786|309007
6155|none|0|301908
3212|Phone Deposit - St.Louis, MO|235|273462
3217|Cemetary Lots -St.Louis, MO|4400|273462
3216|Utility Deposit-Macedonia, OH|619|273462
3215|Rent Deposit - St.Louis, MO|3025|273462
3214|Rent  Deposit-Macedonia,OH|2500|273462
3213|Rent Deposit - Duluth, MN|353|273462
3447|ALISA VALENTIN LOAN REC.  ALLOWANCE FOR UNCOLLECT|-12916|273778
3448|CREDIT UNION OVERPAYMENT|80|273778
18586|N/A|0|358437
2696|None|0|272627
4256|NONE|0|281518
6014|None|0|300754
3485|NONE|0|273815
4230|GROUP INSURANCE DEPOSIT|500|280989
4233|PREPAID EXPENSES|86224|280989
4232|PREPAID INSURANCE|34285|280989
4231|LEGAL RESERVE|78659|280989
1071|PREPAID EXPENSES|5307|261333
1073|PREMIUM RESERVE FUND ON DEPOSIT WITH CARRIER|369894|261333
1072|LEASE DEPOSIT|5817|261333
1259|ACCRUED INTEREST RECEIVABLE|4509|262767
1260|SECURITY DEPOSITS|1860|262767
866|Prepaid supply inventory|3595|256110
867|Prepaid insurance|4638|256110
3839|PREPAID INSURANCE|9835|275545
479|UNREALIZED GAINS ON INVESTMENTS|100808|248900
481|PREPAID STATE OF NEW HAMPSHIRE BUSINESS TAXES|717|248900
480|OVERPAYMENT OF PAYROLL TAXES|15665|248900
692|NONE|0|251521
11767|Security|1729|332211
11768|Prepaid Expenses|8734|332211
4176|PREPAID INSURANCE|1151|279408
1777|Payroll tax refund receivable|654|270050
2241|Payroll Taxes withholding overpayment|82|271335
2239|Security Deposits|8275|271335
2240|Exchanges|22714|271335
1302|DUE FROM OTHER FUNDS|63523|264104
1303|ACCRUED INTEREST RECEIVABLE|5496|264104
799|Prepaid Insurance|11500|253786
11562|SECURITY DEPOSITS|5074|330468
11563|PREPAID EXPENSES|4201|330468
3356|Utility Deposit-water|50|273715
2529|Rent Deposit|4388|272107
5172|PREPAID EXPENSE|4349|298180
990|EMPLOYEE TRAVEL ADVANCES|281000|259844
988|INTANGIBLE PENSION ASSET|3910475|259844
989|PREPAID EXPENSES|987295|259844
993|PAYROLL RECEIVABLE|267990|259844
992|ALLOWANCE FOR DOUBTFUL ACCOUNTS|-931443|259844
991|SECURITY DEPOSITS|150365|259844
1154|Security Deposit Office|738|261744
1155|Security Deposit DIA|4200|261744
11295|COMPUTER E-MACHINE|650|327489
11298|CHAIRS, TABLES & DESKS|1175|327489
11297|COMPUTER - DELL|938|327489
11296|EPSON 660 PRINTER|125|327489
4055|Inventory|14660|277582
5880|RENT DEPOSIT|3335|299931
1496|Security deposit|420|268118
264|Prepaid Expenses|56803|248368
265|Security Deposit|2134|248368
4456|Security Deposits|10763|286010
2201|PREPAID PROPERTY TAXES|1421|271230
6631|Inventory of Fundraising Clothing and Items|248|304605
6632|Security Deposits|5900|304605
12831|DEPOSITS|3079|336307
3414|Refundable IRS Payments (refunds of penalties)|6475|273766
1907|Prepaid Insurance|1275|270639
2926|NONE|0|273057
3719|ARBITRATION ADVANCE|260|274685
2928|PAYROLL TAX REFUND|540|273059
2929|PREPAID UNION DUES|404|273059
10435|PREPAID PAYROLL TAXES|172|315094
10436|PREPAID EXPENSES & CHARGES|2155|315094
2289|Supplies for resale|753|271459
4331|Deposit|447|282453
10128|Office lease deposit|2950|314673
2878|APWU Building Corporation|383515|273009
3582|RESALE ITEMS|2870|273878
2750|Software, net of amortization|395|272804
3034|REFUNDABLE DEPOSITS|5583|273156
3035|PREPAID INSURANCE|295|273156
1963|NONE|0|270809
11544|Security Deposits|45880|330079
