OID|DESCRIPTION|AMOUNT|RPT_ID
807|Payroll Tax Liabilities|8285|248837
6236|Per Capita|62004|274751
6238|Payroll Taxes|41114|274751
6237|Benefits|24984|274751
4391|Accrued vacation|558|272340
3971|Payroll Tax Withholding|4302|271725
3972|Payroll Savings Withheld|1725|271725
10406|PER CAPITA TAX|40972|301908
10408|STATE TAX|463|301908
10407|FEDERAL UNEMPLOYMENT|8034|301908
5392|Payroll withholding deductions(includes P/R taxes)|42153|273462
5395|Accrued builidng expenses|342064|273462
5394|Accrued convention expenses|100000|273462
5393|Accrued rebates due - Affiliated Locals|25729|273462
2346|INTERNATIONAL UAW PER CAPITA TAX|13277|266572
2348|VOLUNTARY CONTRIBUTION (CAP) FWD|30|266572
2347|REGION 5 UAW PER CAPITA TAX (CAP COUNCIL)|816|266572
29686|N/A|0|358437
3257|Payroll liabilities|1047|270776
19480|TAX W/H DUE|213|331155
4588|State Taxes|360|272627
4592|Federal Unemployment|37|272627
4591|State Unemployment|22|272627
4590|VOTE contributions|157|272627
4589|County Taxes|73|272627
7261|NONE|0|281518
10124|Payroll withholdings payable|203|300754
5797|NONE|0|273815
7220|ACCRUED POST RETIREMENT BENEFIT|1847202|280989
7235|ACCRUED VACATION & SICK LEAVE & PENSION|1544775|280989
7234|INITIATION FEE|243|280989
7233|REFUND|656|280989
7232|RENTAL DEPOSITS|6052|280989
7231|INSURANCE & OTHER CONTRACTS|14934|280989
7230|CANCER INSURANCE|55735|280989
7229|MEDICAL|12754|280989
7228|RSC|9042|280989
7227|LIFE & MAF|22457|280989
7226|UNIT FUND|10786|280989
7225|STATE RETIREE|2491|280989
7224|DIVISION FUND|3181|280989
7223|ACCRUED INTEREST|2608|280989
7222|PAYROLL TAXES|14774|280989
7221|AFSCME PER CAPITA|109410|280989
1813|ACCRUED LIABILITIES|54243|261333
1815|UNIT FUND BALANCES|3896|261333
1814|DEFERRED REVENUE|76318|261333
1444|Payroll taxes payable|2706|256110
1445|Employee benefits|2207|256110
5353|PAYROLL TAXES WITHHELD|1728|273428
