OID|INV_TYPE|NAME|AMOUNT|RPT_ID
181327|701|PIMCO Funds Mutual Funds|100000|518467
181319|703|Marketable Securities Total Cost|1175546|518467
181328|701|PIMCO FDS GNMA Mutual Funds|70000|518467
181329|701|Templeton Global Mutual Funds|75000|518467
181330|701|Goldman Sachs Fixed Income|97000|518467
181331|705|Other Investments Total Cost||518467
181332|706|Other Investments Total Book Value||518467
181320|704|Marketable Securities Total BookValue|1175546|518467
181321|701|PIMCO Short Term Fund|70000|518467
181322|701|Eaton Vance Mutual Fund|100000|518467
181323|701|Loomis Sayles Mutual Fund|170000|518467
181324|701|Natixis Loomis Sales Mutual Fund|100000|518467
181325|701|Oppenheimer Strategic Income Mutual Fund|70000|518467
181326|701|PIMCO Short Term Fund Mutual Fund|103460|518467
165378|703|Marketable Securities Total Cost||502874
165379|704|Marketable Securities Total BookValue||502874
165380|705|Other Investments Total Cost||502874
165381|706|Other Investments Total Book Value||502874
168133|703|Marketable Securities Total Cost|671217|504817
168134|704|Marketable Securities Total BookValue|671738|504817
168135|701|FING Corp|36937|504817
168136|701|GNMA II|46317|504817
168137|701|Goldman Sachs Strategic Income Fund|50291|504817
168138|701|JP Morgan Strategic Income Opportunity Select|47473|504817
168139|701|SIT US Govt SEc Fund|148618|504817
168140|701|Vanguard GNMA Fund Admiral Share|139158|504817
168141|705|Other Investments Total Cost|1209761|504817
168142|706|Other Investments Total Book Value|707385|504817
168143|702|Sheet Metal Workers Local No 9 Building Assoc|707385|504817
171954|703|Marketable Securities Total Cost|0|505372
171955|704|Marketable Securities Total BookValue|0|505372
171956|705|Other Investments Total Cost|0|505372
171957|706|Other Investments Total Book Value|0|505372
178929|703|Marketable Securities Total Cost||517051
178930|704|Marketable Securities Total BookValue||517051
178931|705|Other Investments Total Cost||517051
178932|706|Other Investments Total Book Value||517051
180431|703|Marketable Securities Total Cost|1323219|517827
180432|704|Marketable Securities Total BookValue|1323219|517827
180433|701|Amalgamated Bank of New York - Common Stock|1314689|517827
180434|705|Other Investments Total Cost||517827
180435|706|Other Investments Total Book Value||517827
178751|703|Marketable Securities Total Cost|0|516991
173115|703|Marketable Securities Total Cost|0|507928
173116|704|Marketable Securities Total BookValue|0|507928
173117|705|Other Investments Total Cost||507928
173118|706|Other Investments Total Book Value||507928
178752|704|Marketable Securities Total BookValue|0|516991
178753|705|Other Investments Total Cost||516991
178754|706|Other Investments Total Book Value||516991
233568|703|Marketable Securities Total Cost||590357
233569|704|Marketable Securities Total BookValue||590357
233570|705|Other Investments Total Cost||590357
233571|706|Other Investments Total Book Value||590357
191879|703|Marketable Securities Total Cost||522431
191880|704|Marketable Securities Total BookValue||522431
191881|705|Other Investments Total Cost|2304|522431
191882|706|Other Investments Total Book Value|2304|522431
183089|703|Marketable Securities Total Cost|1245786|519344
183090|704|Marketable Securities Total BookValue|1483612|519344
183091|705|Other Investments Total Cost|297943|519344
183092|706|Other Investments Total Book Value|297943|519344
173322|703|Marketable Securities Total Cost||508185
173323|704|Marketable Securities Total BookValue||508185
173324|705|Other Investments Total Cost||508185
173325|706|Other Investments Total Book Value||508185
193526|701|Neuberger Berman Strategic|4976|529514
193527|701|Pimco Low Duration|4881|529514
193528|701|Pimco Inc. Fund|5152|529514
193529|701|Wells Fargo|4896|529514
193530|701|Fidelity Muni MM|10632|529514
193531|701|Ishares Barclays Treas Inflation|5966|529514
193532|701|Ishares IBOXX & Investop|6089|529514
193533|701|Ishares Barclays 20+ Years Treas Bond|5714|529514
193534|701|Ishares Barclays 7-10 Year Treas|5423|529514
193535|701|Ishares Barclays 1-3 Years Treas|4225|529514
193536|701|Ishares TriBOXX $ High Yield|7199|529514
193537|701|Vanguard Bond Index LT|5123|529514
193538|701|Vanguard Bond Index FD Inc Interm|5868|529514
193539|701|Vanguard Index fds REIT|7406|529514
193540|701|Cash in fund|16902|529514
193541|701|Sigma Financial Corp|10339|529514
193542|701|JP Morgan|90770|529514
193543|705|Other Investments Total Cost||529514
