OID|DESCRIPTION|AMOUNT|RPT_ID
75355|Vacation Payable|4037|518467
75356|Flood Relief Payable|245|518467
70091|ACCRUED PAYROLL WITHHOLDINGS|10827|502874
70088|Death Benefit Fund|92201|502827
70089|Payroll Taxes Payable|7499|502827
71191|Payroll liabilities|5724|504817
72324|Payroll Deductions and Related Accruals|11150|505372
74685|Accrued vacation|1661|517051
74686|Payroll liabilities|3146|517051
76387|Payroll Tax Withholding|1156|519778
76388|Payroll Savings Withholding|600|519778
73285|Per Capita|33604|512329
73287|State Tax|452|512329
73286|FUTA Tax|207|512329
75041|Payroll withholding deductions(includes P/R Taxes)|13082|517827
75045|Accrued health insurance payable|64166|517827
75044|Accrued pension contribution|40775|517827
75043|Accrued per capita payable - International Offices|2687798|517827
75042|Accrued rebates due affiliated locals|12823|517827
74645|PAYROLL TAXES PAYABLE|658|516991
72716|- |0|507928
75387|PAYROLL TAXES PD & FWDED|2034|518513
75393|PA STATE TAXES FWDED|202|518513
75392|NJ STATE TAXES FWDED|369|518513
75391|SALES TAXES (LOCAL, SCHOOL)|226|518513
75390|CITY INCOME TAX FWDED|71|518513
75389|STATE UNEMPLOYMENT TAXES|200|518513
75388|FEDERAL UNEMPLOYMENT TAXES (FUTA)|231|518513
76021|ACCRUED POST RETIREMENT BENEFIT|5752286|519344
76027|RSC-MEDICAL|10048|519344
76028|HMSA-MEDICAL|12760|519344
76034|EMPLOYEE TAXES|2665|519344
76033|ACCRUED INTEREST|3051|519344
76032|RENTAL DEPOSITS|4162|519344
76031|MEMBER CONTACT PROGRAM|4992|519344
76030|INITIATION FEES|180|519344
76029|CANCER/EMC/AMHC|822|519344
76026|LIFE INSURANCE|18986|519344
76025|INTEREST PAYABLE|1707|519344
76024|PAYROLL DEDUCTION PAYABLE|14550|519344
76023|AFSCME PER CAPITA|146938|519344
76022|ACCRUED VACATION AND SICK LEAVE|2054528|519344
72827|Accrued vacation & severance|25838|508272
72828|Unit funds|3355|508272
72482|Payroll taxes payable|588|506649
72483|Employee benefits|23363|506649
79804|Payroll Taxes|1423|529514
74383|Payroll Tax payable|913|516537
74386|SUTA Tax Payable|10|516537
74385|Georgia W/H Payable|158|516537
74384|FUTA Tax Payable|228|516537
72786|PAYROLL TAXES AND WITHHOLDINGS PAYABLE|6086|508156
73900|NA|0|515113
73120|Accrued Payroll Taxes|2222|510090
76451|DEFERRED REVENUE|15500|519841
70771|PAYROLL TAXES WITHHELD  NOT REMITTED AT Y/E|421|504439
73931|PAYROLL TAX LIABILITIES|5653|515229
73224|PAYROLL LIABILITIES|53431|511544
69858|DUE TO THE SSOBA DC RETIREMENT FUND|148352|501363
74043|Payroll withholdings|301|515495
73023|STRIKE ADVANCE REPAYABLE TO NATIONAL|212646|508785
70789|Accrued Payroll Taxes|3862|504463
69730|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT |0|499351
69731|YET DISBURSED BY THE END OF THE REPORTING PERIOD.|1293|499351
74670|Accrued severance pay|243158|517019
74672|Union dues payable|119945|517019
74671|Accrued vacation pay|44401|517019
80226|Suta|34|532930
74997|Federal payroll withholding taxes|1411|517701
74999|Ny Unemployment taxes|295|517701
74998|NY state payroll withholding taxes|258|517701
72836|Accrued Payroll and Payroll Liabilities|2378|508287
72837|Credit Card Liabilities|2524|508287
72656|ACCRUED PERSONNEL COSTS|8683|507561
72666|SECURITY DEPOSITS|38595|507561
72665|ACCRUED PENSIONS|253779663|507561
72664|RETIREE MEDICAL ACCRUAL|122567059|507561
72663|VACATION AND SICK ACCRUAL|10892479|507561
72662|LSA EDUCATION LEAVE|123112|507561
72661|PSA EDUCATION LEAVE|62399|507561
72660|DEFERRED COMPENSATION - 457b|1209494|507561
72659|DEFERRED RENT EXPENSE|1439171|507561
72658|RESERVE FOR MEDICAL CLAIMS|826859|507561
72657|DEFERRED INCOME|182001|507561
72850|Payroll Withholdings|3514|508316
73087|n/a|0|509466
76057|Payroll withholdings|9289|519383
72639|PAYROLL DEDUCTIONS WITHHELD|1716|507553
72003|Deferred Income|56848|505240
72007|Other Payroll Withholdings Payable|40746|505240
72006|Accrued Retirement Costs|46231567|505240
72005|Accrued Severance Pay|2850113|505240
72004|Objectors Payable|802|505240
78333|Payroll liabilities|145|521230
72968|PAYROLL TAX WITHHOLDINGS|3901|508637
75679|EMPLOYEE WITHHOLDINGS|3128|518920
76689|Payroll withholdings payable|426|520105
78903|ACCRUED PAYROLL ITEM|5|521886
73335|Payroll withholding taxes|385|512826
73337|Accrued fringe benefits|4344|512826
73336|Union dues withheld|923|512826
79207|pAYROLL tAXES|1776|522451
73207|payroll taxes payable|1122|511235
76151|CREDIT CARD LIABILITIES|6|519485
76154|RENTAL SECURITY DEPOSITS HELD|680|519485
76153|SALES TAX LIABILITIES|62|519485
76152|PAYROLL TAX LIABILITIES|1387|519485
73726|Real Estate Taxes|12300|514611
79621|WITHOLDING PAYABLES|1766|527308
81158|ACCRUED PAYROLL TAXES|2297|535361
79087|Accrued leave and sick pay|1058|522160
73126|Payroll Liabilities|2135|510251
78439|FUTA|181|521372
78436|Mastercard|229|521372
78443|SWT|326|521372
78442|SUTA|130|521372
78441|Medicare|8|521372
78440|FWT|1204|521372
78438|FICA|942|521372
78437|401K|928|521372
78502|PR Taxes Payable|10560|521450
