OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
469775|1201|EXPENSE REIMBURSEMENT|2015-03-31|15374|1672588|598866
537961|1201|  |||1895863|613107
541565|1201| |||1907847|613314
563235|1201|DO|2015-05-20|5000|2068267|614891
469566|1201|WAGE & BENEFIT REIMBURSEMENT|2014-10-24|8646|1671995|598846
469567|1201|WAGE & BENEFIT REIMBURSEMENT|2014-11-19|9808|1671995|598846
478870|1201|Revenue Sharing Program|2015-05-19|8914|1712855|608492
478871|1201|Revenue Sharing Program|2015-06-23|11695|1712855|608492
469568|1201|WAGE & BENEFIT REIMBURSEMENT|2015-01-29|10843|1671995|598846
478872|1201|Revenue Sharing Program|2015-07-21|11695|1712855|608492
469569|1201|WAGE & BENEFIT REIMBURSEMENT|2015-02-27|10910|1671995|598846
478873|1201|Revenue Sharing Program|2015-08-17|11695|1712855|608492
469570|1201|WAGE & BENEFIT REIMBURSEMENT|2015-03-20|10695|1671995|598846
469571|1201|WAGE & BENEFIT REIMBURSEMENT|2015-04-13|10695|1671995|598846
469572|1201|WAGE & BENEFIT REIMBURSEMENT|2015-05-27|10843|1671995|598846
478874|1201|Revenue Sharing Program|2015-09-14|11695|1712855|608492
478875|1201|Revenue Sharing Program|2015-10-19|11695|1712855|608492
469590|1201|Administrative Reimbursement|2015-05-14|34505|1672036|598848
469591|1201|Administrative Reimbursement|2015-05-21|34100|1672036|598848
469592|1201|Career Center Royalties|2014-07-14|14141|1672079|598851
469593|1201|Career Center Royalties|2014-10-28|9913|1672079|598851
469594|1201|Career Center Royalties|2015-01-28|11991|1672079|598851
469573|1201|WAGE & BENEFIT REIMBURSEMENT|2015-06-25|8393|1671995|598846
469574|1201|Administrative Reimbursement|2015-05-14|6161|1672016|598848
469575|1201|Administrative Reimbursement|2015-05-14|5730|1672016|598848
469576|1201|Administrative Reimbursement|2015-05-14|5249|1672016|598848
469577|1201|Administrative Reimbursement|2015-05-21|5929|1672016|598848
469578|1201|Administrative Reimbursement|2015-05-14|8746|1672034|598848
469579|1201|Administrative Reimbursement|2015-05-14|8230|1672034|598848
469580|1201|Administrative Reimbursement|2015-05-14|7611|1672034|598848
469581|1201|Administrative Reimbursement|2015-05-21|8461|1672034|598848
469582|1201|Payoff A/R Balance|2015-03-26|72336|1672034|598848
469583|1201|Administrative Reimbursement|2015-05-14|6161|1672035|598848
469584|1201|Administrative Reimbursement|2015-05-14|5730|1672035|598848
469585|1201|Administrative Reimbursement|2015-05-14|5249|1672035|598848
469586|1201|Administrative Reimbursement|2015-05-21|5929|1672035|598848
469587|1201|Payoff A/R Balance|2015-03-26|32305|1672035|598848
469588|1201|Administrative Reimbursement|2015-05-14|37512|1672036|598848
469589|1201|Administrative Reimbursement|2015-05-14|34891|1672036|598848
469606|1201|Dues Rebate|2014-10-23|12551|1672087|598851
469607|1201|Dues Rebate|2014-11-07|12875|1672087|598851
469608|1201|Dues Rebate|2014-11-30|11365|1672087|598851
469609|1201|Dues Rebate|2014-12-30|15787|1672087|598851
469610|1201|Dues Rebate|2015-01-30|13279|1672087|598851
469611|1201|Dues Rebate|2015-02-28|11840|1672087|598851
469612|1201|Dues Rebate|2015-03-31|14647|1672087|598851
469613|1201|Dues Rebate|2015-04-30|14002|1672087|598851
469614|1201|Dues Rebate|2015-05-30|13722|1672087|598851
469615|1201|Dues Rebate|2015-06-30|16152|1672087|598851
469616|1201|TRAINING|2015-01-20|7844|1672091|598853
469595|1201|Career Center Royalties|2015-05-04|12760|1672079|598851
469596|1201|Rebate|2015-03-24|10000|1672084|598851
469597|1201|Reimbursement|2014-10-29|11000|1672085|598851
469598|1201|Dues rebate|2014-08-05|7166|1672086|598851
469599|1201|Dues rebate|2014-09-09|9150|1672086|598851
469600|1201|Dues rebate|2014-10-23|8726|1672086|598851
469601|1201|Dues rebate|2014-11-07|8967|1672086|598851
469602|1201|Dues rebate|2014-11-30|7829|1672086|598851
469603|1201|Dues rebate|2014-12-30|10719|1672086|598851
469604|1201|Dues Rebate|2014-08-05|6490|1672087|598851
469605|1201|Dues Rebate|2014-09-09|8362|1672087|598851
469617|1201|LEADERS TRAINING|2014-12-10|200|1672091|598853
469618|1201|ORGANIZING|2014-07-20|4933|1672091|598853
469619|1201|EXPENSE REIMBURSEMENT|2014-08-22|360|1672091|598853
469620|1201|ORGANIZING|2014-11-01|9156|1672091|598853
469621|1201|LEADERS GRANT|2014-12-14|4000|1672091|598853
469622|1201|LOBBY GRANT|2015-04-14|2850|1672091|598853
469623|1201|ORGANIZING GRANT|2015-06-10|4000|1672091|598853
469624|1201|LEADERSHIP EVENTS|2015-05-20|4980|1672092|598853
469625|1201|TRAINING GRANT|2014-09-25|3489|1672092|598853
469626|1201|ORGANIZING ASSISTANCE|2015-02-21|2052|1672092|598853
469627|1201|LOBBY DAY|2015-04-14|2850|1672092|598853
469628|1201|LEADERSHIP CONFERENCE|2014-08-10|740|1672092|598853
469629|1201|ROYALTY INCOME|2015-03-24|13800|1672113|598854
469630|1201|DRUG REBATE|2014-10-06|5840|1672114|598854
469631|1201|DRUG REBATE|2014-10-31|6672|1672114|598854
469632|1201|DRUG REBATE|2014-12-03|5461|1672114|598854
469633|1201|DRUG REBATE|2015-01-06|6089|1672114|598854
469634|1201|DRUG REBATE|2015-02-04|6484|1672114|598854
469635|1201|DRUG REBATE|2015-03-05|5849|1672114|598854
469636|1201|DRUG REBATE|2015-04-07|6241|1672114|598854
469637|1201|DRUG REBATE|2015-05-06|127851|1672114|598854
469638|1201|DRUG REBATE|2015-06-09|5730|1672114|598854
469639|1201|DRUG REBATE|2014-07-09|5783|1672114|598854
469640|1201|DRUG REBATE|2014-08-05|6048|1672114|598854
469641|1201|DRUG REBATE|2014-09-04|5918|1672114|598854
469642|1201|ROYALTY INCOME|2014-07-09|12937|1672115|598854
469643|1201|ROYALTY INCOME|2014-08-05|12838|1672115|598854
469644|1201|ROYALTY INCOME|2014-09-03|12881|1672115|598854
469645|1201|ROYALTY INCOME|2014-10-07|13157|1672115|598854
469646|1201|ROYALTY INCOME|2014-11-04|12890|1672115|598854
469647|1201|ROYALTY INCOME|2014-12-08|12760|1672115|598854
469648|1201|ROYALTY INCOME|2015-01-13|12694|1672115|598854
469649|1201|ROYALTY INCOME|2015-02-04|12692|1672115|598854
469650|1201|ROYALTY INCOME|2015-03-09|12699|1672115|598854
469651|1201|ROYALTY INCOME|2015-04-07|12762|1672115|598854
469652|1201|ROYALTY INCOME|2015-05-08|12706|1672115|598854
469653|1201|ROYALTY INCOME|2015-06-09|12668|1672115|598854
469654|1201|MEDICARE PART D - RETIREE DRUG SUBSIDY|2014-07-11|14959|1672116|598854
469655|1201|MEDICARE PART D - RETIREE DRUG SUBSIDY|2014-08-15|14021|1672116|598854
478876|1201|Revenue Sharing Program|2015-11-17|11695|1712855|608492
478877|1201|Revenue Sharing Program|2015-12-14|11695|1712855|608492
469656|1201|MEDICARE PART D - RETIREE DRUG SUBSIDY|2014-09-12|13497|1672116|598854
469657|1201|MEDICARE PART D - RETIREE DRUG SUBSIDY|2014-10-17|15945|1672116|598854
469658|1201|MEDICARE PART D - RETIREE DRUG SUBSIDY|2014-11-14|10947|1672116|598854
469659|1201|MEDICARE PART D - RETIREE DRUG SUBSIDY|2015-02-06|15351|1672116|598854
469660|1201|MEDICARE PART D - RETIREE DRUG SUBSIDY|2015-03-13|21278|1672116|598854
469661|1201|MEDICARE PART D - RETIREE DRUG SUBSIDY|2015-04-17|16508|1672116|598854
469662|1201|MEDICARE PART D - RETIREE DRUG SUBSIDY|2015-06-12|39460|1672116|598854
469663|1201|SALARY & BENEFIT REIMBURSEMENT|2014-08-26|57119|1672118|598854
469664|1201|SALARY & BENEFIT REIMBURSEMENT|2014-11-12|62913|1672118|598854
