OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
247315|2101|ACTIVE|327|T|667115
247316|2101|APPRENTICES|37|F|667115
247317|2101|LIFE MEMBERS|85|T|667115
247318|2101|RETIRED|125|T|667115
247319|2102|Agency Fee Payers|0|F|667115
254627|2101|IBEW MI Local Unions|18|T|680092
252299|2101|Active Carriers|2450|T|671945
252300|2101|Retired Carriers|660|T|671945
239277|2101|LOCAL UNIONS|19|T|654377
239278|2102|Agency Fee Payers|0|F|654377
239363|2101|Journeyman|981|T|654644
239364|2101|Apprentices|234|F|654644
239365|2101|Retirees|102|T|654644
239366|2102|Agency Fee Payers|0|F|654644
240017|2101|Retired Members|245|T|655540
240015|2101|Building Trades|888|T|655540
240018|2101|Members on withdrawl|27|F|655540
240019|2102|Agency Fee Payers|0|F|655540
240016|2101|Production Workers|313|T|655540
241879|2101|Regular Members|1705|T|656470
241880|2101|Relief Members|1241|T|656470
241881|2101|Retired Members|445|T|656470
241882|2101|Associate Members|9|F|656470
241883|2101|Retired Associate Members|0|F|656470
241575|2101|MILITARY|1|F|656310
241571|2101|APPRENTICES|38|F|656310
241576|2101|PROBATIONARIES|7|F|656310
241572|2101|PENSIONERS|162|F|656310
241573|2101|HONORARY MEMBERS|60|F|656310
241574|2101|JOURNEYMEN|284|T|656310
258633|2101|Classified|40|T|684650
258634|2101|Certified|244|T|684650
247355|2101|CLASS A MEMBERSHIP|215|T|667135
247356|2101|CLASS BA MEMBERSHIP|17|T|667135
253305|2101|GENERAL MEMBERS|2200|T|673191
252391|2101|"A" Members|262|T|672009
252392|2101|"BA" Members|16|T|672009
246753|2101|Apprentice|179|T|666439
246754|2101|Industrial|270|T|666439
246755|2101|Life|132|T|666439
246756|2101|Regular|1023|T|666439
246757|2102|Agency Fee Payers|0|F|666439
247267|2101|REGULAR MEMBER|972|T|667078
249799|2101|Regular members|15622|T|669672
249800|2102|Agency Fee Payers|1232|F|669672
253064|2101|ACTIVE FULL TIME MEMBERS|7605|T|672658
253065|2101|ACTIVE PART TIME MEMBERS|3021|T|672658
253686|2101|Regular Members|931|T|675803
250674|2101|"A" Member|3|T|670640
250675|2101|"BA" Members|1391|T|670640
250676|2102|Agency Fee Payers|11|F|670640
243480|2101|ALL ACTIVE MEMBERS WITH FULL MEMBERSHIP RIGHTS|90|T|657864
243481|2102|Agency Fee Payers|0|F|657864
253489|2101|Clerical members (active, dues-paying)|9|T|674101
253490|2101|Operations & mechanical members (active, dues-paying)|678|T|674101
253491|2102|Agency Fee Payers|687|F|674101
250229|2101|REGULAR MEMBERS|45444|T|670151
