OID|DESCRIPTION|BOOK_VALUE|RPT_ID
38423|Contribution Certificate|100|465108
38424|Utility Deposit|39|465108
38431|Prepaid expense|6703|465126
42477|Rent - Security Deposit - Duluth, MN|950|488584
42479|Rent - Security Deposit - Cleveland, OH|5441|488584
42478|Rent - Security Deposit - Oak Park, IL|1950|488584
44485|mutual funds|190000|496267
41924|GROUP INSURANCE DEPOSIT|500|482756
41931|RECEIVABLE FROM MAF|35189|482756
41930|INSURANCE PROVIDER|6700|482756
41929|INTEREST RECEIVABLE|7595|482756
41928|PREPAID MAINTENANCE SERVICES|82900|482756
41927|PREPAID EMPLOYEE MEDICAL INSURANCE|43407|482756
41926|PREPAID INSURANCE|38009|482756
41925|LEGAL RESERVE|78659|482756
39689|Prepaid expenses|1578|470849
39690|Lease deposit|10231|470849
39663|SECURITY DEPOSITS|1860|470730
39323|Prepaid supply inventory|4419|468830
39324|Prepaid expense|3861|468830
41036|Rent Deposit|900|479556
42590|PREPAID INSURANCE|3765|488785
38803|NONE|0|466695
38295|DUE FROM AFFILIATES|55546|463843
38296|PREPAID INSURANCE|5038|463843
38494|ACCRUED INTEREST RECEIVABLE|1577|465651
42165|Security deposits|5074|487058
40206|Rent Deposit|4388|476004
40887|bibles and promotional items|2600|479124
39723|T-shirt inventory|2168|470905
39725|Prepaid property taxes|619|470905
39724|Prepaid insurances|1665|470905
41241|PREPAID INSURANCE|1089|480152
39484|PREPAID EXPENSES|2128630|469918
39489|DEFERRED COMPENSATION - 457b|1097766|469918
39488|RESERVE FOR MARKET VALUE OF INVESTMENTS|-637511|469918
39487|ALLOWANCE FOR DOUBTFUL ACCOUNTS|-4503316|469918
39486|SECURITY DEPOSITS|136053|469918
39485|EMPLOYEE TRAVEL ADVANCES|313600|469918
39786|Office Security Deposit|738|471086
39941|N/A|0|473760
40550|Inventory|9118|477816
39954|BIBLES  39 X 34.27 EACH|1337|473857
39427|Security deposits|420|469735
39159|Security Deposits|848|467323
39161|Unrealized Gain on Investments for LM-2 Reporting|1646066|467323
39160|Prepaid Expenses|71747|467323
41725|Security deposit|7546|482388
42687|REFUNDABLE IRS PAYROLL DEPOSIT|2497|488919
42688|PREPAID PAYROLL |3211|488919
42702|EMPLOYEE REIMBURSMENT|64|488966
41032|Deposit|447|479540
41118|SECURITY DEPOSIT|2950|479846
41871|NONE|0|482617
43078|Bldg Corp per Mo. State|477240|489544
40932|Prepaid Credit Cards|4276|479198
38075|None|0|460730
41482|Building Improvements|24508|481122
41486|Office Equipment|559|481122
41485|Street Improvements|22693|481122
41484|General Improvements|10532|481122
41483|Furniture & Fixtures|3372|481122
40218|PREPAID INSURANCE ETC|5878|476032
44433|CALENDAR INVENTORU|2638|495337
41031|PREPAID EXPENSES|6563|479539
44105|NALC RETIREMENT & DEATH FUND|509021|490633
42311|Security Deposit|224|487577
40336|0|0|476977
41095|NA|0|479738
44863|due from charities dinner|1328|501855
40294|DUE FROM REALTY CORP.|114954|476549
40815|N/A|0|478952
40707|HOA-DEPOSIT FOR BLDG AT 1010 S JOLIET ST AURORA, C|1535|478451
40381|Workers' Compenation Deposit|246|477274
40382|Rent Deposit|2000|477274
40323|None|0|476894
40623|Utility Deposit|150|478055
40625|8 Watches|569|478055
40624|16 Bibles|574|478055
42426|Over Payment of Payroll Taxes|1823|488346
42003|NONE |0|486714
44317|3 Watches|137|492214
44320|38 T-Shirts|322|492214
44319|27 Aprons|297|492214
44318|5 Convention Shirts|150|492214
42276|REAL ETATE TAX ESCROW|45666|487394
41269|STOCK IN BUILDING CORP|361106|480298
44462|na|0|495932
44309|Texas State Auxiliary Organization|5500|492181
42934|FEDERAL WITHHOLDING|3787|489407
39949|Prepaid Expenses|4803|473813
38977|POSTAGE |318|467083
44573|Prepaid Payroll Taxes|3214|497835
44541|NONE|0|497318
38976|WEBSITE|1344|467074
41063|SECURITY DEPOSIT|6000|479620
38323|Inventory: Jackets, Shirts, & Pins|4958|464063
42046|PREPAID INSURANCE - VARIOUS|19266|486772
42047|PREPAID EXPENSES|1793|486772
41877|Deposits|1000|482645
43229|NONE|0|489781
46775|Refundable deposit|1975|508538
40898|NONE|0|479144
40693|SECURITY DEPOSIT|4200|478386
40318|PREPAID EXPENSES|6668|476770
40319|DEFERRED EXPENSES|76692|476770
41117|Loan fees - net of amortization|6517|479845
40242|SECURITY DEPOSIT|3500|476161
42153|Prepaid Property Taxes|3551|487010
42154|Prepaid Insurance|3247|487010
