OID|DESCRIPTION|AMOUNT|RPT_ID
65795|PAYROLL DEDUCTIONS - VACATION|3396|482785
65794|PAYROLL DEDUCTIONS - DUES|860|482785
65799|FlOOD RELIEF PAYABLE|1135|482785
65798|PAYROLL DEDUCTIONS UA PAC|31|482785
65797|PAYROLL TAXES PAYABLE (WITHHOLDINGS)|3117|482785
65796|PAYROLL DEDUCTIONS - TARGETING|115|482785
60384|ACCRUED PAYROLL WITHHOLDINGS|6024|465062
60399|Death Benefit Fund|85343|465108
60415|Payroll Liabilities|4997|465126
61336|ACCRUED PAYROLL LIABILITIES AND WITHHOLDINGS|10146|467105
63818|PAYROLL LIABILITIES|5006|477979
65036|Accrued vacation|6063|480662
65037|Payroll liabilities|4690|480662
65963|Payroll Tax Withholding|1712|486812
65964|Payroll Saving Withholding|500|486812
62709|Per Capita Tax|25023|473606
62711|MESC|258|473606
62710|State Tax|424|473606
66536|Payroll withholding deductions(includes P/R Taxes)|18895|488584
66540|Accrued health insurance payable|70134|488584
66539|Accrued pension contribution|50337|488584
66538|Accrued per capita payable|2612798|488584
66537|Accrued rebates due affiliated locals|8138|488584
65503|PAYROLL TAX PAYABLE|234|482358
65504| ||482358
68909|PAYROLL TAXES PAID AND FORWARDED|864|491204
68913|CITY TAXES PAID AND FORWARDED|8|491204
68912|STATE UNEMPLOYMENT TAX |136|491204
68911|STATE TAXES PAID AND FORWARDED|439|491204
68910|FUTA (940) |285|491204
65783|HMSA-MEDICAL|12759|482756
65776|ACCRUED POST RETIREMENT BENEFIT|4423254|482756
65782|RSC-MEDICAL|10008|482756
65781|LIFE INSURANCE|27216|482756
65780|INTEREST PAYABLE|1297|482756
65779|PAYROLL DEDUCTION PAYABLE|14279|482756
65778|AFSCME PER CAPITA|145573|482756
65777|ACCRUED VACATION AND SICK LEAVE|2112078|482756
65789|EMPLOYEE TAXES|14443|482756
65788|ACCRUED INTEREST|3051|482756
65787|RENTAL DEPOSITS|4162|482756
65786|MEMBER CONTACT PROGRAM|4992|482756
65785|INITIATION FEES|150|482756
65784|CANCER/EMC/AMHC|5065|482756
62339|Accrued liabilities|56759|470849
62341|Unit Fund balances|3730|470849
62340|Deferred revenue|92644|470849
61821|Payroll taxes payable|1915|468830
61822|Employee benefits|21122|468830
62124|Payroll Tax|1750|470369
64536|Payroll Tax Payable|1993|479556
64538|SUTA Tax Payable|50|479556
64537|FUTA Tax Payable|299|479556
62268|PAYROLL TAXES PAYABLE|2454|470666
66698|DEFERRED REVENUE|17730|488785
61214|UNREMITTED PAYROLL AMOUNTS WITHHELD|7980|467000
61215|STATE OF NEW HAMPSHIRE BUSINESS TAXES|143|467000
61026|PAYROLL TAXES WITHHELD BUT NOT REMITTED AT Y/E|1846|466695
69294|PAYROLL TAX LIABILITIES|7543|495659
69654|WAGES PAYABLE|52730|499149
63759|Payroll withholdings|331|477803
62286|STRIKE ADVANCE REPAYABLE TO NATIONAL|275880|470699
61331|Accrued Payroll Taxes|2966|467096
60037|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT |0|461668
60038|YET DISBURSED BY THE END OF THE REPORTING PERIOD.|22|461668
66093|Accrued severance pay|321183|487058
66095|Union dues payable|119330|487058
66094|Accrued vacation pay|43670|487058
64280|Federal payroll withholding taxes|2399|479124
64283|Regional per capita taxes|653|479124
64282|International per capita taxes|10177|479124
64281|NY State payroll withholding taxes|339|479124
62371|Accrued payroll and payroll liabilities|5515|470905
62048|ACCRUED PERSONNEL COSTS|1658396|469918
62057|ACCRUED PENSIONS|183292986|469918
62056|RETIREE MEDICAL ACCRUAL|102631999|469918
62055|VACATION AND SICK ACCRUAL|10211260|469918
62054|LSA EDUCATION LEAVE|107399|469918
62053|PSA EDUCATION LEAVE|81349|469918
62052|DEFERRED COMPENSATION - 457B|1097766|469918
62051|DEFERRED RENT EXPENSE|1481632|469918
62050|RESERVE FOR MEDICAL CLAIMS|782516|469918
62049|DEFERRED INCOME|311605|469918
62464|Payroll withholdings|3322|471086
62716|N/A|0|473760
63762|Payroll withholdings|7716|477816
62737|940  FUTA TAXES|723|473857
62740|UIA  MICHIGAN UNEMPLOMENT TAXES 4TH QUARTER|403|473857
62739|941  FEDERAL TAXES|349|473857
62738|MICHIGAN WITHHOLDING TAXES 4TH QUARTER|567|473857
69806|Taxes Due for December|2457|500898
62732|PAYROLL DEDUCTIONS WITHHELD|1325|473828
61593|Deferred Income|56848|467323
61598|Other Payroll Withholdings Payable|41885|467323
61597|Payroll Tax Payable|32464|467323
61596|Accrued Retirement Costs|36438943|467323
61595|Accrued Severance Pay|3022687|467323
61594|Objectors Payable|774|467323
62247|PAYROLL TAX WITHHOLDINGS|1002|470628
64596|EMPLOYEE WITHHOLDINGS|2201|479640
62761|Payroll withholding taxes|983|473931
62763|Accrued fringe benefits|5074|473931
62762|Union dues withheld|849|473931
67222|Payroll Taxes|2773|489423
62606|payroll taxes payable|3397|473006
66808|CREDIT CARD LIABILITIES|1099|488919
66810|SALES TAX LIABILITIES|46|488919
66809|PAYROLL TAX LIABILITIES|1032|488919
63976|Real Estate Taxes|11000|478388
66829|WITHHOLDING PAYABLES|2871|488966
65977|CT UNEMPLOYMENT TAXES PAYABLE|1084|486831
65978|CT USE TAX PAYABLE|81|486831
65757|Accrued leave and sick pay|14280|482721
65709|FUTA|250|482617
65706|Mastercard|112|482617
65708|FICA|968|482617
65707|401K|823|482617
65713|SWT|298|482617
65712|SUTA|152|482617
65711|Medicare|271|482617
65710|FWT|1146|482617
67398|PR Taxes Payable|11122|489544
64352|0|0|479198
67399|Payroll withholdings|1758|489545
67402|Due to shcolarship fund|6033|489545
67401|Pass through arbitration award|8136|489545
