OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
158467|1201|PLAYER MARKETING|2008-08-06|30000|574671|395304
164786|1201||2008-09-09|5520|599839|403265
164789|1201||2008-11-24|14760|599839|403265
164790|1201||2009-01-05|7680|599839|403265
164791|1201||2009-01-23|6480|599839|403265
164792|1201||2009-03-09|8640|599839|403265
164793|1201||2009-03-31|7500|599839|403265
164796|1201||2009-06-09|6960|599839|403265
164797|1201||2009-06-29|9000|599839|403265
186283|1201|RX|2009-07-01|29196|665464|418653
186423|1201|N/A|2009-12-30|0|666302|418779
186436|1201|N/A|2009-12-30|0|666303|418779
186449|1201|N/A|2009-12-31|0|666304|418779
186462|1201|N/A|2009-12-30|0|666305|418779
190873|1201|FFA|2009-04-29|9791|684476|420033
190899|1201|UFC|2009-09-16|11229|684486|420033
193735|1201|#NA|2009-09-23|62500|696848|420794
168461|1201|RENT|2009-07-17|10500|613663|405528
163690|1201|SAME.|2008-11-19|15000|594717|403018
163691|1201|SAME.|2008-12-09|15000|594717|403018
163692|1201|SAME.|2009-01-06|15000|594717|403018
157198|1201|REIMBURSE FOR RENT & CLERICAL SERVICES|2008-02-15|7242|570065|392129
157199|1201|SAME|2008-03-12|7242|570065|392129
157200|1201|SAME|2008-04-29|7241|570065|392129
157201|1201|SAME|2008-05-14|7242|570065|392129
157202|1201|SAME|2008-06-11|7242|570065|392129
157203|1201|SAME|2008-07-16|7241|570065|392129
157204|1201|SAME|2008-08-14|7242|570065|392129
157205|1201|SAME|2008-09-12|7242|570065|392129
157206|1201|SAME|2008-10-20|7472|570065|392129
157207|1201|SAME|2008-11-14|7472|570065|392129
157208|1201|SAME|2008-12-12|7472|570065|392129
157209|1201|SAME|2009-01-16|7472|570065|392129
157284|1201|FOR EMPLOYEE AND EMPLOYER PAYROLL TAXES|2009-03-31|10250|570559|392559
157521|1201|INCOME FOR ROBUTRAD CORP|2008-02-14|110903|571301|393254
157522|1201|INCOME FOR ROBUTRAD CORP|2008-02-28|108392|571301|393254
157523|1201|INCOME FOR ROBUTRAD CORP|2008-03-13|108444|571301|393254
157524|1201|INCOME FOR ROBUTRAD CORP|2008-03-27|109248|571301|393254
157525|1201|INCOME FOR ROBUTRAD CORP|2008-04-10|123004|571301|393254
157526|1201|INCOME FOR ROBUTRAD CORP|2008-04-24|113070|571301|393254
157527|1201|INCOME FOR ROBUTRAD CORP|2008-05-08|104563|571301|393254
157528|1201|INCOME FOR ROBUTRAD CORP|2008-05-22|119531|571301|393254
157529|1201|INCOME FOR ROBUTRAD CORP|2008-06-05|100697|571301|393254
157530|1201|INCOME FOR ROBUTRAD CORP|2008-06-19|114001|571301|393254
157531|1201|INCOME FOR ROBUTRAD CORP|2008-07-02|122728|571301|393254
157532|1201|INCOME FOR ROBUTRAD CORP|2008-07-17|109902|571301|393254
157533|1201|INCOME FOR ROBUTRAD CORP|2008-07-31|114955|571301|393254
