OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
136248|1105|||||396856
138179|1105|N/A|N/A|0|0|402065
138180|1103|0|N/A|||402078
138181|1101|0|N/A|6.00|19.55|402078
167927|1103|||||428922
167928|1101|40.00|MO|||428922
167929|1104|||||428922
167930|1102|||||428922
167931|1105|||||428922
167932|1103|||||428941
167933|1101|2x hourly rate|month|24.62495|52.70|428941
135476|1103|100|lifetime|||394514
135477|1101|7|wk|||394514
135478|1104|||||394514
135479|1102|||||394514
135480|1105|||||394514
136775|1104|||||399989
136776|1102|||||399989
136777|1105|||||399989
136788|1103|$350||||400021
136790|1104|||||400021
136791|1102|||||400021
136792|1105|||||400021
136810|1104|NA|NA|NA|NA|400066
136811|1102|5%|HOUR|5%|5%|400066
136812|1105|NA|NA|NA|NA|400066
136828|1103|||||400088
136829|1101|572.52|YEAR|||400088
136830|1104|||||400088
136831|1102|||||400088
136832|1105|||||400088
136833|1103|||||400104
136835|1104|||||400104
136836|1102|||||400104
136837|1105|||||400104
136858|1103|50.00||||400152
136859|1101|27.69|month|||400152
136860|1104|||||400152
136861|1102|||||400152
136862|1105|||||400152
136868|1103|0|0|||400154
136869|1101|0|0|||400154
136870|1104|0|0|||400154
136871|1102|0|0|||400154
136872|1105|0|0|||400154
136908|1103|||||400358
136909|1101|.15|Hour|||400358
136910|1104|||||400358
136911|1102|||||400358
136912|1105|||||400358
136914|1101|31.00|MO.|0|0|400359
136915|1104|0|N/A|0|0|400359
136916|1102|0|N/A|0|0|400359
136917|1105|0|N/A|0|0|400359
136918|1103|||||400360
136919|1101|31.00|MONTH|||400360
136920|1104|||||400360
136921|1102|||||400360
136922|1105|||||400360
137079|1101|N/A|MONTH|18.00|36.00|400548
137080|1104|N/A|N/A|N/A|N/A|400548
137081|1102|N/A|N/A|N/A|N/A|400548
137082|1105|N/A|N/A|N/A|N/A|400548
167934|1104|||||428941
167935|1102|||||428941
167936|1105|||||428941
167937|1103|||10|200|429018
117139|1103|NA|NA|NA|NA|379445
117140|1101|4.5%|MONTH|NA|NA|379445
117141|1104|NA|NA|NA|NA|379445
117142|1105|NA|NA|NA|NA|379445
136924|1101|0|MONTH|17|60|400361
136925|1104|||||400361
136926|1102|||||400361
136927|1105|||||400361
136928|1103|500.00||||400362
136930|1104|0|0|||400362
136931|1102|0|0|||400362
136932|1105|0|0|||400362
136933|1103|$2,500||||400374
136935|1104|||||400374
136936|1102|||||400374
136937|1105|||||400374
136955|1104|||||400401
136957|1105|||||400401
136958|1103|55.00|0|0|0|400414
136959|1101|34.88|0|0|0|400414
136960|1104|0|0|0|0|400414
136961|1102|34.88|0|0|0|400414
136962|1105|0|0|0|0|400414
136963|1103|$150|PERSON|||400416
136964|1101|N/A|N/A|||400416
136965|1104|N/A|N/A|||400416
146801|1105|0||||408831
138182|1104|0|N/A|||402078
146802|1103|||||408837
149358|1104|||||412703
138183|1102|1%|PAY|||402078
138184|1105|0|N/A|||402078
139401|1104|||||402824
139402|1102|||||402824
139403|1105|||||402824
149523|1104|N/A||||412846
149605|1105|||||412927
136993|1103|||||400432
136994|1101|856.56|Year|489.84|1012.56|400432
136995|1104|||||400432
136996|1102|||||400432
129763|1103|550.00|INSTANCE|||384882
129764|1101|11.50-40.00|MONTH|||384882
129765|1104|||||384882
129766|1102|2.8%|GROSS WAGES|||384882
129767|1105|||||384882
137073|1103|5|YEAR|||400547
137074|1101|12.95|HOUR|||400547
137075|1104|||||400547
137076|1102|1 HR/WAGE|MONTH|||400547
136997|1105|||||400432
134529|1103|NA|ONE TIME|30|200|392062
134530|1101|36.95|MONTH|NA|NA|392062
134531|1104|NA|ONETIME|0|200|392062
134532|1102|4%|GROSS WAGES|NA|NA|392062
134533|1105|37.95|MONTH|NA|NA|392062
134569|1103|0|0|200.00|1000.00|392129
134570|1101|0|MONTH|28.00|53.00|392129
134571|1104|0|0|0|0|392129
134572|1102|0|0|0|0|392129
134573|1105|0|MONTH|83.25|104.00|392129
134693|1103|N/A|NEW MEMBER|26.00|75.00|392275
134694|1101|N/A|MONTH|16.50|38.00|392275
134695|1104|N/A|N/A|||392275
134696|1102|N/A|N/A|||392275
134697|1105|N/A|N/A|||392275
134698|1103|30.00||||392276
134699|1101|Various|Month|11.00|25.00|392276
134700|1104|0.00||||392276
134701|1102|1.3 X hourly rate|Month|||392276
134702|1105|0.00||||392276
134708|1103|$50 - $125|Once|$50|$125|392398
134709|1101|$25 - $36|Month|$25|$36|392398
134710|1104|None|N/A|||392398
134711|1102|None|N/A|||392398
134712|1105|None|N/A|||392398
134723|1103|N/A|N/A|N/A|N/A|392559
134724|1101|N/A|N/A|N/A|N/A|392559
134725|1104|N/A|N/A|N/A|N/A|392559
134726|1102|N/A|N/A|N/A|N/A|392559
134727|1105|N/A|N/A|N/A|N/A|392559
134738|1103|N/A|N/A|N/A|N/A|392655
134739|1101|N/A|N/A|N/A|N/A|392655
134740|1104|N/A|N/A|N/A|N/A|392655
134741|1102|N/A|N/A|N/A|N/A|392655
134742|1105|N/A|N/A|N/A|N/A|392655
134797|1103|||||392748
134798|1101|21.00|Month|||392748
134799|1104|||||392748
134800|1102|||||392748
134801|1105|||||392748
134876|1103|1.00||||392972
134877|1101|1.45% GROSS|MONTH|||392972
134878|1104|||||392972
134879|1102|||||392972
134880|1105|||||392972
134921|1103|10.00|member|||393027
134922|1101|1.45%
.02/hr|month|||393027
134923|1104|none||||393027
134924|1102|none||||393027
134925|1105|none||||393027
134966|1103|||||393224
134967|1101|28.00|Month|19.50|52.00|393224
134968|1104|||||393224
134969|1102|||||393224
134970|1105|||||393224
134986|1103|0|MONTH|0|0|393254
134987|1101|0|MONTH|50|1219|393254
134988|1104|0|MONTH|0|0|393254
134989|1102|0|MONTH|0|0|393254
134990|1105|0|MONTH|0|0|393254
135051|1103|100|INIT|N/A|N/A|393587
135052|1101|52.50|MONTH|N/A|N/A|393587
135053|1104|N/A|N/A|N/A|N/A|393587
135054|1102|N/A|N/A|N/A|N/A|393587
135055|1105|N/A|N/A|N/A|N/A|393587
135086|1103|0|0|100.00|500.00|393650
135087|1101|0|QTR.|87.75|102.75|393650
135088|1104|0|0|0|0|393650
135089|1102|0|0|0|0|393650
135090|1105|0|0|0|0|393650
135091|1103|||||393651
135092|1101|18.84|Bi weekly|||393651
135093|1104|||||393651
135094|1102|||||393651
135095|1105|||||393651
135146|1103|10||||393733
135147|1101|1.45%+.02p/hr|month|||393733
135148|1104|0||||393733
135149|1102|0||||393733
135150|1105|0||||393733
135191|1103|50|N/A|||393785
135192|1101|20-25|MONTH|||393785
135193|1104|10|N/A|||393785
135194|1102|N/A||||393785
135195|1105|N/A|N/A|||393785
135226|1103|40|hr|20|40|393829
135227|1101|2.5|hr|||393829
135228|1104|0||||393829
135229|1102|0||||393829
135230|1105|0||||393829
135236|1103|n/a||||393920
135237|1101|26.42|bi-weekly|||393920
135238|1104|n/a||||393920
135239|1102|n/a||||393920
135240|1105|n/a||||393920
137077|1105|||||400547
135536|1103|100.00||||394939
135537|1101|67.25|MONTH|63.75|67.25|394939
135538|1104|NONE||||394939
135539|1102|NONE||||394939
135540|1105|NONE||||394939
135626|1103|1.00-100.00|Month|1.00|100.00|395204
135627|1101|7.77-10.27|Month|7.77|10.27|395204
135628|1104|None||||395204
135629|1102|None||||395204
135630|1105|9.97|Month|||395204
135641|1103|150|N/A|75|150|395278
135642|1101|32|MONTH|27|32|395278
135643|1104|N/A|N/A|N/A|N/A|395278
135644|1102|N/A|N/A|N/A|N/A|395278
135645|1105|N/A|N/A|N/A|N/A|395278
135646|1103|0|0|0|0|395304
135647|1101|$10,000|MEMBER|$1,000|$10,000|395304
135648|1104|0|0|0|0|395304
135649|1102|0|0|0|0|395304
135650|1105|0|0|0|0|395304
135651|1103|0|N/A|||395305
135652|1101|2.46|MONTH|2.46|2.46|395305
135653|1104|0|N/A|||395305
135654|1102|0|N/A|||395305
135655|1105|D. N.  A|N/A|||395305
135701|1103|10||||395427
135702|1101|1.45%+.02p/hr|month|||395427
135703|1104|0||||395427
135704|1102|0||||395427
135705|1105|0||||395427
135716|1103|10|MEM|||395442
135717|1101|1..45%
.02|MONTH
HOUR|||395442
135718|1104|||||395442
135719|1102|||||395442
135720|1105|||||395442
135786|1103|150|N/A|150|150|395693
135787|1101|40|MONTH|28.40|40|395693
135788|1104|N/A|N/A|N/A|N/A|395693
135789|1102|N/A|N/A|N/A|N/A|395693
135790|1105|N/A|N/A|N/A|N/A|395693
135796|1103|||||395696
135797|1101|21.28|Bi-Weekly|||395696
135798|1104|||||395696
135799|1102|||||395696
135800|1105|||||395696
135821|1103|$ 50.00|ONE TIME|0|0|395745
135822|1101|2 HOURS|MONTH|0|0|395745
135823|1104|0|0|0|0|395745
135824|1102|0|0|0|0|395745
135825|1105|0|0|0|0|395745
135856|1103|$30|NONE|NONE|NONE|396213
135857|1101|$32-$102|MONTH|$32.00|$102.00|396213
135858|1104|NONE|NONE|NONE|NONE|396213
135859|1102|HOURLY RATE X 2|NONE|NONE|NONE|396213
135860|1105|NONE|NONE|NONE|NONE|396213
135876|1103|100.00||||396225
135877|1101|69.75|MONTH|66.25|69.75|396225
135878|1104|NONE||||396225
135879|1102|NONE||||396225
135880|1105|NONE||||396225
135896|1103|$50|one time fee|||396239
135897|1101|2 hrs.|month|||396239
135898|1104|N/A||||396239
135899|1102|N/A||||396239
135900|1105|N/A||||396239
135921|1103|0||||396244
135922|1101|32.27|MONTH|||396244
135923|1104|0||||396244
135924|1102|0||||396244
135925|1105|0||||396244
135961|1103|100.00||||396279
135962|1101|75.00|MONTH|71.50|75.00|396279
135963|1104|NONE||||396279
135964|1102|NONE||||396279
135965|1105|NONE||||396279
135976|1103|100.00||||396282
135977|1101|68.25|MONTH|68.25|69.25|396282
135978|1104|NONE||||396282
135979|1102|NONE||||396282
135980|1105|NONE||||396282
136040|1103|0|event|500|1000|396455
