OID|DESCRIPTION|BOOK_VALUE|RPT_ID
26658|EMPLOYEE AUTO FICA|11|401566
26487|CONTRIBUTION CERTIFICATE|100|400401
26488|UTILITY DEPOSIT|39|400401
27653|CONSTRUCTION PERIOD INTEREST NET|2784|403991
31057|Rent Deposit - Indianapolis, IN-(2nd Office)|950|419658
31058|Rent Deposit-Duluth, MN Office|950|419658
31373|N/A|0|420155
32243|GROUP INSURANCE DEPOSIT|500|429204
32247|PREPAID MAINTENANCE SERVICES|79824|429204
32246|PREPAID EMPLOYEE MEDICAL INSURANCE|43993|429204
32245|PREPAID INSURANCE|35044|429204
32244|LEGAL RESERVE|78659|429204
26957|NONE|0|403012
32578|Prepaid expenses|3733|431929
32580|Premium Reserve Fund on deposit with carrier|358450|431929
32579|Lease deposit|6880|431929
28152|SECURITY DEPOSITS|1860|407450
27898|Prepaid supply inventory|12697|405817
28202|Deposits|100|407795
31683|PREPAID INSURANCE|7461|420717
27504|PREPAID STATE OF NEW HAMPSHIRE BUSINESS TAXES|243|403762
26820|NONE|0|402581
28450|ACCRUED INTEREST RECEIVABLE|8897|409438
28454|DUE FROM MASTERCARD|17|409438
28453|DUE FROM BUILDING CORP|365871|409438
28452|DUE FROM WELFARE FUND|97703|409438
28451|DUE FROM PENSION FUND|68796|409438
28881|SECURITY DEPOSITS|5074|413068
28882|PREPAID EXPENSES|17663|413068
29409|Rent Deposit|4388|415547
29087|Bibles|500|414139
29088|Promotional Items|600|414139
28583|PREPAID EXPENSES|2617|410658
28009|PREPAID EXPENSES|1887904|406624
28014|DEFERRED COMPENSATION - 457b|782633|406624
28013|RESERVE FOR MARKET VALUE OF INVESTMENTS|14010|406624
28012|ALLOWANCE FOR DOUBTFUL ACCOUNTS|-3002653|406624
28011|SECURITY DEPOSITS|120423|406624
28010|EMPLOYEE TRAVEL ADVANCES|316000|406624
29447|DEPOSIT NOT CREDITED AT END OF YEAR FROM CHECKING|11589|415606
28333|Security Deposit Office|738|408698
28334|Security Deposit DIA|1600|408698
30188|Inventory|15210|417845
30607|BIBLES|1850|418706
34540|RENT DEPOSIT|3355|441041
28430|Security deposits|420|409241
27131|Security Deposits|934|403212
27133|Unrealized Gain on Investments For LM-2 Reporting|213038|403212
27132|Prepaid Expenses|70359|403212
32130|SECURITY DEPOSITS|10763|426263
27651|Inventory-Fundraising items|6383|403962
27652|Deposits|5900|403962
29178|REFUNDABLE IRS PAYMENT|351|414705
28939|50/50 MEMBERSHIP DRIVE REBATE|1809|413615
28940|NEW MAMBER REBATE|225|413615
29094|Deposit|447|414148
29654|Office Lease Deposit|2950|416378
31267|APWU Building Corp/per MO State Regulations.|402240|420046
31021|Prepaid Credit Cards|5719|419592
30679|Postage Meter|416|418962
30682|Insurance Deposit (Workmen's Comp)|667|418962
30681|Lease/Rent Deposit|2075|418962
30680|USPS Bulk Mail|246|418962
30233|PREPAID INSURANCE|295|417884
30234|REFUNDABLE DEPOSITS|5583|417884
30917|TRUST DEPOSITS|35|419391
30918|CALENDARS|2064|419391
29099|PREPAID EXPENSES|5039|414190
29100|OTHER RECEIVABLE|28|414190
29802|NALC RETIREMENT & DEATH FUND|495209|416872
30910|Deposit Receivable|224|419385
31907|NONE|0|421246
28621|None|0|411100
29703|Payroll taxes|10154|416598
32098|DUE FROM REALTY|114954|425882
29213|Certificate of Deposit's|351592|414901
31977|WORKERS COMPENSATION DEPOSIT|246|422080
31978|RENT DEPOSIT|2000|422080
28477|21 Bibles|672|409794
28479|Utility Deposit|150|409794
28478|9 Watches|522|409794
31209|16 Watches|728|419955
31211|31 Aprons|341|419955
31210|39 T-Shirts|331|419955
29833|REL ESTATE ESCROW|39157|416955
30304|STOCK IN BUILDING CORPORATION|361106|417994
32188|OFFICE SUPPLIES INVENTORY|3824|428209
32189|PREPAID INSURANCE|717|428209
29746|None|0|416784
32057|Texas State Auxiliary Organization|2210|424034
27806|Employee Tax Receivable|994|404874
27319|OVERPAYMENT PAYROLL LIABILITIES|887|403386
27318|POSTAGE|263|403386
26747|Prepaid payroll taxes and expenses|973|402065
27655|NONE|0|403993
31469|SECURITY DEPOSIT|6000|420415
26433|Inventory: Jackets, Shirts, & Pins|5193|399239
26434|Prepaid Expense|1000|399239
30626|PREPAID INSURANCE - VARIOUS|18505|418804
30627|PREPAID PAYROLL|8080|418804
29016|2010 Convention Deposit|10000|413918
31906|LOAN FEES|5000|421242
30024|DEPOSITS|1000|417574
32149|NONE|0|426644
30616|NONE|0|418785
31215|Prepaid Rent|2226|419960
28922|PREPAID EXPENSES|7174|413404
28923|DEFERRED EXPENSES|64933|413404
31898|Loan fees - net of amortization|6989|421119
29953|PREPAID INSURANCE AND TAXES|7788|417324
31240|Security deposit on office rental|3229|420015
32058|SECURITY DEPOSIT ON LEASE|3084|424038
27975|DEPOSIT PAID-CUSTOM SOFTWARE|28708|406606
27980|EXCHANGES|48|406606
27979|PREPAID MEMBERSHIP DUES|2250|406606
27978|PREPAID REAL ESTATE TAXES|2718|406606
27977|PREPAID OFFICE MACHINE MAINTENANCE CONTRACTS|923|406606
27976|PREPAID INSURANCE|22329|406606
30754|Security Deposit|4073|419022
31836|NONE|0|420857
32128|Deposits|530|426158
32129|Miscellaneous A/R|15|426158
32181|RENT DEPOSIT|1950|427656
32183|TRAVEL ADVANCE|484|427656
32182|SAVINGS ACCOUNT ON DEPOSIT WITH NATIONAL|33000|427656
32019|INVENTORY|1000|423108
32020|PREPAID PAYROLL LIABILITIES|84|423108
28079|Utility Security Deposits|1731|407006
31652|PREPAID INSURANCE|49218|420700
31666|PREPAID RENTAL COMMISSION FEES|51010|420700
31665|PREPAID ADS|11650|420700
31664|PREPAID LICENSES & SOFTWARE|91052|420700
31663|PREPAID COUNCIL REBATES|71530|420700
31662|PREPAID DISTRICT RENT|38933|420700
31661|DEFERRED LEASE INCENTIVES|336453|420700
31660|DUE FROM AFFILIATES|255986|420700
31659|UNAMORTIZED FINANCING COSTS|45495|420700
31658|PREPAID SERVICES & SUPPORT|60630|420700
31657|SECURITY DEPOSITS PAID|86078|420700
31656|INVENTORY OF SUPPLIES|97852|420700
31655|PREPAID SUBSCRIPTIONS|73341|420700
31654|PAYROLL WITHHOLDINGS|13105|420700
31653|PREPAID TAXES|107131|420700
28381|Insurance Annuity|584637|408776
28387|Inventory|70492|408776
28386|Prepaid Insurance|26725|408776
28385|Prepaid Expenses - Other|108393|408776
28384|Prepaid-Office Space Rental|52402|408776
28383|Deposit Office Space Rental|56164|408776
28382|Travel Advances|28559|408776
31615|PREPAID INSURANCE|2069|420627
31616|PREPAID POSTAGE|1191|420627
39309|Member union dues|138299|468701
39311|interest|104|468701
39310|reimbursements and membership incentives|4797|468701
31592|Deposits|1554|420597
26528|Reimbursement Payments|4369|400562
28755|n/a|0|412702
32713|CERTIFICATES OF DEPOSIT|21893|433103
30858|Due from Motor Transmission Company|6110|419308
31277|PREPAID DENTAL INSURANCE|60957|420054
32304|NA|0|430430
31378|Payroll Tax deposits|7721|420166
31040|NONE|0|419615
27925|PREPAID EXPENSES|4336|406182
39284|N/A|0|468587
28714|160 SHIRTS|1612|412252
28715|6 BIBLES|180|412252
30325|Security Deposits|3425|418021
27946|SECURITY DEPOSIT|1874|406368
27947|PREPAID EXPENSES|6392|406368
28379|OFFICE LEASE SECURITY DEPOSIT|2800|408773
32314|TRAVEL ADVANCES STAFF|300|430436
32316|RENT DEPOSIT|5366|430436
32315|PREPAID EXPENSES|14179|430436
29015|Rent security deposit|15692|413891
31777|OTHER ASSETS|9370|420809
31775|CONTINENTAL STOCKS UBOP|5000|420809
31776|LIQUOR LICENSE|8770|420809
26845|PARTNERSHIP OF VARIOUS LABOR ORG LAND ACQUISITION|95217|402685
27628|Promotional Supplies Inventory|4229|403886
29537|tax liabilities pd for payroll 1/4/10 on 12/30/09|24743|415808
29538|payroll imounded 12/30/09 for 1/4/10 payroll|38790|415808
30952|RENT DEPOSIT|6300|419463
30954|TELEPHONE SERVICE DEPOSIT|1100|419463
30953|WORKERS COMP INSURANCE DEPOSIT|552|419463
28409|AMOUNTS IN ESCROW|316|408917
32682|0|0|432994
31838|PSO Utility Deposit|115|420861
31842|26 Bibles|836|420861
31841|27 UAW Retiree Hats|283|420861
31840|56 UAW Retiree Jackets|4439|420861
31839|UAW Logo Hats and Shirts|6047|420861
29081|Prepaid Expenses|1351|414117
