OID|DESCRIPTION|AMOUNT|RPT_ID
41770|ACCRUED PAYROLL WITHHOLDINGS|10148|401566
41504|DEATH BENEFIT FUND|71277|400401
42687|ACCRUED PAYROLL TAXES|5549|403243
42977|ACCRUED PAYROLL TAXES|3744|403674
42978|CREDIT CARDS PAYABLE|2556|403674
49668|accrued vacation|1979|420084
46627|Payroll Tax Withholding|3116|416330
46628|Payroll Savings Withholding|500|416330
48056|Due to DC77 FTI|10123|418236
49356|PER CAPITA TAX|25469|419696
49358|FUTA|207|419696
49357|MESC|328|419696
49312|Payroll withholding deductions(includes P/R Taxes)|17532|419658
49319|Other accrued expenses|4900|419658
49318|Accrued health insurance payable|40000|419658
49317|Accrued pension contribution|37615|419658
49316|Accrued per capita payable|1843077|419658
49315|Accrued interest payable|69590|419658
49314|Other reimbursements due affiliates|21338|419658
49313|Accrued rebates due affiliated locals|11391|419658
49747|N/A|0|420155
51006|OTHER PAYABLES|2456|429204
51000|HMSA|12758|429204
51002|EMC|7506|429204
51001|CANCER|29594|429204
50992|ACCRUED POST RETIREMENT BENEFIT|3927328|429204
50999|RSC|9874|429204
50998|LIFE INSURANCE|39308|429204
50997|STATE RETIREE|2221|429204
50996|DIVISION FUND|3425|429204
50995|ACCRUED INTEREST|3051|429204
50994|PAYROLL DEDUCTION PAYABLE|29559|429204
50993|AFSCME PER CAPITA|148227|429204
51003|AMHC|228|429204
51005|RENTAL DEPOSITS|6052|429204
51004|INTEREST PAYABLE|28064|429204
51009|REFUND PAYABLE|15|429204
51008|ACCRUED VACATION & SICK LEAVE & PENSION|2131554|429204
51007|INITITATION FEE|51|429204
42346|NONE|0|403012
51386|Accrued liabilities|33554|431929
51388|Unit Fund balances|4448|431929
51387|Deferred liabilities|102345|431929
43770|Payroll taxes payable|6096|405817
43771|Employee benefits|27095|405817
44255|Accrued Payroll Taxes|5723|407795
48328|Payroll Taxes Withheld|1052|418411
48329|FUTA Tax Payable|112|418411
44404|PAYROLL WITHHOLDINGS AND TAXES PAYABLE|5243|408707
44649|FICA - Social Security|487|409953
44653|City Withholding|440|409953
44652|State Withholding|238|409953
44651|Federal Withholding|1269|409953
44650|FICA - Medicare|114|409953
50176|DEFERRED REVENUE|46683|420717
50178|DUE TO I.B.E.W. BUILDING CORP.|4000|420717
50177|CONTRACTOR JOB TARGETING|92000|420717
43095|UNREALIZED LOSSES ON INVESTMENTS|30493|403762
42063|PAYROLL TAXES WITHHELD BUT NOT YET REMITTED @ Y/E|847|402581
46364|PAYROLL TAX LIABILITIES|5482|415674
50103|Payroll Taxes Payable|1316|420650
41447|DUE TO AFFILIATE|4942|400082
42049|STATE AND COUNTY WITHHOLDING TAX|623|402450
47625|Payroll withholdings|472|417810
44582|DUE TO NATIONAL|121010|409438
44586|ACCRUED PAYROLL|4083|409438
44585|DUES PAYABLE|1338|409438
44584|DUE TO 1109 BLDG CORP|382803|409438
44583|DUE TO PENSION FUND|205356|409438
