OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
135526|2101|Active - Non-dues Paying|478|T|463535
135527|2102|Agency Fee Payers|0|F|463535
15110|2101|REGULAR|700|T|278364
15111|2102|Agency Fee Payers|0|F|278364
135422|2101|Direct Bill Members|622|T|463386
135423|2101|State Members|1285|T|463386
135424|2101|County Members|836|T|463386
135425|2102|Agency Fee Payers|745|F|463386
135470|2101|REGULAR & RETIREES|967|T|463448
135471|2102|Agency Fee Payers|0|F|463448
5891|2101|PAYING MEMBER|1350|T|267819
5892|2102|Agency Fee Payers|0|F|267819
5922|2101|REGULAR MEMBERSHIP|1225|T|267870
5923|2102|Agency Fee Payers|0|F|267870
6049|2101|0FULL MEMBER CATEGORY PAY FULL DUES|400|T|268307
6050|2102|Agency Fee Payers|0|F|268307
135474|2101||1150|F|463454
135475|2102|Agency Fee Payers|0|F|463454
69732|2101|ALL DUES PAYING MEMBERS|5000|T|364870
69733|2102|Agency Fee Payers|0|F|364870
6054|2101|ACTIVE|647|T|268310
6055|2102|Agency Fee Payers|0|F|268310
135483|2101|ACTIVE|1900|T|463458
135484|2101|RETIREES|800|T|463458
135485|2101|ASSOCIATES|3|T|463458
135486|2102|Agency Fee Payers|0|F|463458
135487|2101|active|850|T|463459
135488|2101|retirees|350|T|463459
135489|2102|Agency Fee Payers|0|F|463459
135681|2101|Regular Branch Members|1742|T|463799
135682|2101|Retired Members|401|T|463799
135683|2102|Agency Fee Payers|0|F|463799
135502|2101|ACTIVE|846|T|463491
135503|2101|RETIREES|380|T|463491
135504|2102|Agency Fee Payers|0|F|463491
135507|2101|Regular Members|787|T|463503
135508|2101|Retired Members|311|F|463503
135509|2102|Agency Fee Payers|0|F|463503
135510|2101|Regular Voting Members|804|T|463504
135511|2102|Agency Fee Payers|0|F|463504
5266|2101|MAIL HANDLERS|2546|T|263415
5267|2102|Agency Fee Payers|0|F|263415
65|2101|General Members|765|T|229197
66|2102|Agency Fee Payers|0|F|229197
103|2101|Regular|1032|T|238611
104|2102|Agency Fee Payers|0|F|238611
133|2101|SALISBURY NC|908|T|241927
134|2101|WINSTON SALEM NC|152|T|241927
135|2101|FAYETTEVILLE NC|511|T|241927
136|2101|DURHAM NC|417|T|241927
137|2102|Agency Fee Payers|0|F|241927
135310|2101|Regular and Retirees|1242|T|463288
135311|2102|Agency Fee Payers|0|F|463288
135332|2101|Active|35|T|463320
135333|2101|Retired|21|T|463320
135334|2102|Agency Fee Payers|0|F|463320
6270|2101|Active members|1015|T|268649
6271|2101|Retired members|35|T|268649
6272|2102|Agency Fee Payers|0|F|268649
135530|2101|ACTIVE MEMBERS|866|T|463542
135531|2101|RETIRED MEMBERS|17|T|463542
135532|2102|Agency Fee Payers|0|F|463542
6275|2101|Regular|2145|T|268651
6276|2102|Agency Fee Payers|0|F|268651
135655|2101|Active Government Employee Members|982|T|463691
135656|2101|Retirees|15|T|463691
135657|2102|Agency Fee Payers|0|F|463691
6419|2101|Regular Dues-Paying Members - Voting|367|T|268922
6420|2101|Associate Members - Non Voting|5500|F|268922
6421|2102|Agency Fee Payers|0|F|268922
6428|2101|GENERAL|3569|T|268927
6429|2102|Agency Fee Payers|0|F|268927
37710|2101|Regular Members|29|T|314454
37711|2102|Agency Fee Payers|0|F|314454
76616|2101|General Membership with voting rights|2645|T|371689
76617|2102|Agency Fee Payers|0|F|371689
6587|2101|Union Members|1397|T|269236
6588|2102|Agency Fee Payers|0|F|269236
135505|2101|ACTIVE|14461|T|463501
135506|2102|Agency Fee Payers|0|F|463501
135632|2101|Top Level with salary over 40,000 - 1.25%|1400|T|463674
135633|2101|Full Time|1000|T|463674
135634|2101|Half Time|850|T|463674
135635|2101|Quarter time|500|T|463674
135636|2102|Agency Fee Payers|325|F|463674
135533|2101|REGISTERED NURSE|499|T|463543
135534|2102|Agency Fee Payers|0|F|463543
18181|2101|REGULAR - JOURNEYMAN|178|T|296613
18182|2102|Agency Fee Payers|0|F|296613
135665|2101|DETECTIVES|400|T|463699
135666|2102|Agency Fee Payers|0|F|463699
135535|2101|REGULAR|1130|T|463544
135536|2101|LIFE MEMBERS|361|T|463544
135537|2102|Agency Fee Payers|0|F|463544
135782|2101|Regular|244|T|464085
135783|2102|Agency Fee Payers|0|F|464085
29|2101|Regular Members|521|T|227102
30|2101|Associate members|2120|F|227102
31|2102|Agency Fee Payers|0|F|227102
135538|2101|Members|7500|T|463546
135539|2102|Agency Fee Payers|0|F|463546
135597|2101|Bargaining agent members|556|T|463591
135598|2101|Non-Bargaining agent members|44|T|463591
135599|2102|Agency Fee Payers|0|F|463591
135541|2101|APPRENTICES|51|T|463549
135542|2101|EARLY RETIRED|20|T|463549
135543|2101|REGULAR|290|T|463549
