OID|DESCRIPTION|BOOK_VALUE|RPT_ID
91614| Prepaid Insurance|132546|737701
91616|Prepaid Expenses|203841|737701
91615|Prepaid Sub-Lease Commission|180708|737701
90587|INVENTORY OF PROMOTIONAL ITEMS (ESTIMATED)|28100|734116
90562|Contribution Certificate|100|733909
90563|Utility Deposit|39|733909
91781|RENT DEPOSIT|800|738521
91780|PREPAID BUILDING RENT|1698|738521
91324|Inventories|42833|736413
91342|CREDIT CARD REFUND|1096|736442
91419|Apparell Inventory|3083|736581
91653|INVENTORY OF APPAREL|39163|737880
90566|INVENTORY OF APPAREL (ESTIMATED & NOT AUDITED)|6923|733937
90567|CREDIT CARD REFUND|1423|733937
91318|APPAREL INVENTORY (ESTIMATED AND NOT AUDITED)|8508|736399
91635|Inventory|58897|737775
90966|None|0|735839
91321|LOCAL #805 - T-SHIRTS ON HAND|16395|736406
91280|Prepaid Insurance|7911|736356
91284|Accrued interest in CDARS|4571|736356
91283|Security Deposit|150|736356
91282|Prepaid expenses|667|736356
91281|Prepaid Maintenance|2312|736356
91478|Investment in Subsidiaries|5000|736759
91484|Operating Lease ROU Asset|43935|736759
91483|Finance Lease ROU Asset|102287|736759
91482|Loan Fees|8000|736759
91481|Gifford Deposit|1373|736759
91480|Merchandise|7260|736759
91479|Movie Tickets|22285|736759
91841|INVENTORY|16056|738763
91842|PREPAID EXPENSES|875|738763
91945|SECURITY DEPOSITS|1860|738989
91531|Prepaid expenses|9105|737060
90689|PREPAID PAYROLL TAXES|3929|734953
90690|PREPAID STATE BUSINESS TAXES|200|734953
90761|INVENTORY OF PROMOTIONAL ITEMS FOR MEMBERS|14077|735217
90762|SMALL TOOLS USED BY MEMBERS FOR CHARITY PROJECTS|6568|735217
91725|Escrow|5056|738064
91727|Prepaid Payroll|11264|738064
91726|Due from Affiliates|77499|738064
91447|ACCRUED INTEREST RECEIVABLE|6748|736658
91889|EMPLOYEE SALARY REIMBURSEMENT RECEIVABLE|18443|738899
91891|ACCRUE INTEREST RECEIVABLE|5976|738899
91890|PREPAID EXPENSES|8728|738899
91243|Literature Department Inventory & Embarked Funds|80444|736294
91245|GHQ Other Assets|46|736294
