OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
289982|2101|Active|26257|T|737701
289983|2101|Retiree|2007|F|737701
289984|2102|Agency Fee Payers|9|F|737701
288096|2101|Early retire|30|T|736181
288092|2101|Retired|67|T|736181
288093|2101|Apprentice|224|T|736181
288094|2101|Honorary|108|T|736181
288095|2101|Pre-apprentice|16|T|736181
288091|2101|Journeymen|1302|T|736181
289191|2101|JOURNEYMEN|735|T|736572
289192|2101|APPRENTICE|96|T|736572
289193|2101|RETIRED|85|T|736572
289194|2101|DISABLED|30|T|736572
289195|2101|HONORARY|77|T|736572
289196|2101|ARREARS|83|F|736572
286960|2101|Members - Regular|1239|T|735611
286961|2101|Members - Apprentice|165|T|735611
286962|2101|Members - Retired|290|T|735611
285705|2101|LOCAL UNIONS|19|T|734116
285706|2102|Agency Fee Payers|0|F|734116
288799|2101|PENSIONERS|135|F|736455
288798|2101|JOURNEYMEN|1684|T|736455
288800|2102|Agency Fee Payers|0|F|736455
285619|2101|Apprentices|332|F|733909
285618|2101|Journeyman|1048|T|733909
285620|2101|Retirees|162|T|733909
290394|2101|REGULAR MEMBERS|907|T|738521
290395|2102|Agency Fee Payers|0|F|738521
288707|2101|Journeymen & Apprentices|4889|T|736413
288708|2101|Early Retired|129|T|736413
288709|2101|Retired|100|T|736413
288710|2101|Disabled|25|T|736413
288711|2101|Honorary|104|T|736413
288767|2101|JOURNEYMEN|2877|T|736442
288768|2101|APPRENTICE|914|T|736442
288769|2101|RETIRED|244|T|736442
288770|2101|DISABLED|18|T|736442
288771|2101|HONORARY|161|T|736442
288772|2101|ARREARS|230|F|736442
286403|2101|ACTIVE MEMBERS|3505|T|735196
286404|2101|APPRENTICES|1492|T|735196
286405|2101|50 DISABLED MEMBERS|18|T|735196
286406|2101|IN SERVICE|6|T|735196
286407|2101|RETIRED|216|T|735196
286408|2101|HONARARY MEMBERS|72|T|735196
286409|2102|Agency Fee Payers|2|F|735196
289201|2101|Building Trades|939|T|736581
289202|2101|Production Workers|264|T|736581
289203|2101|Retired, Disabled and military members|249|T|736581
