OID|DISBURSEMENT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
4131394|501|Communications Consultant|2019-09-16|5610|2712253|737701
4131395|501|Printing window & picket signs, booklets|2019-11-19|8826|2712254|737701
4131396|501|Printing window & picket signs, booklets|2019-12-18|13130|2712254|737701
4131397|501|Pre-Strike Video |2019-10-10|9337|2712255|737701
4131398|501|Strike - Radio Ads|2019-10-16|111142|2712256|737701
4131399|501|Strike - Radio Ads|2019-10-31|42000|2712256|737701
4131400|501|Strike - Radio Ads|2019-11-05|43012|2712256|737701
4131401|501|Strike - Radio Ads|2019-10-23|111142|2712256|737701
4131402|501|Charter Project|2020-03-05|73305|2712261|737701
4131403|501|Member Defense|2020-03-04|5875|2712262|737701
4131404|501|Art Organizers|2019-09-16|11000|2712263|737701
4131405|501|Art Organizers|2019-10-08|15750|2712263|737701
4131406|501|Negotiation Prep - Parade|2019-07-23|10000|2712265|737701
4131407|501|Member Cases|2019-10-02|6050|2712266|737701
4131408|501|Member Cases|2020-01-17|8075|2712266|737701
4131409|501|Communications Consultant|2019-11-19|5550|2712267|737701
4131410|501|Member Defense|2019-07-10|90781|2712269|737701
4131411|501|Member Defense|2019-08-21|38938|2712269|737701
4131412|501|Member Defense|2019-10-02|42556|2712269|737701
4131413|501|Member Defense|2019-10-18|26507|2712269|737701
4131414|501|Member Defense|2019-11-01|29636|2712269|737701
4131415|501|Member Defense|2019-11-19|37126|2712269|737701
4131416|501|Member Defense|2020-01-07|30501|2712269|737701
4131417|501|Member Defense|2020-02-03|74195|2712269|737701
4131418|501|Member Defense|2020-04-02|38346|2712269|737701
4131419|501|April 2017 Member Defense|2020-05-08|27449|2712269|737701
4131420|501|Sept 2016 Member Defense|2020-05-08|37893|2712269|737701
4131421|501|Member Defense|2020-05-22|32701|2712269|737701
4131422|501|Communication/Advertising Consultant|2019-07-10|6000|2712271|737701
4131423|501|Communication/Advertising Consultant|2019-07-18|6000|2712271|737701
4131424|501|Communication/Advertising Consultant|2019-07-25|6000|2712271|737701
4131425|501|Communication/Advertising Consultant|2019-07-31|6000|2712271|737701
4131426|501|Communication/Advertising Consultant|2019-09-19|18000|2712271|737701
4131427|501|Communication/Advertising Consultant|2019-09-26|17950|2712271|737701
4131428|501|Communication/Advertising Consultant|2019-10-03|6000|2712271|737701
4131429|501|Communication/Advertising Consultant|2019-10-10|6000|2712271|737701
4131430|501|Communication/Advertising Consultant|2019-10-17|8000|2712271|737701
4131431|501|Communication/Advertising Consultant|2019-10-24|6000|2712271|737701
4131432|501|Communication/Advertising Consultant|2019-10-31|6000|2712271|737701
4131433|501|Communication/Advertising Consultant|2019-08-08|6000|2712271|737701
4131434|501|Communication/Advertsing Consultant|2019-08-22|6000|2712271|737701
4131435|501|Strike Related Broadcasting|2019-09-19|15000|2712272|737701
4131436|501|Strike Related Broadcasting|2019-10-11|20000|2712272|737701
4131437|501|Strike Related Broadcasting|2019-10-16|16800|2712272|737701
4131438|501|Strike Related Broadcasting|2019-11-20|16400|2712272|737701
4131439|501|Communications/Negotiations Teletown|2019-10-09|5607|2712273|737701
4131440|501|Communications/Negotiations Teletown|2019-10-30|7110|2712273|737701
4131441|501|Communications/Negotiations Teletown|2019-11-19|18850|2712273|737701
4131442|501|Communications/Negotiations Teletown|2019-12-18|7983|2712273|737701
4131443|501|Communications Consultant - We Still Teach|2020-06-04|5500|2712275|737701
4131444|501|ONLINE SURVEY - CONTRACT|2019-10-02|21150|2712277|737701
4131445|501|ONLINE SURVEY-NEGOTIATIONS|2019-11-01|7614|2712277|737701
4131446|501|CTU STRIKE POLL|2019-11-19|7000|2712277|737701
4131447|501|Arbitrator|2019-11-19|7200|2712279|737701
4131448|501|Media Broadcast Negotiations/Strike|2019-09-19|14000|2712281|737701
4131449|501|Media Broadcast Negotiations/Strike|2019-10-10|8470|2712281|737701
4131450|501|Media Broadcast Negotiations/Strike|2019-10-16|6815|2712281|737701
4131451|501|Printing of Tentative Agreement|2019-12-18|14686|2712282|737701
4131452|501|Legal Services|2019-11-21|34563|2712285|737701
4131453|501|Member Defense|2019-07-24|29244|2712286|737701
4131454|501|Member Defense|2019-08-21|31945|2712286|737701
