OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|GROSS_SALES_PRICE|AMOUNT_RECD|RPT_ID
67300||2006 FORD FIVE HUNDRED|25253|0|2700|2700|518888
67302||2009 CHEVY TAHOE|52818|23768|25000|25000|518888
67301||2006 FORD FIVE HUNDRED|25253|0|1500|1500|518888
67077||General Electric Capital Corporation|200000|200000|200000|200000|518467
63901||Fed HM LN MTG|99920|99920|100000|100000|504817
63908||Vanguard GNMA|13152|13152|12985|12985|504817
63907||UST Infl IDX|33805|33805|38252|38252|504817
63906||Fed Home Ln|99920|99920|100126|100126|504817
63905||Templeton Global|10191|10191|9135|9135|504817
63904||Pimco|15152|15152|13664|13664|504817
63903||Fed Natl MTG|70035|70035|70000|70000|504817
63902||Fed HM  LN Bank|150030|150030|149379|149379|504817
64563||none|0|0|0|0|505372
66867||FNMA Principal Received|4680|4680|4680|4680|517827
66869||Amalgamated.Bk-NY-Donated Stk-Series B Preferred |0|0|270000|270000|517827
66868||Automobiles Sold in Yr-2012|127357|23400|23400|23400|517827
67541||MARKETABLE SECURITIES|639548|689242|689242|689242|519344
70044||Mutual Funds|162029|162029|163700|163700|529514
65063||EQUITY AND FIXED INCOME SECURITIES|1142808|1142808|1136902|1136902|507809
66083||NA|0|0|0|0|515113
66080||NA|0|0|0|0|515113
66082||NA|0|0|0|0|515113
66081||NA|0|0|0|0|515113
66089||NA|0|0|0|0|515113
66088||NA|0|0|0|0|515113
66087||NA|0|0|0|0|515113
66086||NA|0|0|0|0|515113
66085||NA|0|0|0|0|515113
66084||NA|0|0|0|0|515113
64056||AMERICAN MUTUAL FUND CLASS A|20369|20369|29343|29343|504998
64058||AMERICAN NEW WORLD FUND CLASS A|29265|29265|29047|29047|504998
64057||AMERICAN CAPITAL WORLD GRTH & INCOME FD|44169|44169|40000|40000|504998
63617||MUTUAL FUNDS|253902|271912|262079|262079|504439
62697||MARKETABLE SECURITIES|25000|25000|25000|25000|498965
62840||2000 CHEVY SUBURBAN|0|0|2850|2850|501363
62841||2011 CADILLAC ESCALADE|0|0|40000|40000|501363
66286||FURNITURE & EQUIP. (abandoned)|1630|0|0|0|515982
66292||COUNTER GLASS PARTITIONS (abandoned)|1018|961|0|0|515982
66291||PERIMETER FENCE (abandoned)|3301|1706|0|0|515982
66290||WALL AIR CONDITIONER (abandoned)|391|362|0|0|515982
66289||FAN, PHONE, CHAIR, DESK (abandoned)|1010|361|0|0|515982
66288||DESK, CHAIRS, BOOKCASE, TABLE, SAFE (abandoned)|1500|0|0|0|515982
66287||FLOOR POLISHING MACH. (abandoned)|240|0|0|0|515982
63620||Blackrock Res & Comm Strat Tr|33205|33205|37726|37726|504463
63623||Eaton Vance Large Cap Value|51594|51594|56302|56302|504463
63622||Nuveen Short Duration Cr Opp|40000|40000|36409|36409|504463
63621||First Trust High Inc|50000|50000|37676|37676|504463
70339||None|0|0|0|0|532930
65038||US GOVERNMENT AND GOVERNMENT AGENCIES|2882246|2882246|2854783|2854783|507561
65043||AUTOMOBILES|1150403|735623|365206|365206|507561
65042||MUTUAL FUNDS|455971|455971|520639|520639|507561
65041||MUNICIPAL BONDS|20000|20000|20462|20462|507561
65040||FOREIGN BONDS|67026|67026|68215|68215|507561
65039||CORPORATE BONDS|5083955|5083955|5077806|5077806|507561
65375||n/a|0|0|0|0|509466
64422||Marketable Securities|9705248|10076347|10076347|10076347|505240
64421||US Treasuries |2532613|2558072|2558072|2558072|505240
