OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|CASH_PAID|RPT_ID
135602||Loomis Sayles Mutual Funds|10000|10000|10000|518467
135607||Templeton Global|75000|75000|75000|518467
135606||Pimco FDS|70000|70000|70000|518467
135605||Pimco Short Term Fund|70000|70000|70000|518467
135604||Oppenheimer Strategic Income|70000|70000|70000|518467
135603||Loomis Sayles Mutual Funds|50000|50000|50000|518467
139412||Air Condition Unit|10634|10634|10634|520769
139413||Dell Laptop Computers (3)|2252|2252|2252|520769
126786||2011 FORD TAURUS|28968|28968|28968|502874
126789||IPAD|724|724|724|502874
126788||IPAD|844|844|844|502874
126787||2011 CHRYSLER 300|35088|35088|35088|502874
126781||2012 Chevrolet Suburban|32727|30541|32722|502827
128697||Dodge & Cox|25764|25764|25764|504817
128708||Schwab Money Fund|14621|14621|14621|504817
128707||FEd Home Ln Bank|150030|150030|150030|504817
128706||JPM Strategic|40690|40690|40690|504817
128705||Goldman Sach Strategic Fund|26347|26347|26347|504817
128704||Vanguard GNMA Fund|111238|111238|111238|504817
128703||SIT US Govt|77128|77128|77128|504817
128702||GNMA II 06/20/2041 4.5%|47108|47108|47108|504817
128701||GNMA II 12/20/2040 5%|34125|34125|34125|504817
128700||Fing Corp|48929|48929|48929|504817
128699||Esygrth Tr Rec|10958|10958|10958|504817
128698||Doubline Total Return|26285|26285|26285|504817
130411||Laptop PC and Accompanying Software (9/30/11)|847|847|847|505372
130414||Mouse (for computer) (10/1/11)|56|56|56|505372
130413||Travel Printer (10/1/11)|308|308|308|505372
130412||Brother Printer (10/1/11)|440|440|440|505372
132887||LAPTOP|1033|1033|1033|514060
132888||SOFTWARE|559|559|559|514060
134695||Desk top computer|855|855|855|517051
137227||2011 Chevrolet Truck|24885|24885|16185|519778
137230||Blower Duct|889|889|889|519778
137229||Ice Machine|2566|2566|2566|519778
137228||Desktop Computer|915|915|915|519778
132351||Laptop Computer|742||742|512329
135161||Automobiles|78650|78650|78650|517827
135164||Iron Fence around  Building Air Conditioner|6650|6650|6650|517827
135163||Building Tuckpointing|130000|130000|130000|517827
135162||Building Air Conditioner|8730|8730|8730|517827
134583||PAYMENT FOR SECURITY DEPOSIT ON OFFICE LEASE|3800||3800|516991
167472||2 ASUS Computers|1936|1936|1936|590357
136702||EQUIPMENT & FURNITURE|27035|27035|27035|519344
136703||MARKETABLE SECURITIES|715835|715835|715835|519344
130958||Office furniture & equipment|10160|10160|10160|506649
142158||Building Roof, Mt. Clemens, MI|12360|12360|12360|529514
142159||Mutual Funds, Mt. Clemens, MI|168297|168297|168297|529514
131310||EQUITY AND FIXED INCOME SECURITIES|1196032|1196032|1196032|507809
131453||AIR CONDITIONING UNIT|29604|29604|29604|508156
131455||PROJECTOR|596|596|596|508156
131454||ROOF|42150|42150|42150|508156
133445||NA|0|0|0|515113
133454||NA|0|0|0|515113
133453||NA|0|0|0|515113
133452||NA|0|0|0|515113
133451||NA|0|0|0|515113
133450||NA|0|0|0|515113
133449||NA|0|0|0|515113
133448||NA|0|0|0|515113
133447||NA|0|0|0|515113
133446||NA|0|0|0|515113
137338||PHONE SYSTEM|2780|2780|2780|519841
137340||COPIER|1620|1620|1620|519841
137339||COMPUTER|2023|2023|2023|519841
129140||AMERICAN - BOND FUND OF AMERICA|58390|58390|58390|504998
128090||MUTUAL FUNDS|284799|284799|284799|504439
133494||OFFICE EQUIPMENT|273|273|273|515229
137455||Vanguard purchase of additional stocks|20000|20000|20000|519937
126164||OFFICE EQUIPMENT|2082|2082|2082|498965
126165||AUTOMOTIVE EQUIPMENT|17241|17241|14741|498965
126513||2011 CHEVROLET EQUINOX|31349|31349|31349|501363
126515||ESCROW PAYMENT FOR THE NEW BUILDING|45000|45000|45000|501363
126514||2011 CADILLAC ESCALADE|37860|37860|37860|501363
133837||H.P. LASER FAX MACHINE|249|249|249|515982
133838||COUNTER GLASS PARTITIONS|1018|1018|1018|515982
128107||Invesco Balances Risk Alloc A|60000|60000|60000|504463
128111||Two Ford Taurus|37567|37567|37567|504463
128110||Blackrock Res & Comm Strat Tr|33205|33205|33205|504463
128109||Unit VK S&P Dividend|39995|39995|39995|504463
128108||Unit VK Sustainable G&I 2012|39993|39993|39993|504463
126338||OFFICE EQUIPMENT|3004|3004|3004|499351
134678||New Phone System|6860|6860|6860|517019
137161||Union Bank & Trust CD|100|100|100|519720
137162||Share Point Credit Union CD, MMs and Savings|2041|2041|2041|519720
133210||Equipment purchase|43|43|43|514880
142697||None|0|0|0|532930
131541||Blue Networks Telephone System|1071|1071|1071|508287
131543||Replacement Window|965|965|965|508287
131542||Various Mutual Funds ( Principal Financial and DWS|457|457|457|508287
131250||US GOVERNMENT AND GOVERNMENT AGENCIES|1443351|1443351|1443351|507561
131257||LAND AND BUILDING, POTSDAM, NY|966561|966561|966561|507561
131256||AUTOMOBILES|1336669|1336669|1336669|507561
131255||IMPROVEMENTS|380130|380130|380130|507561
131254||COMPUTER EQUIPMENT|29029|29029|29029|507561
131253||OFFICE FURNITURE AND EQUIPMENT|237166|237166|237166|507561
131252||MUTUAL FUNDS|1699631|1699631|1699631|507561
131251||CORPORATE BONDS|3929158|3929158|3929158|507561
131943||n/a|0|0|0|509466
136726||2012 Chevy Impala|19716|19716|19716|519383
136727||Mutual Funds|666633|680180|666633|519383
129993||US Treasuries|2285377|2285377|2285377|505240
129996||Building Improvements|251738|251738|251738|505240
129995||Furniture and Fixtures|31825|31825|31825|505240
129994||Marketable Securities|6738591|6738591|6738591|505240
147871||GMC truck|29888||29888|543512
147875||Sever back up system|1537||1567|543512
147874||Computers & printers|4239||4239|543512
147873||Office Furniture|13642||13642|543512
147872||Chrystler Town & Country, van|28809||28809|543512
137744||Office Furniture and Equipment|5306|5306|5306|520105
141168||PURCHASE/REINVEST DIVIDENDS OF MUTUAL FUNDS|2505|2505|2505|521886
132457||Asphalt Parking Lot|28200|28200|28200|512826
132458||New Roof|8316|8316|8316|512826
141466||Computers|460|460|460|522451
141470||Range Fryer|910|910|910|522451
141469||Alarm System & Fire Alarm|5952|5952|5952|522451
141468||Awning|1750|1750|1750|522451
141467||Office Furniture|3513|3513|3513|522451
136863||DELL COMPUTER OPTIPLEX 390|1175|1175|1175|519485
133082||1|||0|514611
144952||LASER FAX|300|300|300|535361
144953||27 I-MAC|1699|1699|1699|535361
133572||Computer & accy|13943|5579|13943|515339
133574||Mutual funds|295388|295388|295388|515339
133573||Refrigerator|2873|1231|2873|515339
141345||Copier|13684|12707|13684|522160
141347||Fax/copier|408|367|408|522160
141346||Computer and software|14849|13788|14849|522160
140654||0|0|0|0|521372
167609||COPIER|2653|2167|2653|591188
140730||computors and Accessories |2708|2708|2708|521450
140732||Copiers|439|439|439|521450
140731||Office Chairs|1128|1128|1128|521450
140739||0|0|0|0|521456
140930||Franklin Tax Free - Limited Term Tax Free|22689|22689|22689|521647
140933||Franklin Tax Free - PA Tax Free|22911|22911|22911|521647
140932||Franklin Tax Free - Intermediate Term Tax Free|22798|22798|22798|521647
140931||Franklin Tax Free - Hi Yield Tax Free|22962|22962|22962|521647
136403||Office Equipment - Computer|843|843|843|519129
126448||File Cabinets|3260|3260|3260|501202
126452||Server|11436|11436|11436|501202
126451||Scanner|1810|1810|1810|501202
126450||Laptop Computer|997|997|997|501202
