OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
317730|1201|PRODUCER SECURITY DEPOSIT|2011-09-30|20000|1132541|495995
347038|1201|A|2012-01-02|0|1232857|519351
333365|1201|IRS|2012-09-17|115909|1190654|508935
337215|1201|WVU|2012-04-12|19242|1201679|516247
337382|1201| |||1201947|516278
348133|1201|PAC|2012-06-15|118493|1237119|519671
349192|1201|Grant|2012-01-10|75000|1240650|519870
349193|1201|Grant|2012-04-24|25000|1240650|519870
349194|1201|Grant|2012-11-12|100000|1240650|519870
380587|1201|Dues|2012-12-31|313824|1362500|522651
380588|1201|Dues|2012-12-31|94403|1362501|522651
380589|1201|Dues|2012-12-31|100035|1362502|522651
380594|1201|Dues|2012-12-31|44927|1362507|522651
380595|1201|Dues|2012-12-31|480361|1362508|522651
380596|1201|Dues|2012-12-31|154158|1362509|522651
349697|1201|UA Grant|2012-02-21|6000|1241891|519889
380599|1201|FEE|2012-12-31|13667|1362556|522659
381039|1201|WAGES|2012-05-04|10739|1366462|524017
377245|1201|REBATES|2012-01-30|6503|1347017|521677
377246|1201|REBATES|2012-02-22|6530|1347017|521677
349698|1201|UA Grant|2012-03-26|6000|1241891|519889
349699|1201|UA Grant|2012-04-24|6000|1241891|519889
349700|1201|UA Grant|2012-06-04|12000|1241891|519889
349701|1201|UA Grant|2012-07-31|6000|1241891|519889
349702|1201|UA Grant|2012-08-07|6000|1241891|519889
349703|1201|UA Grant|2012-09-10|6000|1241891|519889
349704|1201|UA Grant|2012-09-26|6000|1241891|519889
349705|1201|UA Grant|2012-12-10|12000|1241891|519889
350044|1201|REBATE|2012-05-17|5051|1244145|519931
350045|1201|REBATE|2012-06-04|16236|1244145|519931
350046|1201|REBATE|2012-10-09|12112|1244145|519931
350401|1201|BEQUEST|2012-04-16|6843|1245800|519948
350402|1201|BEQUEST|2012-04-27|100000|1245801|519948
350403|1201|BEQUEST|2012-09-27|204562|1245802|519948
377247|1201|REBATES|2012-03-26|6552|1347017|521677
352799|1201|Donation |2012-08-30|15000|1256157|520055
352800|1201|Donation|2012-08-21|5000|1256158|520055
352801|1201|Donation|2012-07-31|10000|1256159|520055
352802|1201|Donation |2012-08-30|5000|1256160|520055
377248|1201|REBATES|2012-04-23|6572|1347017|521677
377249|1201|REBATES|2012-05-25|6560|1347017|521677
377250|1201|REBATES|2012-06-26|6569|1347017|521677
352803|1201|Donation |2012-09-14|5000|1256161|520055
352804|1201|Donation |2012-08-30|5000|1256162|520055
352805|1201|Donation |2012-10-01|5000|1256163|520055
353606|1201|Refund|2012-10-17|9598|1259043|520103
353658|1201|REFUND|2012-05-31|12136|1259104|520111
353964|1201|SUBSIDY|2012-04-23|5000|1260190|520115
353965|1201|SUBSIDY|2012-05-02|20000|1260190|520115
353966|1201|SUBSIDY|2012-06-05|7500|1260190|520115
353967|1201|SUBSIDY|2012-09-11|7500|1260190|520115
353968|1201|SUBSIDY|2012-10-04|7500|1260190|520115
253452|1201|Reimbursement|2011-07-28|5582|883433|469959
253453|1201|Reimbursement|2011-08-18|5310|883433|469959
253454|1201|Reimbursement|2011-09-30|7686|883433|469959
253455|1201|Reimbursement|2011-10-28|6481|883433|469959
255245|1201|Telephone Reimbursement|2011-08-31|2460|889379|471424
353969|1201|SUBSIDY|2012-11-12|7500|1260190|520115
255655|1201|Cash Transfer from terminated Local Union|2011-07-01|99089|890495|473352
257792|1201|INSURANCE REFUND|2011-05-16|1776|895082|476326
257793|1201|FUNDS TO PAYOFF LINE OF CREDIT|2011-04-09|48129|895083|476326
259134|1201|Deposit received in error|2011-09-01|10805|900437|477569
259135|1201|Proceeds from vehicle sale|2012-01-09|32708|900441|477569
259136|1201|Reimbursement|2011-07-29|25329|900443|477569
259137|1201|Insurance Refund|2011-10-28|5232|900443|477569
259138|1201|Reimbursement|2011-08-08|6345|900446|477569
259139|1201|Insurance Reimbursement|2011-09-01|12873|900447|477569
259140|1201|Arbitration Settlement|2011-10-20|8900|900448|477569
353970|1201|SUBSIDY|2012-11-30|7500|1260190|520115
377251|1201|REBATES|2012-07-25|6556|1347017|521677
355322|1201|Jan 2012|2012-03-09|125000|1266016|520163
355323|1201|Feb 2012|2012-03-09|125000|1266016|520163
355324|1201|MAR 2012|2012-03-16|125000|1266016|520163
355325|1201|APR 2012|2012-03-30|141667|1266016|520163
377252|1201|REBATES|2012-08-20|6578|1347017|521677
355326|1201|APR 2012|2012-04-13|125000|1266016|520163
356934|1201|Subsidy|2012-01-31|12536|1272104|520240
356935|1201|Subsidy|2012-02-29|12535|1272104|520240
356936|1201|Subsidy|2012-03-31|12535|1272104|520240
356937|1201|Subsidy|2012-04-30|12535|1272104|520240
356938|1201|Subsidy|2012-05-31|12536|1272104|520240
356939|1201|Subsidy|2012-06-30|13074|1272104|520240
320275|1201|Reimbursements of Expenses|2011-05-19|23896|1138791|499216
317241|1201|REIMBURSE FOR RENT & CLERICAL SERVICES|2011-02-23|7845|1130711|494363
317242|1201|SAME.|2011-03-18|7845|1130711|494363
317243|1201|SAME.|2011-04-14|7845|1130711|494363
317244|1201|SAME.|2011-05-11|7845|1130711|494363
317245|1201|SAME.|2011-06-08|7845|1130711|494363
317246|1201|SAME.|2011-07-20|7845|1130711|494363
317247|1201|SAME.|2011-08-17|7845|1130711|494363
317248|1201|SAME.|2011-09-09|7844|1130711|494363
317258|1201|SAME.|2011-12-08|5000|1130712|494363
317259|1201|SAME.|2012-01-11|5000|1130712|494363
317249|1201|SAME.|2011-10-14|8018|1130711|494363
317250|1201|SAME.|2011-11-10|8018|1130711|494363
317251|1201|SAME.|2011-12-21|8018|1130711|494363
317252|1201|SAME.|2012-01-18|8018|1130711|494363
317253|1201|ORGANIZING REIMBURSEMENT|2011-07-20|5000|1130712|494363
317254|1201|SAME.|2011-08-10|5000|1130712|494363
317255|1201|SAME.|2011-09-09|5000|1130712|494363
317256|1201|SAME.|2011-10-16|5000|1130712|494363
317257|1201|SAME.|2011-11-10|5000|1130712|494363
356940|1201|Subsidy|2012-07-31|13074|1272104|520240
317582|1201|Fines|2011-09-09|5600|1132227|495994
317583|1201|Insurance Refund|2011-09-08|6309|1132230|495994
317584|1201|Insurance Settlement|2011-10-25|151462|1132231|495994
317585|1201|SAG Contract Payment|2011-05-10|5666|1132232|495994
317586|1201|SAG Contract Payment|2011-05-10|5666|1132232|495994
317587|1201|SAG Contract Payment|2011-07-20|72808|1132232|495994
317588|1201|SAG Contract Payment|2011-07-21|32862|1132232|495994
317589|1201|SAG Contract Payment|2011-07-21|51358|1132232|495994
317590|1201|SAG Contract Payment|2011-07-21|24063|1132232|495994
317591|1201|SAG Contract Payment|2011-07-23|5666|1132232|495994
317592|1201|SAG Contract Payment|2011-08-08|5666|1132232|495994
317593|1201|SAG Contract Payment|2011-08-19|25450|1132232|495994
317594|1201|SAG Contract Payment|2011-08-29|32862|1132232|495994
317595|1201|SAG Contract Payment|2011-09-01|51358|1132232|495994
317596|1201|SAG Contract Payment|2011-09-02|72808|1132232|495994
317597|1201|SAG Contract Payment|2011-09-09|51358|1132232|495994
317598|1201|SAG Contract Payment|2011-09-13|32862|1132232|495994
317600|1201|SAG Contract Payment|2011-09-14|72808|1132232|495994
317601|1201|SAG Contract Payment|2011-09-23|26012|1132232|495994
317602|1201|SAG Contract Payment|2011-09-23|24713|1132232|495994
317603|1201|SAG Contract Payment|2011-09-29|5864|1132232|495994
317604|1201|SAG Contract Payment|2011-10-12|51358|1132232|495994
317605|1201|SAG Contract Payment|2011-10-14|32862|1132232|495994
317606|1201|SAG Contract Payment|2011-10-17|72808|1132232|495994
317607|1201|SAG Contract Payment|2011-11-01|65724|1132232|495994
317608|1201|SAG Contract Payment|2011-11-03|5666|1132232|495994
317609|1201|SAG Contract Payment|2012-01-10|5864|1132232|495994
317610|1201|SAG Contract Payment|2012-01-12|5864|1132232|495994
