OID|DESCRIPTION|BOOK_VALUE|RPT_ID
44955|Contribution Certificate|100|502827
44956|Utility Deposit|39|502827
46370|none|0|505372
47874|USPS bulk mail account balance|23299|517051
48092|Rent - Security Deposit - Duluth, MN|950|517827
48094|Rent - Security Deposit - Cleveland, OH|5441|517827
48093|Rent - Security Deposit - Chicago, IL|1800|517827
47841|SECURITY DEPOSITS|3800|516991
48847|PREPAID EMPLOYEE MEDICAL INSURANCE|38592|519344
48844|GROUP INSURANCE DEPOSIT |500|519344
48846|PREPAID INSURANCE|51975|519344
48845|LEGAL RESERVE|78659|519344
48851|RECEIVABLE FROM MAF|10000|519344
48850|INSURANCE PROVIDER|8420|519344
48849|INTEREST RECEIVABLE|24884|519344
48848|PREPAID MAINTENANCE SERVICES|75806|519344
46703|Lease deposit|10231|508272
46704|Prepaid expenses|2721|508272
46682|SECURITY DEPOSITS|1860|508185
46481|Prepaid supply inventory|4163|506649
46482|Prepaid expense|3740|506649
47671|Rent Deposit- IBEW|900|516537
47364|NA|0|515113
45807|OVERPAYMENT OF PAYROLL TAXES|1154|504998
45808|OVERPAYMENT OF STATE OF NH BUSINESS TAXES|449|504998
45325|NONE|0|504439
44814|PREPAID INSURANCE|3886|501363
44815|DUE FROM THE SSOBA WELFARE FUND|98889|501363
45329|ACCRUED INTEREST RECEIVABLE|1568|504451
47863|Prepaid expenses|1171|517019
47864|Security deposit|5074|517019
47300|Rent Deposit|4388|514880
51634|None|0|532930
46709|T-shirt Inventory|2237|508287
46711|Prepaid Property Taxes|618|508287
46710|Prepaid Insurance|1665|508287
50460|Prepaid insurance|211|521409
46599|PREPAID EXPENSES|2286738|507561
46604|DEFERRED COMPENSATION - 457B|1209494|507561
46603|RESERVE FOR MARKET VALUE|337813|507561
46602|ALLOWANCE FOR DOUBTFUL ACCOUNTS|-6009836|507561
46601|SECURITY DEPOSITS|99915|507561
46600|EMPLOYEE TRAVEL ADVANCES|300400|507561
46721|Office Security Deposit|738|508316
46882|n/a|0|509466
48871|Inventory|6721|519383
46623|Security deposits|420|507606
46124|Security Deposits|848|505240
46126|Unrealized Gains on Investments for LM-2 Reporting|1283780|505240
46125|Prepaid Expenses|75683|505240
50372|Security Deposit|7546|521230
53262|Due from PAC Fund|1697|543512
53263|Travel Agency Escrow account|5000|543512
48953|REFUNDABLE PAYROLL TAXES|3117|519485
47248| ||514611
47413|Deposit|447|515339
46907|Rental Security Deposit|2950|510251
50435|0|0|521372
50478|Building Corp per Mo.State|477240|521450
50481|0|0|521456
44800|None|0|501202
50646|EMPLOYEE ADVANCE|1026|521773
47110|PREPAID INSURANCE ETC|5878|513420
50373|PREPAID EXPENSES|4081|521232
47416|PREPAID EXPENSES|7093|515363
48135|NALC Retirement & Death Fund|516211|518008
47677|Security Deposit|224|516554
