OID|DESCRIPTION|BOOK_VALUE|RPT_ID
19468|CONTRIBUTION CERTIFICATE|100|367185
19469|UTILITY DEPOSIT|39|367185
20730|CONSTRUCTION PERIOD INTEREST NET|3159|369171
21914|DUE FROM PAINTERS AFFILIATES|4035|377451
24157|Prepaid Expenses - Payroll|123755|383847
24166|Rent Deposit - St. Louis, MO-(2nd Office)|3928|383847
24165|Rent Deposit - Indianapolis, IN-(2nd Office)|950|383847
24164|Rent Deposit Storage Area - Detroit, MI|100|383847
24163|Rent Deposit - St. Louis, MO|3025|383847
24162|Rent Deposit - Macedonia, OH|2500|383847
24161|Utility Deposit - Macedonia, OH|619|383847
24160|Phone Deposit - St. Louis, MO|235|383847
24159|Cemetary Lots - St. Louis, MO|4400|383847
24158|Inventory - T-shirts, Jackets and Hats|14460|383847
27919|N/A|0|406024
23701|Kids Kamp T-shirts|0|382942
23253|NONE|0|381890
24967|GROUP INSURANCE DEPOSIT|500|384632
24971|PREPAID MAINTENANCE SERVICES|78106|384632
24970|PREPAID EMPLOYEE MEDICAL INSURANCE|38367|384632
24969|PREPAID INSURANCE|44582|384632
24968|LEGAL RESERVE|78659|384632
19715|NONE|0|368004
21460|Prepaid expenses|3503|373097
21462|Premium Reserve Fund on deposit with carrier|357067|373097
21461|Lease deposit|5817|373097
21428|SECURITY DEPOSIT|1860|373067
21023|Prepaid supply inventory|13014|371133
24399|PREPAID INSURANCE|5160|384095
20121|UNREALIZED GAINS ON INVESTMENTS|101161|368765
19794|NONE|0|368239
23445|Payroll Tax Refund Receivable|2752|382306
19245|Prepaid Expenses|7539|364115
19710|PREPAID EXPENSES|1812|367998
21467|ACCRUED INTEREST RECEIVABLE|4412|373105
21470|DUE FROM BUILDING CORP|293792|373105
21469|DUE FROM WELFARE FUND|68116|373105
21468|DUE FROM PENSION FUND|47415|373105
20243|Prepaid Insurance|4030|368950
26587|SECURITY DEPOSITS|5074|401079
22336|Rent Deposit|4388|379299
24175|BIBLES|775|383869
24177|SHIRTS|3500|383869
24176|PROMOTINAL ITEMS|1000|383869
21175|PREPAID EXPENSES|2213431|372231
21179|RESERVE FOR MARKET VALUE OF INVESTMENTS|-106460|372231
21178|ALLOWANCE FOR DOUBTFUL ACCOUNTS|-2278524|372231
21177|SECURITY DEPOSITS|186875|372231
21176|EMPLOYEE TRAVEL ADVANCES|316800|372231
21571|SECURITY DEPOSIT OFFICE|738|373571
21572|SECURITY DEPOSIT DIA|4200|373571
23625|Inventory|6742|382807
24099|BIBLES|2100|383787
25819|RENT DEPOSIT|3355|386185
21592|Security deposits|420|373907
19645|Security Deposits|934|367866
19646|Prepaid Expenses|319848|367866
24470|SECURITY DEPOSITS|10763|384199
19372|Security Deposit-rent|5600|366477
19374|Inventory-Fundraising items|5442|366477
19373|Security Deposit-utilities|300|366477
25753|REFUNDABLE IRS PAYMENTS|476|385509
22296|MIS. INCOME|120|379172
24022|PREPAID COSTS|23833|383682
22793|Deposit|447|380763
24365|Office Lease Deposit|2950|384025
25999|APWU Building Corp./Per MO State Regulations|287530|391069
23964|Prepaid Credit cards|9765|383493
25279|Prepaid payroll liabilities|77|385164
22500|Postage Due|37|379922
22504|Insurance Deposit (Workmen's Comp)|667|379922
22503|Lease/Rent Deposit|2075|379922
22502|USPS Bulk Mail|400|379922
22501|Postage Meter|216|379922
22814|REFUNDABLE DEPOSITS|5583|380813
22813|PREPAID INSURANCE|295|380813
21012|SECURITY DEPOSITS|45880|371085
22393|TRUST DEPOSITS|35|379447
22394|CALENDARS|1876|379447
25771|PREPAID EXPENSES|5666|385531
25772|OTHER RECEIVABLE|15175|385531
23617|NALC RETIREMENT & DEATH FUND|494326|382786
22785|Deposit Recievable|224|380701
25865|NONE|0|387566
21824|Overpaid Payroll Taxes Refund Receivable|2316|376907
22810|PAYROLL TAXES|636|380797
26098|DUE FROM REALTY CORP.|129192|392658
22471|CD Banks|365291|379704
24505|WORKERS COMPENSATION DEPOSIT|246|384266
24506|RENT DEPOSIT|2000|384266
26560|13 Bibles|416|400919
26562|Utility Deposit|150|400919
26561|4 Watches|232|400919
23827|41 Watches|1866|383338
23829|Pocket Planners|1238|383338
23828|Color Coded Calendars|1310|383338
23615|REL ESTATE ESCROW|51542|382783
23616|NEW BUILDING PRE CONSTRUCTION COSTS|204157|382783
23099|STOCK IN BUILDING CORPORATION|361106|381465
24242|PREPAID EXPENSES|4911|383907
22170|None|0|378682
20887|Prepaid union dues|24|369462
20647|POSTAGE|187|369048
20648|OVERPAYMENT OF PAYROLL LIABILITIES|364|369048
20827|PREPAID NRLCA DUES FOR FULL-TIME EMPLOYEE|153|369337
28956|SECURITY DEPOSIT|6000|413688
24042|PREPAID FEDERAL INCOME TAXES|3737|383706
24043|PREPAID STATE INCOME TAXES|652|383706
19034|Jackets, Caps, Shirts, Pins Inventory|5402|363090
23444|PREPAID INSURANCE - VARIOUS|17731|382303
23652|DEPOSITS|1000|382867
20636|NONE|0|369039
23168|NONE|0|381565
23972|PREPAID RENT|2000|383502
23337|PREPAID EXPENSES|6723|382092
23338|DEFERRED EXPENSES|67522|382092
26303|PREPAID INSURANCE AND TAXES|7485|396243
25429|Security deposit on office rental|3229|385338
24596|SECURITY DEPOSIT ON LEASE|3084|384379
21713|ADVANCE DEPOSITS PAID-NATIONAL CONVENTION|4021|375398
21717|PREPAID REAL ESTATE TAXES|3171|375398
21716|PREPAID OFFICE MACHINE MAINTENANCE CONTRACTS|1633|375398
21715|PREPAID INSURANCE|19900|375398
21714|ADVANCE DEPOSITS PAID-ANNUAL PICNIC|5910|375398
22282|Security Deposit|4073|379048
25506|NONE|0|385391
23692|Telephone Deposits|530|382931
23693|Miscellaneous Asset|15|382931
26277|RENT DEPOSIT|1950|395357
26278|SAVINGS ACCOUNT ON DEPOSIT WITH NATIONAL|34000|395357
26253|PROMOTION INVENTORY|1000|395203
26254|EARNEST MONEY ON NEW BUILDING|5000|395203
21728|Utility Security Deposits|1731|375681
24432|PREPAID INSURANCE|47545|384177
24449|PREPAID OTHER EXPENSES|15527|384177
24448|PREPAID RENT COMM FEES|36107|384177
24447|PREPAID HEALTH INSURANCE|51087|384177
24446|PREPAID ADVERTISEMENT|66490|384177
24445|PREPAID LICENSE & SOFTWARE|80043|384177
24444|PREPAID COUNCIL REBATES|70986|384177
24443|PREPAID DISTRICT RENT|32520|384177
24442|DEFERRED LEASE INCENTIVES|250654|384177
24441|DUE FROM AFFILIATES|53325|384177
24440|UNAMORITIZED FINANCING COSTS|90990|384177
24439|REAL EASTATE ESCROW AFGE COUNCIL 19|2283|384177
24438|DEATH BENEFIT RESERVE|499236|384177
24437|SECURITY DEPOSITS PAID|137158|384177
24436|INVENTORY OF SUPPLIES|101574|384177
24435|PREPAID SUBSCRIPTIONS|61199|384177
24434|PAYROLL WITHHOLDINGS|1444|384177
24433|PREPAID TAXES|176191|384177
27941|Prepaids - Office Space Rental|47863|406307
27938|Inventory|70706|406307
27940|Deposits- Office Space Rental|56834|406307
27939|Insurance Annutiy|464143|406307
27943|Prepaid - Publications & Equipment Maint Contracts|82803|406307
27942|Prepaid - Business Insurance|28310|406307
28078|PREPAID EXPENSES (INSURANCE $1542, POSTAGE $1191)|2733|407003
39304|U.S. OPM grievance arbitration award        /|157091|468666
39307|Membership Dues |137392|468666
39306|Miscellaneous deposits|1519|468666
39305|Interest and dividends |1373|468666
26159|Deposits|5556|393965
21910|None|0|377426
26680|CERTIFICATES OF DEPOSIT|56339|401683
21619|NA|0|374059
34008|Not applicable|0|439036
26584|Due from Motor Transmission Company|2085|401005
25085|None|0|384722
19033|PREPAID PAYROLL TAX|580|363086
22940|PREPAID DENTAL INSURANCE|53288|381114
22941|INTEREST RECEIVABLE|405|381114
32456|Prepaid payroll taxes|1877|430861
25492|Over payment of Payroll Taxes|3377|385387
24285|PREPAID EXPENSES|600|383940
24286|REFUNDS RECEIVABLE|1069|383940
21127|PREPAID EXPENSES|5675|371734
26161|101 SHIRTS|827|393973
26162|14 BIBLES|465|393973
21747|DENTAL INSURANCE PREMIUMS|124|375967
26529|Security Deposit|3425|400565
20235|DEPOSITS|1874|368941
28464|none|0|409620
26039|Miscellaneous Receivable|1432|391910
21526|OFFICE LEASE SECURTIY DEPOSIT|2800|373291
22490|TRAVEL ADVANCE STAFF|300|379846
22492|RENT DEPOSIT|5366|379846
22491|PREPAID INSURANCE|15372|379846
23886|Rent security deposit|15692|383425
25421|CONTINENTAL STOCKS UBOP|5000|385326
25422|LIQUOR LICENSE|8770|385326
27636|NONE|0|403909
25937|PREPAID FEDERAL INCOME TAX|6799|389135
20962|Promotional Supplies|6965|370612
19154|Security deposit|500|363957
22281|Payroll deduction paid on 12/31 for 1/2 payroll|12695|379044
22447|RENT DEPOSIT|7923|379663
22450|PREPAID PAYROLL LIABILITY|2393|379663
22449|TELEPHONE SERVICE DEPOSIT|1100|379663
22448|WORKERS COMP INSURANCE DEPOSIT|552|379663
21307|AMOUNTS IN ESCROW|284|372841
24575|PSO Utility Deposit|115|384350
23542|Employee Garnishments|379|382601
26170|DEPOSIT RENT|3200|394054
25940|Workers Compensation Deposits|9342|389603
25942|Miscellaneous Deposits|854|389603
25941|Snider Leasing Deposit|5838|389603
23326|DEPOSITS|350|382017
23158|SECURITY DEPOSITS|1948|381562
19828|Security and/or utility deposits|4990|368301
19829|Finance fees|5582|368301
19367|Amounts due from SAL Realty|4590|366470
22566|PREPAID PAYROLL TAXES|103|379961
25872|PREPAID EXPENSES - INSURANCE AND RENT|3079|387773
19693|ADVANCE TO EXECUTIVE DIRECTOR AND DEPUTY DIRECTOR|750|367982
26323|PREPAID EXPENSES|1986|396541
25202|RENT SECURITY DEPOSIT|1200|384985
23249|DEPOSIT - SOCIAL EVENTS|3613|381868
23250|PREPAID EXPENSES|6622|381868
23267|SECURITY DEPOSIT|2322|381920
21421|UTILITY DEPOSITS|100|373064
21423|SUPPLIES INVENTORY|22506|373064
21422|PREPAID POSTAGE|668|373064
25707|INVENTORY OF SUPPLIES FOR RESALE|1232|385494
25708|DEBT ISSUE COST|3123|385494
25917|Real Estate Tax Escrow|3247|388422
25828|PARTIAL INTEREST IN BUILDING|151747|386314
25829|DEPOSIT ON TELEPHONE SYSTEM|4500|386314
32368|MISCELLANEOUS RECEIVABLE - WITHHOLDING EXCHANGE|37311|430585
32369|EXCHANGE|3366|430585
21098|Due to/from Related Funds|376702|371508
21100|Miscellaneous Receivables|18037|371508
21099|Prepaid Expenses|24492|371508
22718|OTHER ASSETS|185|380469
22720|REFUNDABLE DEPOSITS|971|380469
22719|PREPAID PAYROLL|5109|380469
26177|SECURITY DEPOSITS|3295|394157
26179|OTHER DEPOSITS|16701|394157
26178|PREPAID EXPENSES|5368|394157
24684|Worker's compensation deposit|3987|384473
