OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
109527|1201|PLAYER MARKETING VOIDED PAYMENT|2007-04-12|5000|379551|361713
111416|1201|RENT|2007-06-11|13142|388351|363174
111418|1201|RENT|2008-03-11|6780|388353|363174
111420|1201|RENT|2008-02-20|6780|388353|363174
111422|1201|RENT|2008-01-29|6780|388353|363174
111423|1201|RENT|2008-01-29|6780|388353|363174
111426|1201|RENT|2007-11-19|6780|388353|363174
109612|1201|ROYALTIES|2007-09-28|5047|379582|361713
85052|1201|PER CAPITA TAX REIMBURSEMENT|2008-01-31|6920|291388|344224
109613|1201|ROYALTIES|2007-03-01|9813|379582|361713
111428|1201|RENT|2007-10-19|6780|388353|363174
109614|1201|ROYALTIES|2007-04-30|6059178|379582|361713
109615|1201|ROYALTIES|2007-06-29|8636|379582|361713
109616|1201|SPONSORSHIP|2007-09-18|192938|379582|361713
111430|1201|RENT|2007-09-14|6780|388353|363174
111432|1201|RENT|2007-08-15|6780|388353|363174
111433|1201|RENT|2007-07-30|6780|388353|363174
111438|1201|RENT|2007-07-30|33978|388353|363174
109617|1201|SPONSORSHIP|2007-03-22|350000|379582|361713
111439|1201|RENT|2007-05-14|6780|388353|363174
111440|1201|RENT|2007-05-14|1913|388353|363174
109618|1201|SPONSORSHIP|2008-02-15|350000|379582|361713
109619|1201|SPONSORSHIP|2007-07-13|40000|379583|361713
111441|1201|RENT|2007-05-14|1913|388353|363174
111444|1201|RENT|2007-04-30|1913|388353|363174
109620|1201|GUARANTEE|2007-09-25|25000|379584|361713
111445|1201|RENT|2007-04-30|6780|388353|363174
111446|1201|RENT|2007-04-30|93582|388353|363174
109621|1201|ROYALTIES|2007-03-01|5176|379585|361713
109622|1201|ROYALTIES|2007-04-04|7318|379585|361713
111447|1201|RENT|2007-04-30|6780|388353|363174
109623|1201|ROYALTIES|2007-10-17|8116|379585|361713
109624|1201|ROYALTIES|2007-12-14|8744|379585|361713
109625|1201|GUARANTEE|2007-08-29|5000|379586|361713
128219|1201|Reimburse allocation of Training Director|2008-01-23|7650|472129|375811
128220|1201|Reimburse allocation of Training Director|2008-02-22|7650|472129|375811
128221|1201|Reimburse allocation of Training Director|2008-04-07|8270|472129|375811
128222|1201|Reimburse allocation of Training Director|2008-04-29|8270|472129|375811
128223|1201|Reimburse allocation of Training Director|2008-05-23|8270|472129|375811
109626|1201|ROYALTIES|2007-03-01|6496|379586|361713
157122|1201|GRANT|2008-02-22|5418|569795|391915
128224|1201|Reimburse allocation of Training Director|2008-06-23|8270|472129|375811
