OID|DESCRIPTION|AMOUNT|RPT_ID
37769|Payroll withholdings|86|383743
39746|PAYROLL TAXES AND WITHHOLDINGS PAYABLE|2098|385263
31042|ACCRUED PAYROLL WITHHOLDINGS|11661|366265
31231|DEATH BENEFIT FUND|66585|367185
32131|Payroll Tax Liabilities|6208|368631
40537|Per Capitia|68147|389449
40539|Payroll Taxes|48011|389449
40538|Benefits|30464|389449
35603|accrued vacation|4532|379946
37499|Payroll Tax Withholding|4382|383315
37500|Payroll Savings Withheld|600|383315
40447|PER CAPITA|33133|387974
40450|STATE TAX|649|387974
40449|FUTA|762|387974
40448|MESC|461|387974
37897|Payroll withholding deductions(includes P/R Taxes)|47753|383847
37908|Other accrued expenses|24850|383847
37907|Accrued educational training costs|24616|383847
37906|Accrued reimbursed severance benefits|16427|383847
37905|Accrued taxes payable|28153|383847
37904|Accrued payroll|84564|383847
37903|Accrued pension contribution|109120|383847
37902|Accrued per capita payable|375000|383847
37901|Accrued building expenses|57840|383847
37900|Accrued interest payable|94218|383847
37899|Other reimbursements due affiliates|24325|383847
37898|Accrued rebates due Affiliated Locals|24129|383847
43811|N/A|0|406024
37379|Employment Taxes (federal)|1754|382942
37384|403(b)|2000|382942
37383|Voluntary Contributions|58|382942
37382|United Way Contributions|980|382942
37381|County Taxes|204|382942
37380|State Taxes|923|382942
36555|NONE|0|381890
40945|Payroll withholdings payable|1506|393787
39084|ACCRUED POST RETIREMENT BENEFIT|2243438|384632
39099|ACCRUED VACATION & SICK LEAVE & PENSION|1980287|384632
39098|INITIATION FEE|267|384632
39097|OTHER PAYABLES|471|384632
39096|RENTAL DEPOSITS|6052|384632
39095|INITEREST PAYABLE|23029|384632
39094|AFSCME PEOPLE|442|384632
39093|PAC FUND|3054|384632
39092|RSC|9776|384632
39091|MEDICAL, LIFE, MAF, CANCER, MAF, OTHER CONTRACTS|15483|384632
39090|UNIT FUND|11314|384632
39089|STATE RETIREE|2311|384632
39088|DIVISION FUND|3431|384632
39087|ACCRUED INTEREST|3051|384632
39086|PAYROLL DEDUCTION PAYABLE|29559|384632
39085|AFSCME PER CAPITA|144534|384632
31684|PAYROLL TAXES WITHHELD - NOT REMITTED AT YEAR END|797|368004
33908|Accrued liabilities|75345|373097
33910|Unit Fund balances|3896|373097
33909|Deferred liabilities|100342|373097
33278|Payroll taxes payable|5954|371133
33280|Accrued presidents benefits|565|371133
33279|Employee benefits|17604|371133
33774|Accrue Payroll Taxes|3231|373005
39728|Payroll Taxes Withheld|872|385246
33779|PAYROLL WITHHOLDINGS AND TAXES PAYABLE|6703|373010
33780|LEGAL DEFENSE FUND - HEMET PD|3971|373010
35375|FICA - Social Security|400|379449
35379|City Withholding|407|379449
35378|State Withholding|194|379449
35377|Federal Withholding|1039|379449
35376|FICA - Medicare|93|379449
38175|DEFERRED REVENUE|50873|384095
38177|DUE TO I.B.E.W. BUILDING CORP.|4000|384095
38176|CONTRACTOR JOB TARGETING|222780|384095
32332|UNREMITTED PAYROLL TAXES|5032|368765
32333|STATE BUSINESS TAXES PAYABLE|1029|368765
31813|PAYROLL TAXES WITHHELD BUT NOT YET REMITTED @ Y/E|1877|368239
35663|PAYROLL TAX LIABILITIES|5585|380023
36936|Withholdings to forward|1804|382306
31674|STATE AND COUNTY WITHHOLDING TAXES|2397|367998
35888|Employee payroll withholdings|412|380505
33928|ACCRUED PAYROLL|6312|373105
33932|DUE TO 1109 BLDG CORP|300860|373105
33931|DUE TO PENSION FUND|135733|373105
33930|DUE TO NATIONAL|93141|373105
33929|UNION DUES PAYABLE|29|373105
32607|Accrued Payroll Taxes|3398|368950
30419|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT|0|363088
30420|YET DISBURSED BY THE END OF THE REPORTING PERIOD.|355|363088
41680|ACCRUED SEVERANCE PAY|400737|401079
41682|UNION DUES PAYABLE|124202|401079
41681|ACCRUED VACATION PAY|47566|401079
37544|PAYROLL TAXES|595|383356
33504|RETIREE MEDICAL ACCRUAL|48274832|372231
33496|ACCRUED PERSONNEL COSTS|960862|372231
33503|VACATION AND SICK LEAVE ACCRUAL|9132805|372231
33502|LSA EDUCATION LEAVE|107188|372231
33501|PSA EDUCATION LEAVE|82761|372231
33500|RESERVE FOR HEAT USA GRANTS|963|372231
33499|DEFERRED RENTAL LIABILITY|1424880|372231
33498|RESERVE FOR MEDICAL CLAIMS|645977|372231
33497|DEFERRED INCOME|397237|372231
33505|ACCRUED PENSIONS|10812805|372231
37680|ACRUED PAYROL TAXES|3405|383511
34078|PAYROLL TAXES|10464|373571
34079|DEDUCTED WORK ASSESMENTS|308|373571
37280|Payroll withholdings|2859|382807
37801|FEDERAL 941 TAXES|4508|383787
37806|940 TAXES|446|383787
37805|PER CAPITA TAXES UAW CAP COUNCILS|622|383787
37804|PER CAPITA TAXES INTERNATIONAL UNION|12868|383787
37803|MICHIGAN WITHHOLDING TAXES|28|383787
37802|MICHIGAN UNEMPLOYMENT TAXES|893|383787
40305|PAYROLL WITHHOLDINGS|471|386185
40377|PAYROLL DEDUCTIONS WITHHELD|3106|386965
31565|Deferred Income|7220|367866
31570|Other Payroll Withholdings|90911|367866
31569|Payroll Tax Payable|26593|367866
31568|Accumulated Postretirement Benefits|25372381|367866
31567|Accrued Severence Pay|2645561|367866
31566|Objectors Payable|1273|367866
38299|DUES PAYABLE|75|384199
38297|HERE PENSION FUND|78089|384199
38298|TIP FUND|499|384199
34008|PAYROLL TAX WITHHOLDINGS|2945|373286
36656|EMPLOYEE WITHHOLDINGS|2620|382062
36738|Payroll Withholding Taxes|678|382224
36739|Union Dues Withheld|150|382224
37087|Payroll Taxes|2011|382552
38632|PAYROLL TAXES PAYABLE|2000|384441
40193|CREDIT CARD LIABILITIES|3744|385509
40195|PAYROLL TAX LIABILITIES|885|385509
40194|SALES TAX LIABILITIES|68|385509
34958|Real Estate|10000|378620
34959|Payroll Taxes|400|378620
30321|Local Tax - Louisville/Jefferson County Revenue Co|521|362871
30323|Employee Federal Tax WH, Soce Sec & Medicare|2931|362871
30322|KY Withholding Tax|591|362871
35263|WITHHOLDING PAYABLES|3727|379172
37238|PAYROLL TAXES|255|382744
41396|Due to American Express|1558|399311
37998|Costco Credit Card|43|383901
38253|Accrued Leave and Sick Pay for Officers|7088|384163
34658|Master Card|375|377515
34665|State Withholding Tax|424|377515
34664|SUTA|94|377515
34663|Medicare|305|377515
34662|Federal Withholding Tax|1467|377515
34661|FUTA|296|377515
34660|FICA|1302|377515
34659|401 k|172|377515
35027|CREDIT CARD PAYABLE|27|378787
40633|PR Taxes Payable|52841|391069
37667|Prepaid Tax Liabilities|6070|383493
34590|state unemployment tax withheld|13|377207
34594|officers accrued leave|99618|377207
34593|thrift savings|2822|377207
34592|payroll liabilities|7495|377207
34591|federal retirement fund|512|377207
35567|Postage ByPhone (Pitney Bowes)|212|379922
35568|Payroll Tax Liabilities|8013|379922
30047|MN withholding|370|361034
30055|MN DWT|7|361034
30054|Federal Unemployment|6|361034
30053|MN Unemployment|30|361034
30052|Medicare|109|361034
30051|Social Security|335|361034
30050|Federal withholding|863|361034
30049|Employee withholdings|340|361034
30048|Officer withholdings|198|361034
40485|PAYROLL TAXES|2275|388412
37136|Payroll Taxes Payable|530|382595
37138|American Express Payable|7584|382595
37137|Payroll W/H Payable|1068|382595
39518|union dues payable|147|385033
38664|Withheld December 2008 payroll taxes/payroll deduc|1299|384460
38666|Employer liability for benefits not yet paid|1553|384460
38665|December 2008 employer taxes, not yet paid|496|384460
37450|PAYROLL LIABILITIES|3669|383021
35227|SECURITY DEPOSITS|1264|379039
35228|PAYROLL TAXES PAYABLE|8080|379039
41706|Payroll Taxes|895|401181
35795|PAYROLL TAXES PAYABLE|2971|380311
35370|PAYROLL TAXES & BENEFITS|3504|379447
36720|Accrued and withheld payroll taxes|754|382217
39410|Accrued Payroll Taxes|166|384922
31026|PAYROLL TAXES|1715|366230
37670|PAYROLL BEBENFITS WITHHELD|661|383498
37672|OTHER|157|383498
37671|PAYROLL TAXES WITHHELD|2737|383498
40226|PAYROLL TAXES WITHHELD AND ACCRUED|4065|385531
40228|PREPAID RENT|792|385531
40227|SICK AND ANNUAL LEAVE PAYABLE|44327|385531
44588|ACCRUED VACATION AND SICK|34775|409449
44589|ACCRUED WAGES|5366|409449
34805|federal withholding|4|377937
34808|FUTA|468|377937
34807|SUI|9|377937
34806|USPS benefits reimbursement|2424|377937
35973|State of Florida|1875|380701
36946|SICK LEAVE BENEFITS PAYABLE|34042|382313
36947|DAMAGE DEPOSITS|900|382313
40413|PAYROLL TAXES PAYABLE|490|387566
41399|Delta SkyMiles American Express Card|66|399340
41402|Employee Tax Withholding|4655|399340
41401|Employer Payroll Taxes|2543|399340
41400|Marriott Rewards VISA Credit Card|207|399340
35669|PAYROLL WITHHOLDING LIABILITIES|8507|380058
37492|Life insurance withheld|489|383306
37493|Thrift savings withheld|2962|383306
34499|Payroll Taxes Payable|1337|376907
40835|PAYROLL TAXES PAYABLE|3635|392658
40837|KEY DEPOSIT|20|392658
40836|DUE TO MDA|4338|392658
41172|Payroll taxes withheld|1030|396223
37653|PAYROLL TAXES PAYABLE|3966|383484
37657|UNION DUES PAYABLE|116|383484
