OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
103397|2101|FULL DUES PAYING|7731|T|412296
103398|2101|RETIREES|413|T|412296
103399|2101|LIFE MEMBERS|420|T|412296
103400|2102|Agency Fee Payers|0|F|412296
89766|2101|ACTIVE|411|T|385263
89767|2101|RETIRED|146|T|385263
89768|2101|LIFE|71|T|385263
89769|2101|APPRENTICES|46|F|385263
89770|2102|Agency Fee Payers|0|F|385263
90850|2101|Active Carriers|2698|T|386020
90851|2101|Retired members|761|T|386020
90852|2102|Agency Fee Payers|0|F|386020
69855|2101|LOCALS|23|T|366265
69856|2102|Agency Fee Payers|0|F|366265
70415|2101|JOURNEYMAN|825|T|367185
70416|2101|APPRENTICES|173|F|367185
70417|2101|RETIREES|73|T|367185
70418|2102|Agency Fee Payers|0|F|367185
73183|2101|On Withdrawal|30|F|368631
73180|2101|Building Trades|1071|T|368631
73184|2102|Agency Fee Payers|0|F|368631
73181|2101|Production Workers|316|T|368631
73182|2101|Retired|296|T|368631
71546|2101|Regular Members|1604|T|367927
71547|2101|Relief Members|989|T|367927
71548|2101|Retired Members|632|T|367927
71549|2101|Associate Members|34|F|367927
71550|2102|Agency Fee Payers|0|F|367927
75087|2101|APPRENTICES|61|F|369171
75088|2101|PENSIONERS|89|F|369171
75089|2101|HONORARY MEMBERS|31|F|369171
75090|2101|JOURNEYMEN|244|T|369171
75091|2101|MILITARY|1|F|369171
75092|2102|Agency Fee Payers|0|F|369171
91522|2101|Class A Membership (Pay full dues)|207|T|389449
91523|2101|Class BA Membership (do not pay full dues)|11|T|389449
91524|2102|Agency Fee Payers|0|F|389449
85287|2101|A Members|369|T|383315
85288|2101|BA Members|18|T|383315
85289|2102|Agency Fee Payers|0|F|383315
79338|2101|GENERAL MEMBERSHIP|1719|T|377451
79339|2102|Agency Fee Payers|0|F|377451
91272|2101|REGULAR MEMBER|972|T|387974
91273|2102|Agency Fee Payers|0|F|387974
86363|2101|Dues paying members|39695|T|383847
86364|2101|Permit holding members.|5133|F|383847
86365|2102|Agency Fee Payers|0|F|383847
92257|2101|FULL-TIME MEMBERS|5743|T|392814
92258|2101|PART-TIME MEMBERS|1527|T|392814
92259|2102|Agency Fee Payers|0|F|392814
100251|2101|REGULAR MEMBER FULL PAYING|1001|T|406024
100252|2102|Agency Fee Payers|0|F|406024
86790|2101|BA  Members|3019|T|383994
86791|2101|A Members|3|T|383994
86792|2102|Agency Fee Payers|32|F|383994
85778|2101|Local 1626  Members|180|T|383480
85779|2102|Agency Fee Payers|0|F|383480
85010|2101|Regular Members|6700|T|382942
85011|2102|Agency Fee Payers|0|F|382942
92449|2101|Active members / full dues|528|T|393787
92450|2102|Agency Fee Payers|0|F|393787
88430|2101|FULL TIME|10919|T|384632
88431|2101|PART TIME|700|T|384632
88432|2101|RETIREE|2488|F|384632
88433|2101|ASSOCIATE|48|F|384632
88434|2102|Agency Fee Payers|1256|F|384632
71748|2101|APPRENTICE|57|T|368004
71749|2101|HONORARY MEMBER|34|T|368004
71750|2101|EARLY RETIRED AND DISABLED|81|T|368004
71751|2101|RETIRED MEMBERS|52|T|368004
71752|2101|JOURNEYMAN|278|T|368004
71753|2101|CONTRACTOR|4|F|368004
71754|2102|Agency Fee Payers|0|F|368004
77607|2101|Type A Members|7|T|373097
77608|2101|Type BA Members|1609|T|373097
77609|2102|Agency Fee Payers|0|F|373097
