OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|GROSS_SALES_PRICE|AMOUNT_RECD|RPT_ID
36422||MARKETABLE SECURITIES|250023|250023|308906|308906|385263
28682||Rockwell Bond|50270|50000|50000|50000|368631
28684||Morgan Stanley|123156|125000|125000|125000|368631
28683||McCormick Bond|50622|50000|50000|50000|368631
30920||FORD F150|26462|21169|7030|7030|377451
30924||NEW YORK LIFE ANNUITY V|82583|82583|85499|85499|377451
30923||FORD EXPLORER|25015|5003|4000|4000|377451
30922||FORD TAURUS|24679|4936|2200|2200|377451
30921||CROWN VIC|14900|5960|3000|3000|377451
34837||Amalgamated Bk of NY
Common Stk-6,250 Shs-Class A|74187|74187|2000000|2000000|383847
34839||Automobiles
Sold in Yr-2008|717979|218534|218534|218534|383847
34838||FNMA
Principal Received|4680|4680|4680|4680|383847
40984||N/A|0|0|0|0|406024
35728||MARKETABLE SECURITIES|440973|440973|414774|414774|384632
27994||NONE|0|0|0|0|368004
29823||2005 MERCURY SABLE|27013|10579|8000|8000|373067
29780||Sigma Planning|952|996|996|996|373005
29783||EQUITY AND FIXED INCOME SECURITIES|2816512|2816512|2816000|2816000|373008
38085||Northern Trust - Corporate Bonds|637186|456720|456720|456720|402083
35200||AUTOMOBILES|57312|955|6500|6500|384095
28859||SALE OF MARKETABLE SECURITIES - MUTUAL FUNDS|59261|59261|100065|40804|368765
28091||MUTUAL FUNDS|105096|97884|87762|87762|368239
28952||FHLMC 2812|468|468|468|468|368950
28950||FHLMC 2744|24824|21554|24355|24355|368950
28951||FHLMC 2764|20431|17853|19969|19969|368950
28953||Evergreen Global Dividend Opportunity|50000|50625|44615|44615|368950
29603||STOCKS|2400206|2400206|2475459|2475459|372231
29608||AUTOMOBILES|1188382|444847|338975|338975|372231
29607||MUTUAL FUNDS|800000|800000|799993|799993|372231
29606||CORPORATE BONDS|2673923|2673923|2706742|2706742|372231
29605||US GOVT. AGENCY SECURITIES|11981792|11981792|12092712|12092712|372231
29604||US TREASURY SECURITIES|6991776|6991776|7032362|7032362|372231
34630||VARIOUS MARKETABLE SECURITIES|17205|1725|28975|28975|383511
33704||Computer - lost due to flood|944|0|0|0|382807
27852||Marketable Securities|11196107|11199391|11199391|11199391|367866
27390||CD-Flagstar Bank|35000|35000|35000|35000|366477
36626||1997 FORD TAURUS|10011|0|0|0|385509
32184||Republic Federal Bank CD|94000|93549|94000|94000|380763
32187||ML Money Market|50788|50788|50788|50788|380763
32186||BMW Bank CD|50000|49752|50000|50000|380763
32185||Capital One Bank CD|40000|39765|40000|40000|380763
37088||Building Corp. Building, 1717 S. Broadway|955805|796896|1269500|594982|391069
26744||None|0|0|0|0|361034
29493||PROCEEDS RECEIVED FROM "SALE" OF CD|146432|146432|146432|146432|371085
29494||PROCEEDS RECEIVED FROM "SALE" OF COMMERCE CD|1253237|1253237|1253237|1253237|371085
32177||UBS Securities - Seymour Scholarship Fund|20221|20221|20221|20221|380701
36980||Blackrock Intl Growth & Income|14692|9679|9679|9679|389613
36983||Western Asset High Income FD|9843|7989|7989|7989|389613
36982||Pioneer High Income Trust|1528|1370|1370|1370|389613
36981||Pimco High Income Fund|13348|11007|11007|11007|389613
36765||NONE|0|0|0|0|387566
37539||Computer purchased on 3/7/2000 for Vice President|3139|0|0|0|399340
37541||Computer purchased on 2/26/2001 for the Treasurer|1898|0|0|0|399340
37540||HP 882C Printer purchased for use by the Treasurer|212|0|0|0|399340
35267||Furniture & Fixtures|1500|0|347|347|384180
35272||Repurchase Agreement 03/27/2008|97650|97650|97650|97650|384180
35271||Repurchase Agreement 10/18/2008|99739|99739|99739|99739|384180
35270||Repurchase Agreement 02/12/2008|35000|35000|35000|35000|384180
35269||Repurchase Agreement 04/16/2008|300088|300088|300088|300088|384180
35268||Repurchase Agreements 01/01/2007|477484|477484|477484|477484|384180
30906||INDEPENDENCE COMMUNITY BANK CORP-STOCK|0|0|46516|46516|377420
32866||OLD ASSETS WRITTEN OFF|18005|2572|0|0|381329
36739||Building/land 602 Dearborn Toledo OH|65000|65000|65000|59062|386975
31114||None|0|0|0|0|378682
28907||LAPTOP COMPUTER|3491|0|25|25|368864
27782||MONEY MARKET|52240|52240|52240|52240|367725
27784||FNMA 6.25% DUE 3/22/17|25000|25000|25000|25000|367725
27783||RETURN OF PRINCIPAL|43832|43832|43832|43832|367725
29347||FAX MACHINE - JUNKED|353|0|0|0|369337
29348||COPY MACHINE - JUNKED|2126|0|0|0|369337
34720||LIQUIDATED INVESTMENTS|64061|64061|63734|63734|383706
34721||WRITE OFF OLD ABANDONED FULLY DEPRECIATED ASSETS|27506|0|0|0|383706
33239||VARIOUS COMMON STOCKS|155962|155962|140016|140016|382303
29038||NONE|0|0|0|0|369039
32942||NONE|0|0|0|0|381565
36530||Sale of Marketable Securities|1611995|1611995|1564083|1564083|385403
36516||NONE|0|0|0|0|385391
37313||LAND & BUILDING AT 812 S PRESA, SAN ANTONIO, TEXAS|200528|140270|378394|378394|395203
37302||US Government and Agency Bonds|605000|605000|605000|605000|394334
30564||MetLife|0|0|170447|170447|375681
30565||Prudential Financial|0|0|20450|20450|375681
35264||MUTUAL FUNDS|2312111|2312111|1700000|1700000|384177
35266||FURNITURE & EQUIPMENT|57625|0|1250|1250|384177
35265||US TREASURY SECURITIES|50000|50000|50000|50000|384177
41004||NTEU Union Bonds|123867|123867|200000|200000|406307
41009||US Treasury|204922|204922|226931|226931|406307
41008||NTEU Union Mutual Funds|2184395|2184395|2143239|2143239|406307
41007||NTEU Union Equities|3698467|3698467|3378625|3378625|406307
41006||NTEU Trust Mutual Funds|5775|5775|5775|5775|406307
41005||NTEU Trust Equities|87479|87479|67578|67578|406307
32126||VARIOUS COMPUTER EQUIPMENT|37620|0|0|0|380484
30912||None|0|0|0|0|377426
36030||None|0|0|0|0|384722
37722||2006 Ford F150|33551|19585|14000|14000|400565
41816||none|0|0|0|0|409620
37729||REDEMPTION OF SMITH BARNEY CITIGROUP INVESTMENTS|438404|438404|386370|386370|400750
37123||Certificate of Deposit|75000|75000|75000|75000|391910
28093||2002 BLAZER|19605|565|0|0|368251
28094||TELEPHONE SYSTEM|6558|0|200|200|368251
40511||DISPOSAL OF FURNITURE & FIXTURES|5127|0|5127|5127|403909
36970||DODGE DURANGO|37369|0|4000|4000|389135
36971||CERTIFICATES OF DEPOSIT AND MUTUAL FUND|173077|173077|173077|173077|389135
31905||Funiture and equipment - abandoned see stmt 69|866|225|0|0|379843
31656||None|0|0|0|0|379044
31865||HARBOR INTERNATIONAL GROWTH FUND|1338|1338|1150|1150|379663
31878||HOTCHKIS & WILEY CORE FUND|10968|10968|5304|5304|379663
31877||LEGG MASON VALUE TRUST FUND|9159|9159|4691|4691|379663
31876||PIMCO TOTAL RETURN FUND|1037|1037|1069|1069|379663
31875||PIMCO COMMODITY REAL RETURN FUND|1790|1790|2105|2105|379663
31874||WELLS FARGO ADVANTAGE INTERNATIONAL FUND|1331|1331|911|911|379663
31873||COLUMBIA MARISCO FUND|359|359|343|343|379663
31872||HARTFORD MID CAP VALUE FUND|257|257|209|209|379663
31871||GOLDMAN SACHS HIGH YIELD BOND FUND|395|395|353|353|379663
31870||AMERICAN FUNDS EUROPACIFIC GROWTH FUND|1702|1702|1338|1338|379663
31869||WESTERN ASSET CORE PLUS BOND FUND|7376|7376|6028|6028|379663
31868||T. ROWE PRICE INTERNATIONAL BOND FUND|822|822|841|841|379663
31867||NEUBERGER BERMAN GENISIS FUND|759|759|691|691|379663
31866||JANUS ADVISOR MID CAP VALUE FUND|355|355|336|336|379663
29737||SCHWAB PREMIER ADVISOR CASH|534919|534919|534919|534919|372841
29761||ASTON VEREDUS SELECT GROWTH|9308|9308|9000|9000|372841
29760||THIRD AVENUE REAL ESTATE|3080|3080|2000|2000|372841
29759||GOLDMAN SACHS|2125|2125|1476|1476|372841
29758||OAKMARK INTERNATIONAL SMALL CAP|9530|9530|6000|6000|372841
29757||OAKMARK INTERNATIONAL I|3225|3225|2000|2000|372841
29756||FIRST EAGLE SOGEN OVERSEAS A|1390|1390|2000|2000|372841
29755||COLUMBIA ACORN INTERNATIONAL|6570|6570|5000|5000|372841
29754||ARTISAN INTERNATIONAL|22923|22923|45000|45000|372841
29753||TURNER SMALL CAP|17397|17397|28500|28500|372841
29752||FBR SMALL CAP|6049|6049|4982|4982|372841
29751||THORNBURG VALUE CI I|10588|10588|8000|8000|372841
29750||THIRD AVENUE VALUE|4476|4476|4500|4500|372841
29749||MET WEST TOTAL RETURN I|5143|5143|5000|5000|372841
29748||PIMCO LOW DURATION PORTFOLIO|4496|4496|4500|4500|372841
29747||LONGLEAF PARTNER|5209|5209|4000|4000|372841
29746||TCW GALILEO|291485|291485|305235|305235|372841
29745||OAKMARK FUND|1753|1753|2000|2000|372841
29744||FAIRHOLME|35369|35369|45000|45000|372841
29743||E.I.I. INTERNATIONAL PROPERTY INSTL|2467|2467|1500|1500|372841
29742||PIMCO TOTAL RETURN|4890|4890|5000|5000|372841
29741||LOOMIS SAYLES|21390|21390|20997|20997|372841
29740||METROPOLITAN WEST LOW DURATION BOND CI I|2197|2197|2000|2000|372841
29739||DFA ONE YEAR FIXED INCOME PORTFOLIO|19864|19864|19617|19617|372841
29738||TEMPLETON EMERGING MARKETS INSTITUTIONAL|4792|4792|3309|3309|372841
29431||INVESTMENTS|219784|219784|197990|197990|370213
36974||Advisors Asset Management|47299|47299|37561|37561|389603
36975||Valero Energy New Corp|34457|34457|18557|18557|389603
33696||Automobile|18709|0|3500|3500|382777
28120||Funds held in SEI Investments|16689|16689|31192|31192|368301
27972||MCMORGAN BALANCED FUND|841530|841530|951420|951420|367982
27973||MCMORGAN EQUITY INVESTMENT|458520|458520|471638|471638|367982
37377||COMPUTERS - OBSOLETE AND DISPOSED OF|3493|762|0|0|396541
36177||FANNIE MAE NOTES|25919|25919|25919|25919|384985
35054||WACHOVIA MUTUAL FUNDS|136241|136241|119457|119457|384007
35368||Mutual Funds|24946|16930|16930|16930|384360
36342||PUTNAM FUNDS|671718|356007|365007|365007|385173
29818||CERTIFICATE OF DEPOSIT - HERITAGE BANK|95000|95000|95000|95000|373064
29822||CERTIFICATE OF DEPOSIT - BANK OF AMERICA|12781|12781|12781|12781|373064
29821||CERTIFICATE OF DEPOSIT - BANK OF AMERICA|10067|10067|10067|10067|373064
29820||CERTIFICATE OF DEPOSIT - CAPITAL CROSSING BANK|59744|59744|59744|59744|373064
29819||CERTIFICATE OF DEPOSIT - TEMECULA VALLEY BANK|99000|99000|99000|99000|373064
47453||MORTGAGE BACKED BONDS|1135|1135|1135|1135|430585
29522||U.S. Treasury|180019|180019|182433|182433|371508
32118||NONE|0|0|0|0|380469
37293||OFFICE FURNITURE AND EQUIPMENT|15216|0|0|0|394157
37294||GOVERNMENT DEBT SECURITIES|708359|708359|708359|708359|394157
35568||Investments|552621|552621|489170|489170|384473
35569||Furniture & equipment - abandoned (see stmt 69)|5808|1261|0|0|384473
37268||Certificates of Deposit Maturities (Oppenheimer|85000|0|85000|85000|393495
37797||898.957 shares DFA Invt Dimensions Group-LC|20764|20764|24976|24976|401288
37798||2126.755 shares DFA Invt Dimensions Group-SC|60272|60272|49976|49976|401288
29681||CERTIFICATE OF DEPOSIT - COMERICA BANK|21362|21362|21362|21362|372451
28050||GOVT SECURITIES|192133|192133|190563|190563|368195
28051||MARKETABLE SECURITIES|69501|69501|72091|72091|368195
33937||Automobiles|71433|17689|11925|11925|383304
37087||Sale of Investments|5754874|5754874|5754874|5754874|391047
32219||VARIOUS INVESTMENTS WITH WELLS FARGO TRUSTEE|239726|239726|238819|238819|380901
35541||MARKETABLE SECURITIES HELD BY BROKER|3505923|3505923|3192833|3192833|384467
32218||BANK PARTICIPATION CERTIFICATE|109826|109826|109826|109826|380890
27749||BUILDING - 602 N. 5TH STREET, PEKIN, IL 61554|330000|330000|285000|261774|367633
27752||FEDERAL NATL MORTGAGE ASSN BONDS|65000|64781|65000|65000|367633
27751||CONSOLIDATED EDISON CO NY INC BOND|30413|30000|30000|30000|367633
27750||CONSOLIDATED EDISON CO NY INC BOND|50688|50000|50000|50000|367633
36029||MULTIPLE VEHICLES|92656|7673|0|7673|384718
29633||50M FHLB Bond|50000|50000|50000|50000|372404
29636||14.241shs First Eagle Us Fund|221|221|219|219|372404
29635||15.553shs First Eagle US Fund|242|242|237|237|372404
29634||14.445shs First Eagle US Fund|225|225|241|241|372404
28939||U.S. Government Obligations|430637|438568|438568|438568|368925
37089||LOCAL 240L BUILDING|0|10000|185000|166950|391128
33782||Investments|3726516|3726516|3748536|3748536|382949
29283||Obsolete Dell Computers (3)|3482|1531|0|0|369236
41901||STOCKS|150000|150000|150000|150000|410422
36590||DOMESTIC EQUITY|373634|373634|219197|219197|385454
36597||EQUITY FUNDS|174429|174429|145676|145676|385454
36596||BOND FUNDS|127028|127028|123500|123500|385454
36595||FLOATING-RATE ADVANTAGE FUND CLASS C|35385|35385|32467|32467|385454
36594||MUTUAL FUNDS|10433|10433|10000|10000|385454
36593||REAL ESTATE FUNDS|8215|8215|5332|5332|385454
36592||FIXED INCOME|214153|214153|198337|198337|385454
36591||INTERNATIONAL EQUITY|15654|15654|14048|14048|385454
29583||FAN BELT DRIVE F|814|697|250|250|372102
29584||5/3 SECURITIES FLOATERS|4488497|4488497|4488497|4488497|372102
37811||OLD/OBSOLETE COMPUTER & OFFICE EQUIPMENT|15221|0|0|0|401556
37812||OTHER FIXED ASSETS|42085|8417|0|0|401556
30216||SOLD 10 SH. STRAYER ED INC.|1134|1134|2155|2155|373629
30222||CALL RED FNMA GAIN 6/15/12|49893|49893|50000|50000|373629
30221||SOLD RMA MM|6997|6997|6997|6997|373629
30220||SOLD RMA MM|18672|18672|18672|18672|373629
30219||SOLD RMA MM|199836|199836|199836|199836|373629
30218||SOLD BK. OF AMERICA/GAIN|23574|23574|37034|37034|373629
30217||SOLD AFLAC/GAIN|3911|3911|8534|8534|373629
29646||US Treasury Securities|35166|35166|35000|35000|372414
29648||Vehicles|26769|10975|15769|15769|372414
29647||Stocks|16393|16393|14146|14146|372414
31732||CAMPBELL HAUSFELD 60 GALLON  AIR COMPRESSOR|487|487|331|331|379400
31733||SANTA CLAUS SUIT|352|352|75|75|379400
27345||REDEMPTION OF MUTUAL FUND SHARES|15000|15000|15000|15000|366410
29659||FIXED ASSETS - VARIOUS|331658|13481|11406|11406|372424
29660||INVESTMENTS - VARIOUS|2601334|2601334|2581846|2581846|372424
27947||FURNITURE & FIXTURES|7041|0|650|650|367933
27949||AXA ADVISORS, LLC (MUTUAL FUND)|389113|389113|499960|499960|367933
27948||COMPUTER EQUIPMENT|51706|1216|6509|6509|367933
36783||Common and preferred stock|75151|75151|68604|68604|387784
36787||United States Government Agency obligations|30294|30294|30000|30000|387784
36786||Corporate obligations|10385|10385|12244|12244|387784
36785||Certificates of deposit|10005|10005|10000|10000|387784
36784||Short-term investment funds|217361|217361|217361|217361|387784
29630||Vanguard Inflation Protected Securities Fund|18316|18316|20000|20000|372387
29632||Edinboro Building, 4250 Route 6N East, Edinboro PA|638217|222048|425000|422140|372387
29631||Vanguard Total Stock Market Fund|719934|719934|900000|900000|372387
37292||Furniture & Office Equipment|36403|136|0|0|394055
36777||Mutual fund investments|62643|62643|64161|64161|387782
36779||Fixed income investments|125853|125853|126000|126000|387782
36778||Collateralized mortgage obligation investments|87519|87519|87519|87519|387782
32925||none|0|0|0|0|381543
27970||1076 SHARES WELLPOINT INC.|0|0|53618|53618|367981
27971||AUTOMOBILE|13246|0|6000|6000|367981
