OID|DESCRIPTION|AMOUNT|RPT_ID
132420|DUE TO OTHER LOCALS - TRAVELERS' WORK ASSESSMENT|1055|697783
132418|PAYROLL LIABILITIES|3686|697783
132419|DUE TO RELATED FUNDS|3249|697783
135337|ACCRUED VACATION AND COMP TIME|148921|710063
135334|ACCRUED RENT|3747000|710063
135336|ACCRUED SEVERANCE AND SICK PAY|1234534|710063
135335|DEFERRED RENT|1756831|710063
135340|STALE DATED CHECKS TO BE INVESTIGATED|51590|710063
135339|ACCRUALS FOR PENSION RELATED ISSUES|191034|710063
135338|SECURITY DEPOSIT|94277|710063
133670|DUE TO AFFILIATES|124564|699473
133673|OTHER CURRENT LIABILITIES|378|699473
133672|PER CAPITA PAYABLE|70305|699473
133671|LOCAL REBATES DUE|219434|699473
127564|CREDIT CARD PAYABLE|1456|682720
132831|PAYABLE TO AFFILIATED LOCAL UNIONS|868627|698397
132832|SALARY & BENEFITS LIABILITY|198026|698397
127397|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|5722|681925
127398|DUE TO AFFILIATES FOR TRANSMITTAL TO THEM|510954|681925
127423|Death Benefits Payable|153942|682032
127425|Credit Card Payable|8998|682032
127424|PAC Funds Payable|119819|682032
129113|PAYROLL TAX WITHHELD FROM EMPLOYEES|4207|686230
128085|Payroll Deductions and Related Accruals|11052|683647
135187|PAYROLL TAXES WITHHELD|2410|709745
128747|Accrued Expenses|5388|684910
130955|Accrued Vacation|195000|695510
130956|Per Capita Tax Payable|170789|695510
131758|PAYROLL LIABILITIES|1109|696829
133111|SALES TAX COLLECTED BUT NOT REMITTED AT YEAR END|1201|698764
133112|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END |10098|698764
130655|payroll liabilities|4124|694642
130656|accrued vacation leave|3828|694642
133377|Payroll Tax Withholding|1552|699065
131862|Accrued payroll and related expenses|43314|696992
131864|Payroll Withholdings|2610|696992
131863|Due to IUPAT PATCH|13976|696992
131966|MESC|769|697254
131967|State tax|1468|697254
132260|Accrued PerCapita payable - International Office|0|697573
132257|Payroll withholding deductions|12251|697573
132259|Accrued pension contribution|32265|697573
132258|Accrued rebates due affiliated locals|2882|697573
133892|TIP CONTRIBUTION LIABILITY|91|699964
130263|Federal Taxes Pd & Fwded|4470|693550
