OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|CASH_PAID|RPT_ID
161985||2014 Buick|28266|28266|28266|581947
162003||Mortgage Closing Costs|373915|373915|98715|581947
162002||Forklift|8700|8700|8700|581947
162001||Eaton Vance Fltg Rate Fund CL I|5685|5685|5685|581947
162000||Oppenheimer Strategic Income Fund CL Y|3279|3279|3279|581947
161999||Deutsche Bank AG Global Mtn Germany|1036|1036|1036|581947
161998||Templeton Global Bond Fund Advisor CL|4987|4987|4987|581947
161997||PIMCO FDS PAC Invt Mgmt Ser GNMA FD Instl CL|1651|1651|1651|581947
161996||PIMCO Funds PAC Invt Mgmt Ser Real REturn Fund Ins|246|246|246|581947
161995||PIMCO Short Term Fund|2401|2401|2401|581947
161994||Natixis Loomis Sayles High Income Fund CL A|7242|7242|7242|581947
161993||Loomis Sayles FDS II Invt Grade Bond Fund CL Y|10416|10416|10416|581947
161992||Eaton Vance BD Fund|1687|1687|1687|581947
161991||HSBC Fin Corp|1000|1000|1000|581947
161990||Citigroup Inc.|950|950|950|581947
161989||Bank Amer Fdg Corp|1350|1350|1350|581947
161988||Lord Abbett Convertible Fund CL A|64928|64928|64928|581947
161987||Gateway Fund CL A|96253|96253|96253|581947
161986||2014 Buick|31457|31457|31457|581947
155518||AUTOMOBILE|11488|11488|11488|560839
155541||Software & Website|17285|17285|17285|560865
155790||FNMA .75% 10/24/17|88846|88846|88846|561411
155789||JP Morgan Chase 4.9%|26639|26639|26639|561411
155788||EI DUpont|85106|85106|85106|561411
155787||FHLB 2.3% due 1/27/16|36307|36307|36307|561411
155786||Vanguard Investment Fund|50624|50624|50624|561411
155785||Genral electric 5.1%|54151|54151|54151|561411
155784||Verizon wireless 5.55%|76928|76928|76928|561411
155783||Wachovia Bank 4.8% Due 11/1/14|159659|159659|159659|561411
155782||Templeton Global fund|581|581|581|561411
155781||JPM Strategic fund|8394|8394|8394|561411
155780||Goldman Sachs Strategic Fund|1235|1235|1235|561411
155779||SIT US Gov Fund|3345|3345|3345|561411
155778||Loomis sayles Bond fund|1214|1214|1214|561411
155777||Doubleline Total Return Fund|1224|1224|1224|561411
155791||Computer Equipment|6371|6371|6371|561411
158602||Apple computer, with accessories|1098|1098|1098|562735
158603||Microphone and related sound system accessories|413|413|413|562735
160717||A/C HEATING UNITS|6940|6940|6940|579560
160722||CARPET |695|695|695|579560
160721||NEW PIPE BOOT ON ROOF|2690|2690|2690|579560
160720||RHEEM GAS FURNACE|3874|3874|3874|579560
160719||ACOUSTICAL CEILING TILE INSTALLATION|512|512|512|579560
160718||NEW AIR DUCT|2140|2140|2140|579560
166344||2014 Ford Expedition - Net of Trade-in Allowance|19115|19115|19115|586567
166346||2008 R2 Computer Server|3550|3550|3550|586567
166345||3 HP 1040 i5 Laptop Computers|4494|4494|4494|586567
163322||2 Lenovo Desktop Computers|1837|1837|1837|583490
163323||4 Chevrolet Malibus|79194|79194|79194|583490
162645||8-Automobiles|182032|182032|90134|582982
162646||Guard Shak-Parking Lot|5400|5400|5400|582982
167047||5 DESKS AND CHAIRS|1092|1092|1092|587340
167049||ADDITIONAL SECURITY DEPOSIT|1600|1600|1600|587340
167048||2 OFFICE DESKS|948|948|948|587340
165435||1 ASUS Computer - M Series|1062|1062|1062|585642
162308||INCOME FUND OF AMERICA|763|763|763|582611
162312||WASHINGTON MUTUAL INVESTORS FUND|387|387|387|582611
162311||CAPITAL WORLD GROWTH & INCOME|301|301|301|582611
162310||CAPITAL INCOME BUILDERS FUND|876|876|876|582611
162309||FUNDAMENTAL INVESTORS|7|7|7|582611
165833||EQUIPMENT & FURNITURE|28778|28778|28778|585884
165835||MARKETABLE SECURITIES|991982|991982|991982|585884
165834||BUILDING-MAUI 2|30800|30800|30800|585884
159919||COSTCO - VARIOUS SOFTWARE|1292|1292|1292|574499
159917||KLT FLOORING - CARPET INSTALLATION|150|150|150|574499
159918||WAYNE'S CARPET - CARPET|141|141|141|574499
159921||HP HOME STORE - HP LASERJET PRINTER|754|754|754|574499
159920||COSTCO - THREE (3) DELL DESKTOPS|3217|3217|3217|574499
159675||2014 CHRYSLER TOWN & COUNTRY TOURING|24750|24750|24750|574195
159677||JPMORGAN STRATEGIC INCOME OPPORTUNITIES FND CL A|503159|498939|503159|574195
159676||JPMORGAN TR I INCOME BLDR FD CL A|513145|512865|513145|574195
159139||Asphalt parking lot|98600|93657|98600|572580
159141||IPads/IPhones|1170|814|1170|572580
159140||Computer equipment|16197|14567|16197|572580
159432||Mutual Funds|352632|352632|352632|573502
159562||Purchase of Investments|496911|496911|496911|573993
159564||Purchase Office Equipment|959|959|959|573993
159563||Puchase of Building Imprv - Parking Lot Paving|4000|4000|4000|573993
163406||NA|0|0|0|583606
163415||NA|0|0|0|583606
163414||NA|0|0|0|583606
163413||NA|0|0|0|583606
163412||NA|0|0|0|583606
163411||NA|0|0|0|583606
163410||NA|0|0|0|583606
163409||NA|0|0|0|583606
163408||NA|0|0|0|583606
