OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
15983|NONE|0|0|0|0|0|466862
14175|VEHICLE LOAN GMAC|18360|0|1831||16529|439408
15394|NONE|0|0|0|0|0|451819
15528|NONE|0|0|0|0|0|452533
15574|N/A|0|0|0|0|0|454543
15598|Promisory Note, 5.79% due 12/19/2014|79588|0|1380|0|78208|456839
15641|None|0|0|0|0|0|458812
15656|N/A|0|0|0|0|0|459725
15667|PNC BANK  -LINE OF CREDIT|48134||145||47989|460180
15668|NE DISTRICT COUNCIL H & W|43500||43500||0|460180
15669|UFCW INTERNATIONAL UNION|76221||76221||0|460180
15674|None|0|0|0|0|0|460730
15682|NONE|0|0|0|0|0|460868
15684|FORD MOTOR CORP.|84153|83260|40026|32157|95230|461072
15688|Keybank National Assoc|43999|0|14869|0|29130|461349
15689|GMAC/Ally|37658|22876|60534||0|461351
15701|US BANK|25000|0|25000|0|0|461468
15702|US BANK|12500|0|12500|0|0|461468
15703|US BANK|0|8024|8024|0|0|461468
15704|NONE|0|0|0|0|0|461588
15705|None|||||0|461589
15706|Apple Financial Lease|6914||4190||2724|461591
15707|Note Payable-Colcord|195094|15788|4238||206644|461591
15708|ELECTRICAL FED C.U.|67070|0|29547|0|37523|461676
15709|CHRYSLER - 2006 TOWN & COUNTRY|2362|0|2362|0|0|461717
15710|CITIZENS - 2007 CHEVY IMPALA|6624|0|4087|0|2537|461717
15711|BK OF AMERICA - 2005 CARAVAN|888|0|888|0|0|461717
15712|FORD CREDIT - 2007 EXPLORER|11614|0|552|11062|0|461717
15713|FORD CREDIT - 2010 ESCAPE|0|25982|5413|0|20569|461717
15714|GMAC - 2011 CHEVY IMPALA|0|20000|1143|0|18857|461717
15715|GMAC - 2010 CHRYSLER TOWN & COUNTRY|0|18220|3012|0|15208|461717
15736|Ford Motor Credit|0|7290|7290|0|0|463290
15737|Ford Motor Credit|0|12502|1041|0|11461|463290
15738|Ford Motor Credit|0|7726|0|0|7726|463290
15739|HERGET BANK|54208|0|37648|0|16560|463293
15743|LABOR MGMT COOP TRUST|7391||||7391|463421
15764|FORD MOTOR CREDIT CORP|16242|0|16242|0|0|463860
15771|NONE|0|0|0|0|0|464047
15779|Vehicle Loans|2237|0|2237|0|0|464074
15780|POWERNET BANK - AUTO|16491|0|7363|0|9128|464082
15781|POWERNET - AUTO|0|25000|2134|0|22866|464082
15788|none|0|0|0|0|0|464136
15791|Building Mortgage|823688|0|61697|0|761991|464142
15792|UA Loan|11028|0|11028|0|0|464142
15798|Credential Leasing Corp|1702||1702||0|464599
15799|BSFS Equipment Leasing|2844||2844||0|464599
15800|Powernet Credit Union|147055||147055||0|464599
15801|Yale Mortgage Corporation|202402||6356||196046|464599
15802|NONE|0|0|0|0|0|464744
15803|Desert Community Bank-2009 Malibu|2897|0|2897|0|0|464755
15806|NONE|0|0|0|0|0|464855
15807|none|0|0|0|0|0|464912
15809|FORD CREDIT|213632|276622|154275||335979|464973
15810|NONE|0|0|0|0|0|464975
15811|Leaf Funding, Inc||4058|1218||2840|464991
15812|N/A|0|0|0|0|0|464992
15814|WEST COAST BANK|384549||61822||322727|465091
15817|Reliable Financial Corp.|9021||9021||0|465119
15818|NONE|0|0|0|0|0|465141
15819|SunTrust|40501648|4580000|2020004||43061644|465145
15820|FNB-OMAHA|42142|0|5617|0|36525|465160
15821|XEROX CORPORATION|7642|0|1926|0|5716|465183
15822|Loan for new truck purchase|0|25931|1000|0|24931|465209
15823|FIRST BANK & TRUST|0|28357|6809||21548|465240
15824|JAY BECKMAN, TREASURER|5000|2500|7500|0|0|465249
15825|NICOLE KENNELLY, EXEC. DIR.|3500|0|3500|0|0|465249
15826|Pacific NW IW Federal Credit Union|0|25033|3006||22027|465311
15827|COOP A/C CASA DEL TRABAJADOR|23000||14664||8336|465382
15828|COOP A/C CASA DEL TRABAJADOR|2979|5000|5877||2102|465382
15829|DE LAGE FINANCIAL|23606||4421||19185|465382
15830|VEGA COOP - MORTGAGE|606862||1952||604910|465382
15831|MORTGAGE ON BUILDING|238810|0|11097|0|227713|465458
15835|HUNTINGTON NAT'L BANK|3085|0|3085|0|0|465521
15836|HUNTINGTON NAT'L BANK|3141|0|3141|0|0|465521
15837|KEY BANK|38261|0|38261|0|0|465521
15838|Suntrust Bank|35192||35192||0|465711
15839|GMAC Financial|35957|0|12479||23478|465715
15840|PRAIRIE LAND CREDIT UNION|2293||2293||0|465717
15841|PRAIRIE LAND CREDIT UNION|7445||5382||2063|465717
15842|PRAIRIE LAND CREDIT UNION|10961||5108||5853|465717
15843|Midwest Carpenters & Millwrights FCU|79358|0|7191|0|72167|465773
15845|None|0|0|0|0|0|465798
15846|NONE|0|0|0|0|0|465806
15847|Gateway Metro Credit Union|2500|0|2500|0|0|465828
15848|Gateway Metro Credit Union|0|23000|0|0|23000|465828
15850|General Motors Acceptance Corp|34810||8703||26107|465844
15851|Chase Card Services|0|1940|||1940|465844
15852|US BANCORP EQ FINANCE|0|22037|1565||20472|465848
15853|NONE|0|0|0|0|0|465849
15854|NONE|0|0|0|0|0|465854
15855|NONE|0|0|0|0|0|465942
15856|BROTHERHOOD BANK & TRUST L/T||750398|0|0|750398|465999
15857|BROTHERHOOD BANK & TRUST CONSTRUCTION LOAN||150000|0|0|150000|465999
15858|Capital lease|10935|0|2314|0|8621|466008
15859|None|0|0|0|0|0|466020
15860|GMAC|25245|0|13619||11626|466021
15861|0|0|0|0|0|0|466024
15862|TEXAS GULF BANK|103064||8745||94319|466025
15863|GMAC|4607|0|4607|0|0|466034
15864|NONE|0|0|0|0|0|466039
15865|INTERNATIONAL|1080000||1080000||0|466042
15866|GMAC|29911|0|5982|0|23929|466070
15867|GMAC|0|0|0|0|16772|466070
15868|NONE|0|0|0|0|0|466074
15869|Daimler Chrysler Truck Financial|20417||9281|11136|0|466077
15870|Ally|0|49929|0|0|49929|466077
15871| No loans|0|0|0|0|0|466084
15872|NO CALIFORNIA CARPENTERS REGIONAL COUNCIL|179423|0|53928|0|125495|466086
15873|Bryn Mawr Trust Bank|96688|0|17719|0|78969|466099
15874|N/A|0|0|0||0|466149
15875|NONE|0|0|0|0|0|466154
15876|NONE|0|0|0|0|0|466163
15877|Ford Motor Credit|8851||8851||0|466168
15878|NONE|0|0|0|0|0|466170
15879|NONE|0|0|0|0|0|466211
15882|Ally Bank Auto Loan 47004|34368|0|4207|0|30161|466280
15883|Ally Bank Auto Loan 46989|33149|0|4052|0|29097|466280
15884|Lessor-Wells Fargo|376980||181774||195206|466281
15885|Lessor-Wells Fargo|103477||103477||0|466281
15886|Lessor-Xerox|5900||5900||0|466281
15887|Lessor-Xerox|3525||3525||0|466281
15888|Lessor-Xerox|7809||7809||0|466281
15889|Lessor-Wells Fargo|13397||13397||0|466281
15890|Lessor-Xerox||90426|18244||72182|466281
15891|Lessor-Xerox||61918|11866||50052|466281
15892|Lessor-Xerox||127255|20998||106257|466281
15893|BANK OF MARION|328802|481198|||810000|466285
15894|XEROX|2686|3969|1741||4914|466285
15895|BANTERRA BANK|3939||3939||0|466285
15896|The Savannah Bank|317061|0|12345|0|304716|466321
15900|N/A|0|0|0|0|0|466334
15901|NO.CA. CARPENTERS REGIONAL COUNCIL|2693445|0|100945|0|2592500|466336
15902|CHRYSLER FINANCIAL|28263|0|5266|0|22997|466344
15903|N/A|0|0|0|0|0|466366
15904|NONE|0|0|0|0|0|466375
15905|NONE|0|0|0|0|0|466378
15906|N/A|0|0|0|0|0|466383
15907|Ford Motor Credit||20000|387||19613|466386
15908|N/A|0|0|0|0|0|466406
15909|BROTHERHOOD BANK & TRUST|0|875000|0||875000|466446
15910|DUE TO DISTRICT|0|12151|0||12151|466446
15911|NONE|0|0|0|0|0|466464
15914|SOUTHERN AND CENTRAL ILLINOIS LABORERS DISTRICT CO|0|10000|10000|0|0|466469
15915|NONE|0|0|0|0|0|466511
15916|NONE|0|0|0|0|0|466512
15917|NONE|0|0|0|0|0|466513
15918|PACIFIC NW IRONWORKERS FCU|12191|0|2677|0|9514|466516
15920|M&T Bank|15914|0|10007|0|5907|466538
15921|Ally Bank (GMAC)|19438|0|8124|0|11314|466538
15922|Ally Bank (GMAC)|16020|0|7348|0|8672|466538
15923|FIRST UNITED BANK & TRUST|18534|0|6637||11897|466540
15924|First National Bank|230129|0|6453|0|223676|466547
15925|MORTGAGE NOTE PAYABLE|476341|0|29501|0|446840|466549
15926|Ally Financing||21089|880||20209|466550
15927|Regions|777845||37358||740487|466550
15928|Farmers and Merchants Bank|258178|157121|33781||381518|466550
15929|Regions Bank|120767||25974||94793|466550
15930|Regions LOC|65675|168500|45500||188675|466550
15931|Pinnacle Bank|250000||250000||0|466550
15932|Regions Bank|93075||81||92994|466550
15933|Farmers and Merchants Bank|29960||29960||0|466550
15934|Carroll Bank|28192||28192||0|466550
15935|GMAC|47391|0|9177|0|38214|466552
15936|None|0|0|0|0|0|466556
15937|None|0|0|0|0|0|466557
15938|CHRYSLER FIN'L/ TD AUTO FINANCE|52011|0|27140|0|24871|466558
15939|CHASE AUTO FINANCE|26590|0|5437|0|21153|466558
15940|NONE|0|0|0|0|0|466559
15941|NONE|0|0|0|0|0|466567
15942|L&N FEDERAL CREDIT UNION|30097|0|30097|0|0|466598
15943|N/A|0|0|0|0|0|466604
15944|AUTOMOBILE INSTALLMENT LOAN|0|17278|2513||14765|466607
15945|None|0|0|0|0|0|466612
15946|Umpqua Bank|47469||3183||44286|466616
15947|NONE|0|0|0|0|0|466638
15948|GMAC - AUTOMOBILE LOAN|7194||5078||2116|466656
15949|ATLANTA POSTAL CREDIT UNION|99117|75000|44802||129315|466657
15950|NONE|0|0|0|0|0|466659
15951|WILMINGTON TRUST COMPANY|587488||||587488|466661
15952|FIRST BANK OF DELAWARE|5307188||99236||5207952|466661
15953|FIRST BANK OF DELAWARE|779953||29897||750056|466661
15954|PREFERRED ELECTRIC|35260||35260||0|466661
15955|FIRST BANK OF DELAWARE|272527||126780||145747|466661
15956|FIRST BANK OF DELAWARE|424445||72151||352294|466661
