OID|DESCRIPTION|AMOUNT|RPT_ID
56762|PAYROLL DEDUCTIONS - DUES|832|448963
56765|PAYROLL TAXES PAYABLE (WITHHOLDINGS)|2426|448963
56764|PAYROLL DEDUCTIONS - TARGETING|120|448963
56763|PAYROLL DEDUCTIONS - VACATION|1039|448963
51659|ACCRUED PAYROLL WITHHOLDINGS|11201|433208
51690|Death Benefit Fund|81918|433356
52531|Payroll Tax Liabilities|4998|435898
52671|ACCRUED PAYROLL LIABILITIES|3087|436077
52672|EMPLOYEE WITHHOLDINGS|1489|436077
57066|Payroll Liabilities|5028|449348
55266|Accrued vacation|3296|445447
58134|Payroll Tax Withholding|4885|450978
58135|Payroll Savings Withholding|625|450978
57065|Due to Affiliates|53941|449347
56460|Per Capita Tax|25023|448602
56461|State Tax|424|448602
56939|Accrued per capita payable|2706602|449206
56937|Payroll withholding deductions(includes P/R Taxes)|18759|449206
56938|Accrued rebates due affiliated locals|16642|449206
56941|Accrued health insurance payable|40000|449206
56940|Accrued pension contribution|47688|449206
58818|Asset Acceptance LLC|9346|451788
61889|Federal Taxes Paid and forwaded|7421|469460
61890|State Taxes Paid and forwaded|329|469460
58341|STATE RETIREE|2154|451145
58336|ACCRUED POST RETIREMENT BENEFIT|4127450|451145
58340|DIVISION FUND|3445|451145
58339|ACCRUED INTEREST|860|451145
58338|PAYROLL DEDUCTION PAYABLE|21264|451145
58337|AFSCME PER CAPITA|148156|451145
58356|ACCRUED VACATION & SICK LEAVE|2077514|451145
58355|EMPLOYEE TAXES|14443|451145
58354|REFUND|953|451145
58353|ACCRUED INTEREST|3051|451145
58352|RENTAL DEPOSITS|6052|451145
58351|MEMBER CONTACT PROGRAM|4992|451145
58350|UNIT FUND AND PAC|8845|451145
58349|INITIATION FEES|87|451145
58348|AFSCME PEOPLE|458|451145
58347|AMHC|285|451145
58346|EMC|7170|451145
58345|CANCER|17893|451145
58344|HMSA|12759|451145
58343|RSC|9941|451145
58342|LIFE INSURANCE|34994|451145
54250|Accrued liabilities|32143|440183
54252|Unit Fund balances|3766|440183
54251|Deferred liabilities|103833|440183
53615|Payroll taxes payable|7262|438550
53616|Employee benefits|27888|438550
54158|Accrued Payroll Taxes|5012|439886
55095|Payroll Taxes Withheld|2034|444671
55097|SUTA TAx Payable|32|444671
55096|FUTA Tax Payable|192|444671
54377|PAYROLL LIABILITIES|5181|440421
55672|FICA - Social Security/Medicare|635|446794
55676|Accrued LPL|53|446794
55675|City Withholding|414|446794
55674|State Withholding|245|446794
55673|Federal Withholding|1280|446794
58880|DEFERRED REVENUE|16958|451899
58882|DUE TO I.B.E.W. BUILDING CORP.|4000|451899
58881|CONTRACTOR JOB TARGETING|82000|451899
52270|UNREMITTED PAYROLL AMOUNTS WITHHELD|4631|435620
53159|PAYROLL TAXES WITHHELD BUT NOT REMITTED AT Y/E|769|436482
55314|PAYROLL TAX LIABILITIES|4303|445611
56427|Payroll Taxes Payable|2806|448582
56750|Payroll withholdings|348|448953
54449|ACCRUED PAYROLL|16388|440542
54450|ACCOUNTS PAYABLE|12556|440542
52596|Accrued Payroll Taxes|1829|435918
51203|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT|0|430742
51204|YET DISBURSED BY THE END OF THE REPORTING [ERIOD.|22|430742
56956|ACCRUED SEVERANCE PAY|409545|449224
56958|UNION DUES PAYABLE|121696|449224
56957|ACCRUED VACATION PAY|41052|449224
56416|Federal payroll withholding taxes|2060|448577
56419|Per capita taxes-Region|1025|448577
56418|Per capita taxes-International|21267|448577
56417|State payroll withholding taxes|490|448577
54304|Accrued payroll and payroll liabilities|7329|440227
53968|VACATION AND SICK ACCRUAL|10274937|439247
53961|ACCRUED PERSONNEL COSTS|1440928|439247
53967|LSA EDUCATION LEAVE|107380|439247
53966|PSA EDUCATION LEAVE|73582|439247
53965|DEFERRED COMPENSATION - 457B|943287|439247
53964|DEFERRED RENT EXPENSE|1492850|439247
53963|RESERVE FOR MEDICAL CLAIMS|700971|439247
53962|DEFERRED INCOME|596796|439247
53970|ACCRUED PENSIONS|149949190|439247
53969|RETIREE MEDICAL ACCRUAL|63990804|439247
55718|Check written in 2009 cleared in 2010 from checkin|11589|446840
54373|Payroll liabilities|3245|440418
54580|None|0|442089
56372|Payroll withholdings|9082|448506
55031|FEDERAL 941 TAXES|236|444552
55036|940 TAXES|295|444552
55035|PER CAPITA TAXES UAW CAP COUNCILS|545|444552
55034|PER CAPITA TAXES INTERNATIONAL UNION|11137|444552
55033|MICHIGAN WITHHOLDING TAXES|435|444552
55032|MICHIGAN UNEMPLOYMENT TAXES|542|444552
68720|PAYROLL WITHHOLDINGS|0|490334
54493|Deository Payments|1522|441206
55076|PAYROLL DEDUCTIONS WITHHELD|1597|444580
52161|Deferred Income|5000|435443
52166|Other Payroll Withholdings Payable|40518|435443
52165|Payroll Tax Payable|29909|435443
52164|Accrued Retirement Costs|31419641|435443
52163|Accrued Severance Pay|2966900|435443
52162|Objectors Payable|423|435443
63047|TIP Fund payable|984|475420
54376|PAYROLL TAX WITHHOLDINGS|2420|440420
55841|EMPLOYEE WITHHOLDINGS|2885|447024
55292|Accrued FUTA tax|294|445536
55289|Payroll withholding taxes|394|445536
55291|Accrued fringe benefits|4554|445536
55290|Union dues withheld|206|445536
59257|Payroll Taxes|1542|452304
57440|Deposits|700|450006
57439|Payroll Taxes Payable|1772|450006
59173|CREDIT CARD LIABILITIES|382|452248
59175|SALES TAX LIABILITIES|75|452248
59174|PAYROLL TAX LIABILITIES|265|452248
55153|Real Estate Taxes|11000|445091
55154|Payroll Taxes|1392|445091
60074|WITHHOLDING PAYABLES|2553|461788
59845|CT UNEMPLOYMENT TAXES PAYABLE|1118|460299
59846|CT USE TAX PAYABLE|112|460299
54906|Accrued Leave and Sick Pay for Officers|7991|443831
54849|Master Card|813|443608
54857|OTHER PAYROLL LIABILITIES|247|443608
54856|SWT|325|443608
54855|SUTA|320|443608
54854|MEDICARE|260|443608
54853|FWT|1147|443608
54852|FUTA|293|443608
54851|FICA|1112|443608
54850|401K|865|443608
59703|CREDIT CARD PAYABLE|118|458382
57916|PR Taxes Payable|22300|450694
56392|Payroll Tax Liabilities|2620|448528
57328|state unemployment tax wh|54|449801
57332|pass thru arbitration award|8136|449801
57331|officers accrued leave payable|119898|449801
57330|thrift savings|9|449801
57329|federal retirement fund|512|449801
