OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
128570|2101|ACTIVE|417|T|448963
128571|2101|RETIRED|116|T|448963
128572|2101|LIFE|73|T|448963
128573|2101|APPRENTICES|53|F|448963
128574|2102|Agency Fee Payers|0|F|448963
133286|2101|Active Carriers|2430|T|452223
133287|2101|Retired Carriers|604|T|452223
133288|2102||0|F|452223
117288|2101|LOCALS|23|T|433208
117289|2102|Agency Fee Payers|0|F|433208
117356|2101|Journeyman|761|T|433356
117357|2101|Apprentices|182|F|433356
117358|2101|Retirees|85|T|433356
117359|2102|Agency Fee Payers|0|F|433356
119378|2101|Building Trades|971|T|435898
119379|2101|Production Workers|216|T|435898
119380|2101|Retired|292|T|435898
119381|2101|Withdrawal|25|F|435898
119382|2102|Agency Fee Payers|0|F|435898
119803|2101|REGULAR MEMBERS|1674|T|436077
119804|2101|RELIEF MEMBERS|1051|T|436077
119805|2101|RETIRED MEMBERS|584|T|436077
119806|2101|ASSOCIATE MEMBERS|35|F|436077
119807|2102|Agency Fee Payers|0|F|436077
129220|2101|Class A Membership|194|T|449348
129221|2101|Class BA Membership|38|T|449348
131413|2101|A Members|360|T|450978
131414|2101|BA Members|18|T|450978
131415|2102|Agency Fee Payers|0|F|450978
129219|2101|General Membership|1629|T|449347
127928|2101|Regular Dues Paying Members|692|T|448602
128971|2101|Union dues paying members|18101|T|449206
132790|2101|Active Regular Membership|5330|T|451788
132791|2101|Active Part Time Membership|1206|T|451788
132792|2101|Non Member/Permit Payers|1256|F|451788
139861|2101|REGULAR MEMBERS|939|T|469460
126261|2101|"A" Members|3|T|446786
126262|2101|"BA"  Members|2119|T|446786
126263|2102||18|F|446786
132110|2101|Local 1626 Members|228|T|451257
124451|2101|Conoco P&M|433|T|443131
124452|2101|Conoco Clerical|14|T|443131
124453|2101|Sasol P&M|144|T|443131
124454|2101|Sasol Clerical|2|T|443131
124455|2101|Louisiana Pigment|111|T|443131
124456|2101|Spartech|9|T|443131
124457|2101|Tetra|18|T|443131
124458|2102||0|F|443131
134139|2101|FULL DUES PAYING MEMBERS|639|T|455751
126270|2101|Regular members - Local Unions|6835|T|446790
131851|2101|FULL TIME|10533|T|451145
131852|2101|PART TIME|704|T|451145
131853|2101|RETIREE|2366|F|451145
131854|2101|ASSOCIATE|33|F|451145
131855|2102|Agency Fee Payers|1048|F|451145
123528|2101|Type "A" Members|16|T|440183
123529|2101|Type "BA" Members|1268|T|440183
123530|2102|Agency Fee Payers|0|F|440183
123733|2101|GENERAL MEMBERSHIP|2275|T|440364
122508|2101|Members on LTD|35|F|438550
122507|2101|Active members with all rights|559|T|438550
122509|2101|Members not sworn in|16|F|438550
122510|2102|Agency Fee Payers|0|F|438550
123347|2101|General Membership|830|T|439886
123348|2102|Agency Fee Payers|0|F|439886
123490|2101|FULL DUES PAYING MEMBERS|1306|T|440137
123491|2101|CASH DUES PAYING MEMBERS|2|T|440137
123492|2102|Agency Fee Payers|0|F|440137
134551|2101|Active|10756|T|458930
134552|2101|Apprentice|215|F|458930
134553|2101|Inactive|1124|F|458930
134554|2102||134|F|458930
140835|2101|Active|5467|T|471246
140836|2101|Executive Active|52|T|471246
140837|2101|Executive Inactive|29|F|471246
140838|2101|Inactive|1936|F|471246
140839|2102||62|F|471246
125081|2101|Regular Members|839|T|444671
125082|2102|Agency Fee Payers|0|F|444671
123752|2101|REGULAR MEMBERS|2225|T|440421
123753|2101|RETIRED MEMEBERS|3|T|440421
123754|2102||88|F|440421
126274|2101|Active Members|263|T|446794
134626|2101|No Members / Plant Closed|0|F|459691
132897|2101|RESIDENTIAL PRE-APPRENTICE|0|F|451899
132892|2101|JOURNEYMAN|345|T|451899
132893|2101|APPRENTICE|2|T|451899
132894|2101|PRE-APPRENTICE|0|F|451899
132895|2101|RESIDENTIAL WIREMAN|6|T|451899
132896|2101|RESIDENTIAL APPRENTICE|2|T|451899
118646|2101|JOURNEYMEN|271|T|435620
118647|2101|APPRENTICES|24|T|435620
118648|2101|RETIREES|124|T|435620
118649|2102|Agency Fee Payers|0|F|435620
126271|2101|REGULAR MEMBERS|26863|T|446791
126272|2102|Agency Fee Payers|0|F|446791
121093|2101|JOURNEYMEN|835|T|436482
121094|2101|APPRENTICE|85|T|436482
121095|2101|RETIRED MEMBERS|68|T|436482
121096|2101|EARLY RETIREE AND DISABLED|118|T|436482
121097|2101|HONORARY MEMBERS|93|T|436482
121098|2101|CONTRACTORS|2|F|436482
121099|2102|Agency Fee Payers|0|F|436482
134849|2101|Active|0|T|460863
134850|2102||0|F|460863
125655|2101|OFFICERS|7|T|445611
125656|2101|STEWARDS|61|T|445611
125657|2101|ACTIVE MEMBERS|2725|T|445611
131341|2101|Regular-fully paid members|408|T|450925
127877|2101|Regular|251|T|448582
127878|2101|Garbage|177|T|448582
127879|2101|Retirees|76|T|448582
127880|2102||0|F|448582
132767|2101|MICHIGAN LOCAL UNIONS|138154|T|451770
132768|2102|Agency Fee Payers|0|F|451770
116457|2101|ACTIVE MEMBER|1896|T|430975
116458|2101|RETIRED MEMBER|30|F|430975
116459|2101|UNEMPLOYED MEMBER|1|F|430975
116460|2101|LIFE MEMBER|476|F|430975
116461|2101|OFFICIAL MEMBER|146|F|430975
116462|2102|Agency Fee Payers|0|F|430975
117032|2101|ACTIVE MEMBERS|2390|T|432564
117033|2102|Agency Fee Payers|0|F|432564
121268|2101|A|7|T|436600
121269|2101|BA|1031|T|436600
121270|2102|Agency Fee Payers|0|F|436600
128541|2101|Regular members|587|T|448953
128542|2101|Retired members|23|T|448953
128543|2102|Agency Fee Payers|0|F|448953
127112|2101|JOURNEYMEN|1054|T|447895
127113|2101|APPRENTICES|274|T|447895
127114|2101|RETIREES|340|F|447895
127115|2101|ARREARS MEMBERS|80|F|447895
123193|2101|Direct Bill Members|417|T|439556
123194|2101|State Employed Members|1388|T|439556
123195|2101|County Employed Members|939|T|439556
123196|2102|Agency Fee Payers|1580|F|439556
123905|2101|FULL DUES PAYING MEMBERS|1722|T|440542
123906|2102||1|F|440542
119463|2101|Journeymen|464|T|435918
119464|2101|Apprentice|107|F|435918
119465|2101|Retirees|375|T|435918
119466|2102|Agency Fee Payers|0|F|435918
116317|2101|ACTIVE MEMBER|826|T|430742
116318|2101|RETIRED MEMBER|15|F|430742
116319|2101|UNEMPLOYED MEMBER|1|F|430742
116320|2101|LIFE MEMBER|178|F|430742
116321|2101|OFFICIAL MEMBER|57|F|430742
116322|2102|Agency Fee Payers|0|F|430742
126824|2101|Goodyear Tire and Rubber Employees|2300|T|447518
126825|2101|Defender Industries Employees|95|T|447518
126826|2102||0|F|447518
129007|2102||1196|F|449224
129005|2101|PART TIME MEMBERS|294|T|449224
129006|2101|PART TIME PART TIME MEMBERS|103|T|449224
129004|2101|FULL TIME MEMBERS|8373|T|449224
130688|2101|MEMBERS|1820|T|450353
130689|2102||1|F|450353
125290|2101|Regular Members|843|T|445303
125291|2102||6|F|445303
127865|2101|Regular members|928|T|448577
123597|2101|Active Member|761|T|440227
123598|2102||2|F|440227
133746|2101|ACTIVE MEMBERS|1202|T|452573
