OID|DESCRIPTION|BOOK_VALUE|RPT_ID
64285|Advance Deposit - Utilities|1439|609380
64286|Due From Related Funds|3199|609380
68266|Prepaid Payroll|24395|614367
61952|INVENTORY OF PROMOTIONAL ITEMS (ESTIMATED)|1022|596988
61938|Contribution certificate|100|596945
61939|Utility deposit|39|596945
62728|Apparel Inventory|272|599201
62754|none|0|599290
65631|Union Jacket Inventory for distribution to members|47258|611865
65634|Rent - Security Deposit - Cleveland, OH|1400|611865
65633|Rent - Security Deposit  - Milwaukee, WI|1300|611865
65632|Rent - Security Deposit - Duluth, MN|950|611865
67821|SECURITY DEPOSIT|3800|614095
67822|ADDITIONAL SECURITY DEPOSIT|1600|614095
64794|INSURANCE PROVIDER|34418|610254
64788|GROUP INSURANCE DEPOSIT |500|610254
64793|INTEREST RECEIVABLE|27075|610254
64792|PREPAID MAINTENANCE SERVICES/OTHERS|55364|610254
64791|PREPAID EMPLOYEE MEDICAL INSURANCE|32186|610254
64790|PREPAID INSURANCE|52726|610254
64789|LEGAL RESERVE|78659|610254
64796|DIVISION/UNIT FUND RECEIVABLES|16441|610254
64795|OTHER RECEIVABLE|40068|610254
63185|INVENTORY|12749|602288
63142|SECURITY DEPOSITS|1860|602173
62796|Prepaid supply inventory|4422|599557
62797|Prepaid expenses|7549|599557
63087|NONE|0|602025
69714|Rent Deposit|900|619553
65789|Bibles|902|612191
65790|Retirement watches|162|612191
62509|OVERPAYMENT OF PAYROLL TAXES|3438|598755
62284|GIFT CARDS FOR MEMBERS|450|598375
62285|INVENTORY OF MEMBER PROMOTIONAL ITEMS|8422|598375
61742|Due from SSOBA DC Retirement Fund|71017|595588
62384|ACCRUED INTEREST RECEIVABLE|3447|598529
63548|N/A|0|606910
63191|EMPLOYEE SALARY REIMBURSEMENT RECEIVABLE|19495|602304
63193|PREPAID EXPENSES|8484|602304
63192|ACCRUED INTEREST RECEIVABLE|647|602304
64333|Prepaid expenses|2754|609405
64334|Security deposit|5074|609405
65226|Rent Deposit|14648|610930
64036|BIBLES |164|608708
64037|WATCHES|151|608708
63133|T-shirt Inventory|466|602133
63136|American Funds|5331|602133
63135|Prepaid Taxes|634|602133
63134|Prepaid Insurance|238|602133
62902|RESERVE FOR MARKET VALUE|50599|601129
62908|ACCRUED INCOME|44439|601129
62907|DEFERRED COMPENSATION - 457B|1296972|601129
62906|ALLOWANCE FOR DOUBTFUL ACCOUNTS|-6691281|601129
62905|SECURITY DEPOSITS|40688|601129
62904|EMPLOYEE TRAVEL ADVANCES|299916|601129
62903|PREPAID EXPENSES|2396759|601129
63110|Security Deposit|738|602083
65350|Inventory|10136|611311
63867|Bible inventory (5 @ $34.05 each)|170|607991
63868|Bible inventory (50 @ 42.69 each)|2135|607991
63049|SECURITY DEPOSITS|420|601913
62496|Prepaid expenses|153653|598724
62498|Security deposits|848|598724
62497|Reserve for market value of investments|1000195|598724
67718|Security Deposit|7546|613950
71755|travel Escrow Account|5000|632236
65221|UnDeposited Fund|79|610909
62723|ACCRUED INTEREST RECEIVABLE|110|599189
65690|REFUNDABLE PAYROLL TAXES|3618|611953
65691|PREPAID PAYROLL |134|611953
67270|LOCAL REIMBURSEMENT|320|613238
68166|DEPOSIT|447|614314
65555|Security rent deposit|2950|611682
67244|Building Corporation |302498|613207
65754|0|0|612105
65293|Postage Meter|35|611192
65296|Ins. Deposit|626|611192
65295|Lease/Rent Deposit|2000|611192
65294|USPS Bulk Mail|975|611192
61741|NONE|0|595585
69799|PREPAID INS|295|621003
69800|UTILITY DEPOSITS|5583|621003
69057|None|0|614664
61594|PREPAID PAYROLL TAXES AND WITHHOLDINGS|4194|594674
67639|Prepaid Expenses|0|613822
63769|PREPAID EXPENSES|5288|607672
69508|NALC RETIREMENT AND DEATH BENEFIT FUND|473405|615236
65891|Security Deposit|224|612331
67849|N/A|0|614149
63762|Payroll taxes|2767|607633
64216|DUE FROM REALTY CORP|90332|609272
65569|PAYROLL TAX OVERPAYMENTS|907|611761
69650|Rent Deposit|2000|618163
63835|16 Bibles @ $46 each|736|607886
63836|14 Watches @ $76 each|1064|607886
67610|N/A|0|613793
67621|N/A|0|613793
67620|N/A|0|613793
67619|N/A|0|613793
67618|N/A|0|613793
67617|N/A|0|613793
67616|N/A|0|613793
67615|N/A|0|613793
67614|N/A|0|613793
67613|N/A|0|613793
67612|N/A|0|613793
67611|N/A|0|613793
63347|STOCK IN BUILDING CORP|361106|604999
69429|FEDERAL 941 REFUND DUE|2155|614988
71397|Prepaid expenses|63430|630173
71399|Other assets|8120|630173
71398|Computer platform in progress|385016|630173
62137|REFUND OVER WITHHELD|143|598057
62298|N/A|0|598389
62338|REIMBURSEMENTS RECEIVABLE|8392|598446
62116|none|0|597969
61720|Inventory: Jackets, Shirts & Pins|4594|595297
65416|Prepaid Insurance - Various|26329|611451
65417|Prepaid Expense|1903|611451
64371|DEPOSITS|1000|609457
64372|INVENTORY - RETIREE WATCHES|3910|609457
62487|none|0|598693
65239|NONE|0|610974
65804|SECURITY RENT DEPOSIT|4200|612232
63546|PREPAID EXPENSES|4280|606903
63547|DEFERRED EXPENSES- CARRYOVER ANNUAL LEAVE|89043|606903
63441|Loan fees - net of amortization|1535|605861
65645|SECURITY DEPOSIT|3500|611880
65021|Prepaid Property Taxes|3331|610607
65022|Prepaid Insurance|3045|610607
66201|PREPAID INSURANCE AND OTHER ASSETS|4859|612609
66989|Prepaid Insurance|4826|613043
66990|Income Tax Receivable|22962|613043
64193|PREPAID EXPENSES|16529|609241
64194|INVENTORY|2700|609241
71323|PREPAID INSURANCE|4725|629932
65197|NONE|0|610867
67200|Security Deposits|530|613158
71138|Rent Deposit|1100|628812
67622|None|0|613805
65543|Utility Deposit|250|611665
65544|Inventory|1353|611665
63924|INVENTORY|1000|608365
62920|Utility Security Deposit|1731|601164
62921|Prepaid expenses|156446|601164
65835|PREPAID INSURANCE|34069|612254
65847|PREPAID TRANSIT FEES|260|612254
65846|PREPAID CREDIT CARD FEES|632|612254
65845|PREPAID MEMBERSHIP DUES|65000|612254
65844|INVENTORY OF SUPPLIES|170565|612254
65843|SECURITY DEPOSIT PAID|64772|612254
65842|PREPAID TAXES|61206|612254
65841|PREPAID LICENSES & SOFTWARE|144277|612254
65840|PREPAID COUNCIL REBATES|107438|612254
65839|PREPAID DISTRICT RENT|50865|612254
65838|PREPAID SERVICE & SUPPORT|127847|612254
65837|PREPAID SUBSCRIPTIONS|125705|612254
65836|PREPAID RENTAL COMMISSION FEE|17462|612254
63059|INVENTORY|66867|601966
63062|DEPOSITS|171196|601966
63061|INSURANCE ANNUITY INVESTMENTS|1278207|601966
63060|PREPAID EXPENSES|466716|601966
62863|NA|0|600729
66090|N/A|0|612528
63566|0|0|607125
71647|T-Shirts x 150|1500|630616
71648|Ink Pens x85|128|630616
70024|10 HP Computers|2330|624173
70025|Vizion Smart T.V.|166|624173
69481|n/a|0|615162
69827|Due from employee (payroll taxes not deducted)|38|621606
65346|PREPAID DENTAL INSURANCE|17356|611305
65347|PREPAID OTHER|2808|611305
66746|INVENTORY|80|612926
69824|NONE|0|621562
69982|Double payment of payroll to Jerry Washington|778|622497
65570|Prepaid expenses|81277|611762
65571|Due from related parties|51343|611762
69479|P/R Tax Deposits|15730|615159
64075|N/A|0|608944
64086|N/A|0|608944
64085|N/A|0|608944
64084|N/A|0|608944
64083|N/A|0|608944
64082|N/A|0|608944
64081|N/A|0|608944
64080|N/A|0|608944
64079|N/A|0|608944
64078|N/A|0|608944
64077|N/A|0|608944
64076|N/A|0|608944
64236|N/A|0|609320
66610|none|0|612844
70064| ||624449
67299|160 SHIRTS @$10.08|1613|613304
67300|12 BIBLES @$38.95|467|613304
65376|Prepaid wages|750|611358
62318|N/A|0|598410
62264|DEPOSITS|253|598333
62265|PREPAID EXPENSES|98|598333
67757|n/a|0|614007
64441|N/A|0|609601
63152|OFFICE LEASE SECURITY DEPOSIT|2800|602200
67624|PREPAID INSURANCE|5242|613809
67625|SECURITY DEPOSIT|600|613809
69695|Prepaid Insurance Expenses|9640|619270
69696|Lease Deposit Held|11806|619270
67193|Rent Security Deposit|17817|613153
67723|Liquor License|8770|613959
62778|PARTNERSHIP OF VARIOUS LABOR ORG LAND AQUISITION|74968|599441
63952|prepayment of fringe benefits towards next bill |411|608509
63953|office supplies and misc.|16500|608509
69587|RENT DEPOSIT|6300|616645
69588|WORKERS COMP INSURANCE DEPOSIT|694|616645
66290|Prepaid Expense|2082|612702
66292|Miscellaneous Deposits|1849|612702
66291|Workers' Compensation Deposit|11390|612702
70204|PREPAID RENT|1100|625791
70205|GL CORRECTIONS|-3120|625791
64218|SECURITY DEPOSITS|1948|609283
64220|PREPAID STATE INCOME TAXES|3684|609283
64219|PREPAID FEDERAL INCOME TAXES|18719|609283
62320|INTEREST RECEIVABLE|584|598414
62321|PREPAID EXPENSES|18353|598414
62250|Security Deposits|4990|598326
61960|Amounts due from SAL 497 Realty|14008|597043
65521|INVENTORY OF MERCHANDISE, CONTRACTS, AND MANUALS|2117|611643
65902|Prepaid Expenses - Insurance and last months rent|3123|612369
61977|Advance to Executive Director|500|597120
64440|PREPAID EXPENSES|19037|609600
65286|SECURITY DEPOSIT|1200|611097
67913|Prepaid Insurance|22850|614186
67914|Loan origination fees, net of amortization|1879|614186
71710|MEMBER DUES RECEIVABLE WITHHELD FROM DECEMBER P/R |9525|630950
62959|UTILITY DEPOSITS|100|601223
62962|PREPAID INSURANCE|3953|601223
62961|SUPPLIES INVENTORY|9407|601223
62960|PREPAID POSTAGE|893|601223
64997|SECURITY DEPOSIT|2000|610581
64998|INVENTORY OF JACKETS|5400|610581
61577|PREPAID EXPENSES - LEASING COMMISSIONS|207878|593669
61580|INTEREST RECEIVABLE|3890|593669
61579|SECURITY DEPOSIT|2000|593669
61578|PREPAID EXPENSES - INSURANCE & OTHER|36417|593669
62568|Accrued Income Receivable|5840|598891
62573|Rebates Receivable|453313|598891
62572|Other Receivables|5872|598891
62571|Security Deposits|84717|598891
62570|Prepaid Expenses|105564|598891
62569|Due From Related Entitites|299342|598891
63346|N/A|0|604966
62948|DUE FROM UNAC, NET|14318|601214
64562|Deposit for Bulk Mail USPS Trust Account|1235|609811
69730|REFUNDABLE DEPOSITS|2471|620314
69732|DUE TO FROM CONVENTION AND BUILDING FUNDS|42661|620314
69731|DUPLICATE TRANSACTION (REFUNDED 2016)|203|620314
66196|PREPAID EXPENSES|13475|612600
63549|OTHER RECEIVABLES|435|606925
63986|DUE FROM HEALTH AND WELFARE FUND|1280|608592
63991|ACCRUED INTEREST RECEIVABLE|1708|608592
63990|PREPAID EXPENSES|3014|608592
63989|PREPAID INSURANCE|1804|608592
63988|DUE FROM HOLY CROSS HIGH SCHOOL|463|608592
63987|DUE FROM NACST|16831|608592
64717|NONE|0|610153
62935|PREPAID EXPENSES|26851|601181
62977|EMPLOYEE ADVANCES|6861|601345
71472|Deposit, Workers Compensation Insurance|5945|630299
71475|Commuter Checks|9960|630299
71474|Gift Cards|8750|630299
71473|Security Deposits|12531|630299
65015|Bulk Mail Account|357|610602
65017|Comfort for the day Books - Paperback - 28|427|610602
65016|Comfort for the Day books - 1|20|610602
67825|Prepaid Insurance|16647|614103
67827|Deposits|6750|614103
67826|Prepaid payroll related deposits|9418|614103
69581|EMPLOYEE DEFERRED COMPENSATION PLAN|44125|616172
61433|LIPA|500|591786
68016|Prepaid Expenses|14468|614242
69196|Prepaid Expenses|109264|614707
69197|Rental Security Deposit|6243|614707
65363|Cemetary Lots|4400|611335
65601|security deposit|2100|611812
66399|PREPAID EXPENSES|5338|612770
67731|Lease deposits|7925|613974
67733|Promotional merchandise|4036|613974
67732|Workers' compensation deposit|5162|613974
67027|Inventory - shirts for sale to members|134|613066
69344|Prepaid Expenses|17274|614785
66486|Security deposit|1200|612815
63533|Due from Officer|1204|606594
69363|SECURITY DEPOSITS|2932|614814
69463|Prepaid Expenses|1237|615131
69465|Reimbursable Health Plan Expenses|9018|615131
69464|Refundable Deposit|1300|615131
67178|Security Deposit|3531|613122
67693|BIBLE INVENTORY (20 @ $26.95)|539|613900
62621|Security Deposit|5500|599000
62856|PREPAID BENEFITS|44763|600549
65126|Postage on Meter|84|610720
65130|Veterans Committee Challenge Coins (77)|405|610720
65129|Shirts for the Womens Committee (37)|370|610720
65128|Watches for service and recognition awards (29)|1102|610720
65127|Bibles from 2015 (41)|3311|610720
61646|Lease Deposits|500|594782
67797|Cash held as trustee|408382|614066
67798|Accrued interest|175|614066
62879|Rent security deposit|3932|600995
64164|FMV of Building Equity Fund|147254|609189
62870|PESCO Stock|5868|600773
63915|ACCRUED INTEREST|66|608276
64112|PREPAID EXPENSE|128775|609074
64114|ACCRUED INTEREST RECEIVABLE|64000|609074
64113|DEPOSITS|13512|609074
65760|DEPOSIT - WORKERS COMPENSATION|753|612120
65761|RESALE ITEMS|5298|612120
63562|N/A|0|607046
62833|Prepaid expenses|3393|600342
67163|Accrued Interest|170823|613118
67166|Deposits & Prepaids|94577|613118
67165|Prepaid Computer Maintenance|39768|613118
67164|Prepaid Insurance|71366|613118
