OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
211360|2101|Apprentices|45|F|609380
211363|2102|Agency Fee Payers|0|F|609380
211361|2101|Retired|152|T|609380
211362|2101|Life|58|T|609380
211359|2101|Active|344|T|609380
218009|2101|Active Carriers|2271|T|614367
218010|2101|Retired Carriers|625|T|614367
218011|2102|Agency Fee Payers|0|F|614367
203488|2101|LOCAL UNIONS|21|T|596988
203489|2102|Agency Fee Payers|0|F|596988
203457|2101|Journeyman|910|T|596945
203458|2101|Appentices|212|F|596945
203459|2101|Retirees|81|T|596945
206788|2101|Building Trades|797|T|599201
206789|2101|Production Workers|280|T|599201
206790|2101|Retired Members|265|T|599201
206791|2101|Members on withdrawal|27|F|599201
206868|2101|Regular Members|1690|T|599290
206869|2101|Relief Members|1173|T|599290
206870|2101|Retired Members|504|T|599290
206871|2101|Associate Members|10|F|599290
206872|2101|Retired Associate Members|0|F|599290
209294|2101|CLASS A MEMBERSHIP|245|T|606201
209295|2101|CLASS BA MEMBERSHIP|16|T|606201
213268|2102|Agency Fee Payers|0|F|611022
221478|2101|Members|2150|T|625008
216962|2101|A Members|265|T|613800
216963|2101|BA Members|17|T|613800
215969|2101|Journeyman|1004|T|613019
215970|2101|Industrial|276|T|613019
215971|2101|Apprentice|172|T|613019
215972|2101|Retired|139|T|613019
209667|2101|REGULAR MEMBERS|793|T|607251
214340|2101|Regular members|17657|T|611865
214341|2102|Agency Fee Payers|1156|F|611865
217370|2101|ACTIVE PART TIME MEMBERS|3160|T|614095
217369|2101|ACTIVE FULL TIME MEMBERS|7343|T|614095
217371|2102|Agency Fee Payers|0|F|614095
216318|2101|Regular Members|596|T|613211
212167|2101|A Members|2|T|609963
212168|2101|BA Members|1417|T|609963
212169|2102|Agency Fee Payers|6|F|609963
220490|2101|Local 1626 Members|176|T|620071
220491|2102|Agency Fee Payers|0|F|620071
221600|2101|Clerical members (active, dues-paying)|12|T|625270
221601|2101|Operations & mechanical members (active, dues-paying)|620|T|625270
220073|2101|REGULAR MEMBERS|47320|T|618130
212392|2101|PART TIME|632|T|610254
212391|2101|FULL TIME|11019|T|610254
212393|2101|RETIREE|1882|F|610254
212394|2101|ASSOCIATE|19|F|610254
212395|2102|Agency Fee Payers|912|F|610254
208193|2101|A|35|T|602288
208194|2101|BA|653|T|602288
208195|2102|Agency Fee Payers|15|F|602288
208106|2101|GENERAL MEMBERSHIP|2367|T|602173
207049|2101|Active members with all rights|530|T|599557
207050|2101|Members on LTD|10|F|599557
207051|2101|Members not sworn in|25|F|599557
207052|2102|Agency Fee Payers|0|F|599557
207973|2101|FULL MEMBERS|244|T|602025
207418|2101|GENERAL MEMBERSHIP|496|T|600993
207784|2101|Full Dues Paying Members|1019|T|601817
207785|2101|Cash Dues Paying Members|2|T|601817
207786|2102|Agency Fee Payers|0|F|601817
220410|2101|Active Members|771|T|619553
220411|2102|Agency Fee Payers|0|F|619553
207918|2101|REGULAR MEMBERS|1566|T|601983
207919|2101|RETIRED MEMBERS|3|T|601983
