OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
25893|1201|Postage Elections Report PAC|2004-08-27|5|83246|277772
1|1201|ARBITRATION AWARD|2004-02-19|16005|19|224377
2|1201|Contributions for the National Office|2004-01-13|1301|63|227102
3|1201|Contributions from the National Office|2004-02-19|1301|63|227102
4|1201|Contributions from the National Office|2004-03-18|1301|63|227102
5|1201|Contributions from the National Office|2004-04-12|1301|63|227102
6|1201|Contributions from the National Office|2004-06-15|3065|63|227102
7|1201|Contributions from the National Office|2004-06-15|1742|63|227102
8|1201|Contributions from the National Office|2004-07-20|1742|63|227102
9|1201|Contributions from the National Office|2004-08-26|1742|63|227102
10|1201|Contributions from the National Office|2004-09-14|1742|63|227102
11|1201|Contributions from the National Office|2004-10-12|1742|63|227102
12|1201|Contributions from the National Office|2004-11-23|1742|63|227102
13|1201|Contributions from the National Office|2004-12-13|1742|63|227102
14|1201|Reimburse Local for Organizing activities`|2004-04-27|3816|65|227525
15|1201|Reimburse Local for Organizing activities|2004-05-12|1267|65|227525
16|1201|Reimburse Local for Organizing activities|2004-05-25|4176|65|227525
17|1201|Reimburse Local for Organizing activities|2004-07-16|9822|65|227525
18|1201|Reimburse Local for Organizing activities|2004-07-21|212|65|227525
19|1201|Reimburse Local for Organizing activities|2004-07-30|4086|65|227525
20|1201|Reimburse Local for Organizing activities|2004-08-19|5887|65|227525
21|1201|Reimburse Local for Organizing activities|2004-09-21|1944|65|227525
22|1201|Reimburse Local for Organizing activities|2004-09-30|5220|65|227525
23|1201|Reimburse Local for Organizing activities|2004-10-27|6326|65|227525
24|1201|Reimburse Local for Organizing activities|2004-11-24|6273|65|227525
25|1201|Reimburse Local for Organizing activities|2004-12-10|1314|65|227525
26|1201|Reimburse Local for Organizing activities|2004-12-23|6326|65|227525
27|1201|Reimburse for Jack Hodges|2004-01-30|4654|66|227525
28|1201|Reimburse for Jack Hodges|2004-02-20|1998|66|227525
29|1201|Reimburse for Jack Hodges|2004-02-27|4654|66|227525
30|1201|Reimburse for Jack Hodges|2004-03-16|536|66|227525
31|1201|Reimburse for Jack Hodges|2004-04-16|5817|66|227525
32|1201|Reimburse for Jack Hodges|2004-04-27|6868|66|227525
33|1201|Reimburse for Jack Hodges|2004-05-20|1267|66|227525
34|1201|Reimburse for Jack Hodges|2004-05-25|4654|66|227525
35|1201|Reimburse for Jack Hodges|2004-06-28|5817|66|227525
36|1201|Reimburse for Jack Hodges|2004-07-19|2865|66|227525
37|1201|Reimburse for Jack Hodges|2004-07-30|4654|66|227525
38|1201|Reimburse for Jack Hodges|2004-08-20|6089|66|227525
39|1201|Reimburse for Jack Hodges|2004-09-21|698|66|227525
40|1201|Reimburse for Jack Hodges|2004-09-30|7253|66|227525
41|1201|Reimburse for Jack Hodges|2004-10-22|6448|66|227525
42|1201|Reimburse for Jack Hodges|2004-10-27|873|66|227525
43|1201|Reimburse for Jack Hodges|2004-11-24|698|66|227525
44|1201|Reimburse for Jack Hodges|2004-11-30|6089|66|227525
45|1201|Reimburse for Jack Hodges|2004-12-10|1163|66|227525
46|1201|Reimburse for Jack Hodges|2004-12-23|8484|66|227525
47|1201|POLITICAL EDUCATION|2004-12-31|6387|111|227926
55|1201|MISCELLANEOUS|2004-12-31|2001|133|228746
56|1201|MERGED ASSETS|2004-08-01|102245|136|228895
57|1201|MERGED ASSETS|2004-08-01|201311|137|228895
58|1201|MERGED ASSETS|2004-08-01|199888|138|228895
59|1201|MERGED ASSETS|2004-08-01|48811|139|228895
60|1201|SALARY REIMBURSEMENT|2004-02-04|6172|144|228896
61|1201|SALARY REIMBURSEMENT|2004-05-17|6038|144|228896
62|1201|SALARY REIMBURSEMENT|2004-09-14|6242|144|228896
63|1201|SALARY REIMBURSEMENT|2004-10-28|6531|144|228896
64|1201|Insurance - Auto|2004-11-01|5866|174|229081
65|1201|FLOOD DAMAGE|2004-10-23|23674|213|229199
66|1201|Organizing Grant|2004-01-02|4304|327|229933
67|1201|Organizing Grant|2004-02-02|4304|327|229933
68|1201|Organizing Grant|2004-03-02|4304|327|229933
69|1201|Organizing Grant|2004-04-02|4304|327|229933
70|1201|Organizing Grant|2004-05-02|4304|327|229933
71|1201|Organizing Grant|2004-06-02|4304|327|229933
72|1201|Organizing Grant|2004-07-02|4304|327|229933
73|1201|Organizing Grant|2004-08-02|4304|327|229933
74|1201|Organizing Grant|2004-09-02|4305|327|229933
75|1201|Organizing Grant|2004-10-02|4305|327|229933
76|1201|Insurance Proceeds- wrecked auto|2004-11-10|13008|328|229933
77|1201|CREDIT CARD AFFINITY AGREEMENT ADVANCE|2004-02-11|30000|332|230586
78|1201|CREDIT CARD AFFINITY PAYMENT|2004-11-30|10059|332|230586
82|1201|CAPITAL ACCOUNT TRANSFER|2004-07-09|26408|419|241927
85|1201|OVERHEAD RECEIVED DURING THE YEAR|2004-12-31|26168|448|243239
333|1201|Reimbursement for Organizing|2004-10-20|113313|1317|247088
10146|1201|Other Income|2004-12-30|95|34378|269236
3537|1201|Training|2004-07-31|5801|13193|249728
3538|1201|Expenses Reimbursed|2004-12-31|4203|13194|249728
3539|1201|Misc Receipts|2004-12-31|2124|13195|249728
3540|1201|FundRaising - Golf Outing|2004-08-31|1098|13196|249728
5109|1201|REBATE|2004-11-09|788|19415|259135
5110|1201|REBATE|2004-11-09|788|19415|259135
5111|1201|TRANSFER OF FUNDS AFTER MERGER|2004-06-17|26542|19416|259135
5112|1201|TRANSFER OF FUNDS AFTER MERGER|2004-06-17|26542|19416|259135
5113|1201|MISCELLANEOUS RECEIPTS AND CREDITS|2004-12-31|132|19417|259135
