OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|GROSS_SALES_PRICE|AMOUNT_RECD|RPT_ID
55398||165 Morris Road; Brevard, NC|190000|190000|651580|240542|463535
55351||GENERAL MOTORS NOTE|3973|3973|4000|4000|463448
55352||FORD MOTOR CREDIT|25000|25000|25000|25000|463448
55353||BUILDING - COMMERCIAL BLVD.|0|0|0|550000|463454
27310||NONE|0|0|0|0|364870
2684||LAND, BUILDING & IMPROVEMENTS, TULSA, OK|291349|137073|659089|659089|268310
2729||4261. 536 sh Fidelity Advisor High Income Fund|3518|0|41209|41209|268647
2731||4126.777 sh Pioneer High Yield Fund|49934|0|48985|48985|268647
2730||827.683 sh Fidelity Advisor High Income Fund|7950|0|8012|8012|268647
48||FUNDAMENTAL INVESTORS|5073|5073|4994|4994|241927
50||COLUMBIA GROWTH & INCOME|3288|3288|2842|2842|241927
49||WASHINGTON MUTUAL INVESTMENT|10684|10684|9994|9994|241927
55418||MAIN STAY MUTUAL FUNDS SALE (TRANSFER) TO NEW CO.|345561|0|353442|7881|463699
55400||Sale of Investments|70000|70000|70000|70000|463549
5421||Hsehld Finance 7.2 7/15/06|220664|220664|243794|243794|279327
5455||Shelbourne Properties|26123|26123|31725|31725|279327
5454||Pepco Hldg Inc|1731|1731|2326|2326|279327
5453||Freddie Mac 4/15/06|252369|252369|247102|247102|279327
5452||Fed Home Loan 3/14/08|396311|396311|390751|390751|279327
5451||Fannie Mae 1/15/08|297113|297113|299174|299174|279327
5450||FHLMC 9/15/07|305361|305361|305361|305360|279327
5449||FNMA 6/15/08|401978|401978|387717|387717|279327
5448||Fed Farm Cr Bank 8/15/05|256763|256763|248867|248867|279327
5447||Fef Hm Bnk 10/15/04|403908|403908|403908|403908|279327
5446||FNMA 12/1/23|10379|10379|10542|10542|279327
5445||GNMA 3/15/24|44004|44004|38005|38005|279327
5444||GNMA 1/15/24|29553|29553|21871|21871|279327
5443||FNMA 10/1/23|9760|9760|6014|6014|279327
5442||FNMA 9/1/23|23900|23900|17172|17172|279327
5441||FHLMC 5/1/22|10305|10305|4570|4570|279327
5440||FHLMC 5/1/21|13674|13674|7043|7026|279327
5439||FHLMC 2/1/20|13674|13674|7043|7043|279327
5438||GNMA 7/15/18|20853|20853|10298|10298|279327
5437||CMO Tr REMIC 5/1/17|816|816|2102|2102|279327
5436||FNMA 2/1/17|18742|18742|13180|13180|279327
5435||FHLMC 7/1/04|15316|15316|306|306|279327
5434||US Treas 3/31/04|302719|302719|300000|300000|279327
5433||US Treas 5/15/06|299197|299197|295153|295153|279327
5432||US Treas 5/15/08|511525|511525|486943|486943|279327
5431||US Treas 3.5 11/15/06|345014|345014|352031|352031|279327
5430||Int Lease 2.95 5/23/06|255043|255043|251101|251101|279327
5429||BOA 3.25 8/15/08|244335|244335|245867|245867|279327
5428||GE 2,85  1/30/06|203434|203434|200721|200721|279327
5427||SLM Corp 3/17/08|231728|231728|224327|224327|279327
5426||Bear Stearns 3/30/06|258412|258412|248516|248516|279327
5425||Morgan Stanley 4/1/06|259140|259140|250230|250230|279327
5424||Gen Dynamics 5/15/06|136801|136801|132664|132664|279327
5423||Assoc Corp NA 5/16/05|49862|49862|50646|50646|279327
5422||Assoc Corp NA 6.10 1/15/05|215090|215090|230398|230398|279327
55368||Bear Stearns 3/30/06|258412|258412|248516|248516|463507
55363||Hsehld Finance 7.2 7/15/06|220664|220664|243794|243794|463507
55367||Morgan Stanley 4/1/08|259140|259140|250230|250230|463507
55366||Gen Dynamics 5/15/06|136801|136801|132664|132664|463507
55365||Assoc Corp NA 5/16/05|49862|49862|50646|50646|463507
55364||Assoc Corp NA 6.10 1/15/05|215090|215090|230398|230398|463507
55397||Shelbourne Properties|26123|26123|31725|31725|463507
55396||Pepco Hldg Inc|1731|1731|2326|2326|463507
55395||Freddie Mac 4/15/06|252369|252369|247102|247102|463507
55394||Fed Home Loan 3/14/08|396311|396311|390751|390751|463507
55393||Fannie Mae 1/15/08|297113|297113|299174|299174|463507
55392||FHLMC 9/15/107|305361|305361|305361|305360|463507
55391||FNMA 6/15/08|401978|401978|387717|387717|463507
55390||Fed Farm Cr Bank 8/15/05|256763|256763|248867|248867|463507
55389||Fef Hm Bnk 10/15/04|403908|403908|403908|403908|463507
55388||FNMA 12/1/23|10379|10379|10542|10542|463507
55387||GNMA 3/15/24|44004|44004|38005|38005|463507
55386||GNMA 1/15/24|29553|29553|21871|21871|463507
55385||FNMA 10/1/23|9760|9760|6014|6014|463507
55384||FNMA 9/1/23|23900|23900|17172|17172|463507
55383||FHLMC 5/1/22|10305|10305|4570|4570|463507
55382||FHLMC 5/1/21|13674|13674|7043|7026|463507
55381||FHLMC 2/1/20|13674|13674|7043|7043|463507
55380||GNMA 7/15/18|20853|20853|10298|10298|463507
55379||CMO Tr REMIC 5/1/17|816|816|2102|2102|463507
55378||FNMA 2/1/17|18742|18742|13180|13180|463507
55377||FHLMC 7/1/04|15316|15316|306|306|463507
55376||US Treas 3/31/204|302719|302719|300000|300000|463507
55375||US Treas 5/15/06|299197|299197|295153|295153|463507
55374||US Treas 5/15/08|511525|511525|486943|486943|463507
55373||US Tres 3.5 11/15/06|345014|345014|352031|352031|463507
55372||Int Lease 2.95 5/23/06|255043|255043|251101|251101|463507
55371||BOA 3.25 8/15/08|244335|244335|245867|245867|463507
