OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|CASH_PAID|RPT_ID
112244||314 and 318 West French Broad Street|431580|431580|2989|463535
11406||OFFICE EQUIPMENT|1214|1214|1214|278364
11407||LAND IMPROVEMENTS 166 CAL BATSEL RD BOWLING GREEN|3090|3090|0|278364
112163||HOUSEHOLD FINANCE CORP. NOTE|6000|6000|6000|463448
112164||DAIN RAUSCHER - DIVIDENDS REINVESTED|751|751|751|463448
4507||.|0|0|2646|268307
112165||FURNITURE|1500|1500|1500|463454
57365||FURNITURE AND EQUIPMENT|165512|165512|165512|364870
4510||FURNITURE & OFFICE EQUIPMENT|10906|10906|10906|268310
4512||BUILDING, 1515 S. MEMORIAL DR., TULSA, OK|548396|548396|548396|268310
4511||LAND, TULSA, OK|40000|40000|40000|268310
112171||OFFICE EQUIPMENT|7879|7879|7879|463458
112296||Furniture|786|674|786|463799
112297||Chairs|2275|2058|2275|463799
4621||251.54 sh Fidelity Advisor Fund|2450|0|2450|268647
4623||4126.777 sh Pioneer High Yield Fund|49934|0|49934|268647
4622||27093.65 sh Franklin Age High Income Fund|55152|0|55152|268647
112173||Dell Computer|4755|0|4755|463503
3691||COMPUTERS & COMPUTER EQUIPMENT|9492|8543|9492|263415
76||Air conditioning system|7140|7140|7140|238611
116||COMPUTERS (4)|5901|5901|5901|241927
121||STOCKS - VARIOUS|1185|0|1185|241927
120||PRINTERS (2)|1829|1829|1829|241927
119||FAX MACHINE|3659|3659|3659|241927
118||DIGITAL CAMERA|481|481|481|241927
117||COMPUTER SOFTWARE & ACCESSORIES|1449|1449|1449|241927
112245||COMPUTER|984|984|984|463542
4729||Gem Alarm System|936|936|936|268922
4730||Carpet Replacement|1197|1197|1197|268922
4735||OFFICE EQUIPMENT|1818|1636|1818|268927
63167||COMPUTERS|3458|3458|3458|371689
112276||2 19" monitors|1140|1140|1140|463674
112280||filing drawers|1034|1034|1034|463674
112279||mailing machine|2441|2441|2441|463674
112278||server|2584|2584|2584|463674
112277||4 computers|7322|7322|7322|463674
112246||FIRST UNION SECURITIES|61633|61633|61633|463544
23||Computer Equipment|0|0|3983|227102
112248||Purchase of Investments|70000|70000|70000|463549
11641||650 shrs Alcoa Inc|20770|20770|20770|279327
11631||181 shrs PIMCO Commodity|250000|250000|250000|279327
11640||280 shrs Entertainment PPTYS Tr|12575|12575|12575|279327
11639||300 shrs Healthcare Reality Tr|12430|12430|12430|279327
11638||300 shrs Sovran Self Storage|12850|12850|12850|279327
11637||220 shrs KIMCO Reality|12726|12726|12726|279327
11636||2800 shrs Annaly Mtg Mgmt|12914|12914|12914|279327
11635||170 shrs Vomado Reality Tr|55730|55730|55730|279327
11634||600 shrs Proiogis REIT|12386|12386|12386|279327
11633||600 shrs First Ind Reality|24400|24400|24400|279327
11632||340 shrs Arden Reality|12525|12525|12525|279327
11630||550 shrs First Health|10350|10350|10350|279327
11629||95 shrs Diagnostic Products|5122|5122|5122|279327
11628||1000 shrs Chevron Texaco|52727|52727|52727|279327
11627||120 shrs SFBC Intl|4786|4786|4786|279327
11626||450 shrs CCA|5050|5050|5050|279327
11625||420 shrs Borders Gro|10048|10048|10048|279327
11624||140 shrs Sybron Dental|4910|4910|4910|279327
11623||180 shrs Engineered Support|9694|9694|9694|279327
11622||370 shrs Steiner Leisure|10148|10148|10148|279327
11621||440 shrs TATA Mtrs|4850|4850|4850|279327
11620||110 shrs Stone Energy|4883|4883|4883|279327
11619||430 shrs Scientific Games|9986|9986|9986|279327
11618||170 shrs Maverick Tube Corp|5076|5076|5076|279327
11617||170 shrs Headwaters|4906|4906|4906|279327
11616||200 shrs Gtech Hldgs|5170|5170|5170|279327
11615||900 shrs Catalyst Semicndctr|4870|4870|4870|279327
11614||1700 shrs Streettracks Gold Tr|75849|75849|75849|279327
11613||10000 shrs MSCI JPN Idx|101860|101860|101860|279327
11612||650 shrs MSCI Emrg Mkt|123140|123140|123140|279327
11611||1650 shrs Newmont Mining|78042|78042|78042|279327
11610||900 shrs Mercj|24056|24056|24056|279327
11609||680 shrs HJ Heinz|25620|25620|25620|279327
11608||1000 shrs ExxonMobil|50020|50020|50020|279327
11607||18000 shrs Central Fd CDA Ltd|103420|103420|103420|279327
11606||45 shrs Berkshire Hathaway CI B|124060|124060|124060|279327
11667||400 shrs Pepsico|204842|484|20484|279327
11666||150 shrs FPL Grp|10730|10730|10730|279327
11665||600 shrs Proiogis REIT|24778|24778|24778|279327
11664||130 shrs Chicago Brdg and Iron|4950|4950|4950|279327
11663||Int Lease  5/23/06|255043|255043|255043|279327
11662||Office equipment|1400|1400|1400|279327
11661||Vehicle acquistion  (6)|161812|161812|161812|279327
11660||325 shrs Wells Fargo|20298|20298|20298|279327
11659||675 shrs Waste Mgm|20416|20416|20416|279327
11658||325 shrs 3M Co|25755|25755|25755|279327
11657||175 shrs Procter and Gamble|9601|9601|9601|279327
11656||150 shrs PPG Ind|9910|9910|9910|279327
11655||1100 shrs Microsoft|29702|29702|29702|279327
11654||250 shrs Kimberly Clark|15767|15767|15767|279327
11653||250 shrs Keyspan|9499|9499|9499|279327
11652||250 shrs Johnson and Johnson|15320|15320|15320|279327
11651||275 shrs JP Morgan|10335|10335|10335|279327
11650||275 shrs HJ Heinz|10285|10285|10285|279327
11649||450 shrs Gen Mill|20781|20781|20781|279327
11648||425 shrs Gen Elec|15168|15168|15168|279327
11647||250 shrs Gannett Co|20305|20305|20305|279327
11646||200 shrs ExxonMobil|9988|9988|9988|279327
11645||225 shrs El Dupnt|10214|10214|10214|279327
11644||250 shrs Cinergy|10350|10350|10350|279327
11643||175 shrs BP PLC Spons Adr|10310|10310|10310|279327
11642||200 shrs Ameren|9593|9593|9593|279327
14780||Smith Barney Money Funds|128383|128383|128383|298950
14781||Computer|2195|2195|2195|298950
112251||COMPANY CAR - CHEVROLET TRAIL BLAZER 2004|26162|23359|26162|463578
112252||COMPANY CAR - CHEVROLET IMPALA 2004|23549|21687|23549|463578
112243||Int Lease 5/23/06|255043|255043|255043|463507
112182||45 shrs Berkshire Hathaway CI B|124060|124060|124060|463507
112198||370 shrs Steiner Leisure|10148|10148|10148|463507
112197||440 shrs TATA Mtrs|4850|4850|4850|463507
112196||110 shrs Stone Energy|4883|4883|4883|463507
112195||430 shrs Scientific Games|9986|9986|9986|463507
112194||170 shsr Maverick Tube Corp|5076|5076|5076|463507
112193||170 shrs Headwaters|4906|4906|4906|463507
112192||200 shrs Gtech Hldgs|5170|5170|5170|463507
112191||900 shrs Catalyst Semicndctr|4870|4870|4870|463507
112190||1700 shrs Streettracks Gold Tr|75849|75849|75849|463507
112189||10000 shrs MSCI JPN Idx|101860|101860|101860|463507
112188||650 shrs MSCI Emrg Mkt|123140|123140|123140|463507
112187||1650 shrs Newmont Mining|78042|78042|78042|463507
112186||900 shrs Merck|24056|24056|24056|463507
112185||680 shrs HJ Heinz|25620|25620|25620|463507
112184||1000 shrs Exxon Mobil|50020|50020|50020|463507
112183||18000 shrs Central Fd CDA Ltd|103420|103420|103420|463507
112242||Office equipment|1400|1400|1400|463507
112241||Vehicle acquistion (6)|161812|161812|161812|463507
112240||325 shrs Well Fargo|20298|20298|20298|463507
112239||675 shrs Waste Mgm|20416|20416|20416|463507
112238||325 shrs 3M Co|25755|25755|25755|463507
112237||175 shrs Procter and Gamble|9601|9601|9601|463507
112236||400 shrs Pepsico|20484|20484|20484|463507
112235||150 shrs PPG Ind|9910|9910|9910|463507
112234||1100 shrs Microsoft|29702|29702|29702|463507
112233||250 shrs Kimberly Clark|15767|15767|15767|463507
112232||250 shrs Keyspan|9499|9499|9499|463507
112231||250 shrs Johnson and Johnson|15320|15320|15320|463507
112230||275 shrs JP Morgan|10335|10335|10335|463507
112229||275 shrs HJ Heinz|10285|10285|10285|463507
112228||450 shrs Gen Mills|20781|20781|20781|463507
112227||425 shrs Gen Elec|15168|15168|15168|463507
112226||250 shrs Gannett Co|20305|20305|20305|463507
112225||150 shrs FPL Grp|10730|10730|10730|463507
112224||200 shrs ExxonMobil|9988|9988|9988|463507
112223||225 shrs El Dupont|10214|10214|10214|463507
112222||250 shrs Cinergy|10350|10350|10350|463507
112221||175 shrs BP PLC Spons Adr|10310|10310|10310|463507
112220||200 shrs Ameren|9593|9593|9593|463507
112219||650 shrs Alcoa Inc|20770|20770|20770|463507
112218||280 shrs Entertainment PPTYS Tr|12575|12575|12575|463507
112217||300 shrs Healthcare Realty Tr|12430|12430|12430|463507
112216||300 shrs Sovran Self Storage|12850|12850|12850|463507
112215||220 shrs KIMCO Realty|12726|12726|12726|463507
112214||1020 HRPT Properties Tr|12914|12914|12914|463507
112213||2800 shrs Annaly Mtg Mgmt|55730|55730|55730|463507
112212||170 shrs Vomado Realty Tr|12386|12386|12386|463507
112211||600 shrs Proiogis REIT|24778|24778|24778|463507
