OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
67933|1201|PLAYER MARKETING|2006-09-20|13000000|225281|326493
42059|1201|Reimburse Industry Monitoring Expense|2006-07-31|28481|142134|305083
42060|1201|Reimburse Industry Monitoring Expense|2006-09-19|24000|142134|305083
42154|1201|Reimbursement of shared expenses|2006-10-31|18305|142574|305123
42155|1201|Reimbursement of shared expenses|2006-06-30|10170|142574|305123
42156|1201|Reimbursement of shared expenses|2006-11-30|8218|142574|305123
42157|1201|Reimbursement of shared expenses|2006-07-31|8136|142574|305123
42158|1201|Reimbursement of shared expenses|2006-08-31|8136|142574|305123
42159|1201|Reimbursement of shared expenses|2006-10-31|18305|142575|305123
42160|1201|Reimbursement of shared expenses|2006-06-30|10170|142575|305123
42161|1201|Reimbursement of shared expenses|2006-11-30|8217|142575|305123
42162|1201|Reimbursement of shared expenses|2006-11-30|8136|142575|305123
42163|1201|Reimbursement of shared expenses|2006-07-31|8136|142575|305123
43691|1201|TRANSFER OF MEMBERSHIP|2006-11-10|406560|146205|307025
43692|1201|TRANSFER OF MEMBERSHIP|2007-01-30|13440|146205|307025
106194|1201|ORGANIZING|2007-10-19|5000|366391|351750
52159|1201|REFUND OF PROPERTY TAX OVERPAYMENT|2007-02-23|5408|167542|311974
66950|1201|HEALTH CARE PREMUM PAYMENT|2006-03-17|9294|223161|326194
66951|1201|HEALTH CARE PREMUM PAYMENT|2006-04-07|9310|223161|326194
66952|1201|HEALTH CARE PREMUM PAYMENT|2006-05-05|9302|223161|326194
66953|1201|HEALTH CARE  PREMUM PAYMENT|2006-06-02|9052|223161|326194
66954|1201|HEALTH CARE OREMUM PAYMENT|2006-07-07|8802|223161|326194
66955|1201|HEALTH CARE PREMUM  PAYM,ENT|2006-08-04|8302|223161|326194
66956|1201|HEALTH CARE PREMUM PAYMENT|2006-09-01|8310|223161|326194
66957|1201|HEALTH CARE PREMUM PAYMENT|2006-10-06|8830|223161|326194
66958|1201|HEALTH CARE PREMUM PAYMENT|2006-11-03|8712|223161|326194
66959|1201|HEALTH CARE PREMUM PAYMENT|2006-12-01|8564|223161|326194
66960|1201|HEALTH CARE PREMUM PAYMENT|2007-01-05|8636|223161|326194
66961|1201|HEALTH CARE PREMUM PAYMENT|2007-02-02|6208|223161|326194
66962|1201|MERGER WITH WESTERN REGIONAL COUNCIL|2006-05-17|46945|223162|326194
66989|1201|Expense Reimbursement|2007-01-08|6474|223240|326413
66990|1201|Expense Reimbursement|2007-04-04|6707|223240|326413
67018|1201|MONIES HELD BY DEFUNCT ORG.|2006-08-18|8583|223372|326447
67019|1201|SHARED SERVICES REIMBURSEMENT|2006-11-13|25000|223373|326447
67020|1201|SHARED SERVICES REIMBURSEMENT|2006-06-14|23025|223373|326447
67021|1201|SHARED SERVICES REIMBURSEMENT|2006-08-14|20000|223373|326447
67022|1201|REIMBURSMENT OF ANNUITY PLAN CONTR.|2006-06-19|17520|223373|326447
67023|1201|SHARED SERVICES REIMBURSEMENT|2006-11-22|12500|223373|326447
67024|1201|SHARED SERVICES REIMBURSMENT|2007-01-29|12500|223373|326447
67025|1201|SHARED SERVICES REIMBURSMENT|2006-12-18|10638|223373|326447
67026|1201|SHARED SERVICES REIMBURSMENT|2006-10-16|10000|223373|326447
67027|1201|REIMBURSMENT OF ANNUITY PLAN CONTR|2006-10-24|7401|223373|326447
67028|1201|SHARED SERVICES REIMBURSMENT|2006-12-05|6785|223373|326447
67029|1201|REIMBURSMENT OF ANNUITY PLAN CONTR|2007-01-29|5743|223373|326447
67030|1201|REIMBURSMENT OF SHARED SERVICES|2006-06-14|37420|223374|326447
67707|1201|AFL-CIO ROYALTIES (CREDIT CAR|2006-07-11|89942|224741|326467
67708|1201|AFL-CIO CREDIT CARD ROYALTIES|2007-01-12|93024|224741|326467
67709|1201|VOID OF CHECK 3906 WRITTEN 6/20/05|2006-09-22|12528|224742|326467
67710|1201|VOID LEGISLATION|2006-09-22|25000|224743|326467
67711|1201|RETURN OF FUNDS FROM NGMP CLA|2007-02-28|50000|224744|326467
67712|1201|FUNDS RETURNED - L-107/108 BUILDING DEPOSIT|2007-02-21|100000|224745|326467
67713|1201|D. GHJILAZGHI'S SAL. REIMB. 1|2006-03-13|7518|224746|326467
67714|1201|D. GHILAZGHI'S SALARY REIMB.|2006-06-06|8187|224746|326467
67715|1201|L 153-TEMP HELP C. PEDERSEN|2006-07-12|5188|224746|326467
67716|1201|D. GHILAZGHI'S REIM. SALARY 4|2006-11-03|15233|224746|326467
67717|1201|D. GHILAZGHI ALLOC. FOR SALAR|2007-02-07|8185|224746|326467
67718|1201|RECEIPTS ON BEHALF OF PENSION|2006-03-31|158389|224746|326467
67719|1201|RECEIPTS ON BEHALF OF PENSION|2006-04-30|131706|224746|326467
67720|1201|RECEIPTS ON BEHALF OF PENSION|2006-05-31|179644|224746|326467
