OID|DESCRIPTION|AMOUNT|RPT_ID
27154|Check off dues payable|505167|350509
27158|International dues payable|159|350509
27157|Accrued Interest payable|13864|350509
27156|Payroll Taxes payable|11294|350509
27155|Death Benefits payable|30765|350509
27116|VACATION/DUES WITHHOLDINGS PAYABLE|1494|350461
27117|PAYROLL TAXES PAYABLE|884|350461
19895|PAYROLL WITHHOLDINGS|3530|333203
30782|DEATH BENEFIT FUND|64620|364042
20117|Payroll Tax Liabilties|9313|333710
26397|Per Capitia|64161|349717
26399|Payroll Taxes|42472|349717
26398|Benefits|31380|349717
25800|Accrued Vacation|1302|348993
27608|Payroll Tax Withholding|4473|350745
27609|Payroll Savings Withheld|380|350745
26287|MESC|804|349575
26288|FED UNEMPLOYMENT|762|349575
26985|Payroll withholding deductions(includes P/R Taxes)|28907|350295
26992|Accrued member outreach campaign costs|31138|350295
26991|Accrued life & health Insurance|6324|350295
26990|Accrued salaries/benefits due International Union|15766|350295
26989|Accrued per capita payable|1021938|350295
26988|Accrued building expenses|176231|350295
26987|Other reimbursements due affiliates|5693|350295
26986|Accrued rebates due Affiliated Locals|7180|350295
27900|Deductions not disbursed|367|350895
28974|Employment Taxes|4541|351971
28978|United Way Contributions|720|351971
28977|Unemployment Taxes|109|351971
28976|County Taxes|204|351971
28975|State Taxes|851|351971
30083|NONE|0|361232
21960|Payroll withholdings payable|1293|337741
28845|ACCRUED POST RETIREMENT BENEFIT|2093438|351748
28862|REFUND PAYABLE|235|351748
28861|ACCRUED VACATION & SICK LEAVE & PENSION|1800287|351748
28860|INITIATION FEE|309|351748
28859|OTHER PAYABLES|1916|351748
28858|RENTAL DEPOSITS|6052|351748
28857|INTEREST PAYABLE|14970|351748
28856|INSURANCE & OTHER CONTRACTS|1428|351748
28855|AFSCME PEOPLE|9302|351748
28854|PAC FUND|5031|351748
28853|RSC|9617|351748
28852|MEDICAL, LIFE, MAF, CANCER, HMSA|33029|351748
28851|UNIT FUND|10714|351748
28850|STATE RETIREE|2392|351748
28849|DIVISION FUND|3243|351748
28848|ACCRUED INTEREST|3051|351748
28847|PAYROLL TAXES|1592|351748
28846|AFSCME PER CAPITA|130521|351748
21846|NONE|0|337274
22364|Accrued liabilities|109047|339078
22366|Unit Fund balances|3559|339078
22365|Deferred liabilities|110760|339078
21755|Payroll taxes payable|2988|337096
21756|Employee benefits|12336|337096
22315|Accrued Payroll Taxes|2075|338990
23931|Payroll Taxes Withheld|2002|345227
22661|LEGAL DEFENSE FUND - HEMET PD|3971|340152
22662|PAYROLL WITHHOLDINGS AND TAXES PAYABLE|2518|340152
23297|FICA - Social Security|368|343347
23301|City Withholding|377|343347
23300|State Withholding|191|343347
23299|Federal Withholding|959|343347
23298|FICA - Medicare|86|343347
27554|DEFERRED REVENUE|43519|350708
27556|DUE TO I.B.E.W. BUILDING CORP.|4000|350708
27555|CONTRACTOR JOB TARGETING|27720|350708
20930|UNREMITTED PAYROLL TAXES|1400|335074
20931|STATE BUSINESS TAXES PAYABLE|49|335074
20571|PAYROLL TAXES WITHHELD BUT NOT YET REMITTED|964|334726
20572|UNEMPLOYMENT TAXES PAYABLE|864|334726
27066|PAYROLL TAX LIABILITIES|981|350404
