OID|DESCRIPTION|AMOUNT|RPT_ID
136051|PAYROLL TAX DEDUCTIONS|483|710725
138822|PAYROLL LIABILITIES|1672|722137
138823|DUE TO OTHER LOCALS - TRAVELERS' WORK ASSESSMENT|3246|722137
136013|SECURITY DEPOSIT|94277|710696
136009|ACCRUED RENT|3747000|710696
136016|ACCRUED SALARIES|30|710696
136015|STALE DATED CHECKS TO BE INVESTIGATED|51590|710696
136014|ACCRUALS FOR PENSION RELATED ISSUES|446798|710696
136012|ACCRUED VACATION AND COMP TIME|128921|710696
136011|ACCRUED SEVERANCE AND SICK PAY|1234534|710696
136010|DEFERRED RENT|1756831|710696
141681|PER CAPITA TAX PAYABLE|120945|729334
141685|CAPITAL LEASE OBLIGATIONS|59284|729334
141684|OTHER CURRENT LIABILITIES|34703|729334
141683|LOCAL REBATES DUE|149657|729334
141682|DUE TO AFFILIATES|302790|729334
141745|n/a|0|729735
134802|CREDIT CARD PAYABLE|884|708135
134803|PAYROLL WITHHOLDINGS|720|708135
140690|PAYABLE TO AFFILIATED LOCAL UNIONS|49052|725396
140692|DEFERRED REVENUE - LABOR MGMT PARTNERSHIP TRUST|91240|725396
140691|SALARY & BENEFITS LIABILITY|371866|725396
134866|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|6540|708479
134867|DUE TO AFFILIATES FOR TRANSMITTAL TO THEM|58451|708479
135908|INTERNATIONAL DEATH BENEFITS PAYABLE|7000|710606
134926|Death Benefit Payable|154661|708665
134928|Credit Card Payable|9228|708665
134927|PAC Fund Payable|123846|708665
135987|Payroll Liabilities|720|710669
135988|Credit Card Liabilities|2076|710669
135484|PAYROLL WITHHOLDINGS WITHHELD BUT NOT DISBURSED|922|710173
135485|CREDIT CARD PAYABLE|524|710173
135140|PAYROLL LIABILITIES|901|709659
136265|CREDIT CARD PAYABLE|1045|711350
134843|PAYROLL WITHHOLDINGS WITHHELD BUT NOT DISBURSED|720|708282
136258|PAYROLL WITHHOLDINGS WITHHELD BUT NOT DISBURSED|2852|711276
136259|CREDIT CARD PAYABLE|495|711276
136219|Vacation deduction|743|711082
135691|Payroll Deductions and Related Accruals|6794|710418
135578|PAYROLL LIABILITIES|5099|710298
135579|VACATION FUND|37573|710298
136174|FUNDS RECD ON BEHALF OF MEMBERS, TO BE TRANSFERRED|9456|710887
135940|Accrued sick leave|57054|710632
135945|Retirement payable - Cowley|295099|710632
135944|Credit card payable|8345|710632
135943|Payroll taxes|329|710632
135942|Accrued vacation |60045|710632
135941|Accrued compenstory time|3825|710632
142164|Payroll Tax Liabilities|321|732578
136314|Reserved Fund Balance|397031|711665
142253|Accrued Vacation|246000|732886
142254|Per Capita Payable|230775|732886
141750|PAYROLL LIABILITIES|2233|729829
143798|SALES TAX COLLECTED BUT NOT REMITTED AT YEAR END |1492|737206
143799|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END |9798|737206
140970|Payroll Liabilities|6924|725927
140971|Accrued Vacation Leave|2429|725927
139524|Payroll Tax Withholding|647|723397
138915|Accrued payroll and related expenses|55688|722272
137677|State withholding|1807|719564
137679|State Unemployment|357|719564
137678|Federal Unemployment|156|719564
140155|Payroll withholding deductions|3458|724413
140158|Accrued PerCapita payable - International Office|0|724413
140157|Accrued pension contribution|0|724413
140156|Accrued rebates due affiliated locals|3403|724413
141406|TIP CONTRIBUTION LIABILITY|96|728069
137138|Federal Payroll Taxes Paid & Fwded|1866|716839
137143|City Taxes Pd & Fwded|42|716839
137142|Federal Unemployment|337|716839
137141|NJ State Unemployment|1108|716839
137140|NJ State Taxes Paid & Fwded|963|716839
137139|PA State Taxes Paid & Fwded|34|716839
143920|ACCRUED POST RETIREMENT BENEFIT|11217386|737747
143929|OTHER PAYABLES|22318|737747
143928|INTEREST PAYABLE|13685|737747
143927|EMPLOYEE TAXES|14442|737747
143926|PEOPLE & MEMBER CONTACT PROGRAM PAYABLE|14457|737747
143925|RENTAL DEPOSITS|4162|737747
143924|MEDICAL & INSURANCE PAYABLE|37963|737747
143923|PAYROLL DEDUCTION PAYABLE|39762|737747
143922|AFSCME PER CAPITA|143798|737747
143921|ACCRUED VACATION & SICK LEAVE|1777036|737747
136719|PAYROLL WITHHOLDINGS |5381|713094
136721|UNEARNED DUES (DUES COLLECTED IN ADVANCE)|92307|713094
136720|ACCRUED VACATION|65619|713094
136301|Employee benefits|20798|711559
136498|Accrued expenses - auto allowance|278|712384
136537|Payroll Tax and Deductions Payable|2781|712618
136687|PAYROLL TAXES AND WITHHOLDING PAYABLE|2738|713032
136993|Accrued Payroll Taxes|2980|715558
140162|Federal Income Taxes Forward|210|724460
140169|Unemployment Taxes State|5|724460
140168|Unemployment Taxes Federal|10|724460
140167|Employer OASDI and HI|171|724460
140166|Local Income Taxes Forward|2|724460
140165|City Income Taxes Forward|2|724460
140164|State Income Taxes Forward|137|724460
140163|Employee OASDI  and HI Forward|171|724460
139221|PAID ON BEHALF OF MEMBERS|33036|723013
135045|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|7497|709411
137415|PAYROLL LIABILITIES|8546|718584
140962|Payroll withholdings|224|725917
136744|DUE TO NATIONAL|170265|713160
136745|DUE TO CWA 1109 PENSION FUND|9229|713160
135109|Accrued Payroll Taxes|4554|709616
134399|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT|0|705279
134400|YET DISBURSED BY THE END OF THE REPORTING PERIOD. |21|705279
138815|PAYROLL TAXES PAYABLE|1307|722109
141667|Union Dues withheld paid following year|3796|729323
141668|Withholding Taxes paid following year|925|729323
137475|UNREMITTED TAXES|4441|718955
136106|VARIOUS OTHER LIABILITIES|90541|710764
140977|UNREMITTED TAXES|1824|725957
142289|Federal Payroll Taxes Paid & Fwded|213|733235
142292|State Unemployment Tax|53|733235
142291|State Taxes Pd & Fwded|345|733235
142290|Federal Unemployment Tax|231|733235
139471|Federal Income Taxes (941) Forward|282|723340
139477|Unemployment Taxes State|70|723340
139476|FICA Employer OASDI and HI (941)|244|723340
139475|Local Income Taxes Forward|47|723340
139474|City Income Taxes Forward|82|723340
139473|State Income Taxes Forward|129|723340
139472|FICA-Employee OASDI and HI Forward|244|723340
136795|Accrued Payroll and Liabilities|478|713218
136796|Credit Card|149|713218
140562|SEVERANCE LIABILITY|703396|725250
140563|STRIKE BENEFITS PAYABLE|50290|725250
136432|ACCRUED PERSONNEL COSTS|911767|712123
136442|RETIREE MEDICAL ACCRUAL|287490567|712123
136441|DEFERRED RENTAL LIABILITY|388578|712123
136440|SECURITY DEPOSITS|40700|712123
136439|ACCRUED PENSIONS|348870122|712123
136438|VACATION AND SICK ACCRUAL|11715694|712123
136437|LSA EDUCATIONAL LEAVE|242227|712123
136436|DEFERRED COMPENSATION - 457B|1115782|712123
136435|DEFERRED RENTAL INCOME|1549|712123
136434|RESERVE FOR MEDICAL CLAIMS|873000|712123
136433|DEFERRED INCOME|577343|712123
136802|Payroll Withholdings|2255|713226
136804|Assessment Payable - RMELC|1055|713226
136803|Credit Cards Payable|651|713226
137008|N/A|0|715705
139067|Payroll Withholdings|1776|722615
138149|Payroll liabilities|4302|720725
135910|Accrued vacation|617383|710608
135915|Other withholdings|39275|710608
135914|Post retirement costs payable|69281276|710608
135913|Severance payable|2206222|710608
135912|Fair share objectors payable|586|710608
135911|Deferred income|51764|710608
139463|Payroll Liabilities|377|723332
140599|Federal Income Taxes (941) Forward|1286|725305
140600|Unemployment Taxes Federal (940)|339|725305
136547|Accrued payroll taxes|2208|712658
139193|Payroll Liabilities|904|722945
141072|ACCRUED AND WITHHELD TAXES|7036|726231
137876|Payroll withholding taxes|402|720175
137877|Fringe benefits payable|6838|720175
141022|Payroll Taxes|5264|726107
141023|Credit Card|189|726107
136986|Payroll tax payable|1030|715414
140171|CREDIT CARD LIABILITIES|1552|724496
140172|SALES TAX PAYABLE|137|724496
142617|REAL ESTATE TAX 2019|12000|735371
136948|WITHOLDING PAYABLE|5244|714678
138969|PAYROLL TAXES PAYABLE|923|722381
140990|paychecks issued, but not yet cashed|758|725983
137317|FUNDS HELD FOR THE BENEFIT OF OTHERS -SCHOLARSHIP |27373|717911
140339|PR TAXES PAYABLE|2023|724921
137861|PAYROLL LIABILITIES|5596|720143
139268|Payroll liabilities|3573|723075
139270|Due to scholarship fund|1095|723075
139269|Officers accrued leave payable|114278|723075
139198|PAYROLL LIABILITIES|4329|722955
139956|Payroll Liabilities|3303|723984
134512|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|3215|706252
141148|CREDIT CARD|2951|726695
141149|PAYROLL LIABILITIES|8942|726695
137453|AMERICAN EXPRESS PAYABLE|1526|718829
137456|SALES TAX PAYABLE|132|718829
