OID|INV_TYPE|NAME|AMOUNT|RPT_ID
342145|703|Marketable Securities Total Cost|888137|722137
342146|704|Marketable Securities Total BookValue|878536|722137
342147|701|EATON VANCE FLOATING RATE FUND|60281|722137
342148|701|JANUS FLEXIBLE BOND FUND|65504|722137
342149|701|LOOMIS SAYLES FUNDS II INVESTMENT GRADE BOND FUND|115860|722137
342150|701|PIMCO FUNDS PAC INVESTMENT MANAGEMENT SER GNM|65959|722137
342151|701|VANGUARD CORE BOND FUND|82721|722137
342152|701|VANGUARD INTERMEDIATE TERM GVT BOND INDEX FUND ADM|81989|722137
342153|701|GATEWAY FUND CLASS Y|54934|722137
342154|701|EATON VANCE MULTIASSET CR FUND |49692|722137
342155|701|LORD ABBET INVESTMENT COVERTIBLE FUND CLASS A|54375|722137
342156|701|NATIXIS LOOMIS SAYLES HIGH INC|56984|722137
342157|705|Other Investments Total Cost||722137
342158|706|Other Investments Total Book Value||722137
333774|703|Marketable Securities Total Cost||710696
333775|704|Marketable Securities Total BookValue||710696
333776|705|Other Investments Total Cost||710696
333777|706|Other Investments Total Book Value||710696
350884|703|Marketable Securities Total Cost|0|729735
350885|704|Marketable Securities Total BookValue|0|729735
350886|705|Other Investments Total Cost|0|729735
350887|706|Other Investments Total Book Value|0|729735
332436|703|Marketable Securities Total Cost||710241
332437|704|Marketable Securities Total BookValue||710241
332438|705|Other Investments Total Cost||710241
332439|706|Other Investments Total Book Value||710241
331682|703|Marketable Securities Total Cost||709953
331683|704|Marketable Securities Total BookValue||709953
331684|705|Other Investments Total Cost||709953
331685|706|Other Investments Total Book Value||709953
348067|703|Marketable Securities Total Cost|0|725396
348068|704|Marketable Securities Total BookValue|0|725396
348069|705|Other Investments Total Cost|0|725396
348070|706|Other Investments Total Book Value|0|725396
330264|705|Other Investments Total Cost|0|708479
330261|704|Marketable Securities Total BookValue|1037273|708479
330262|701|VANGUARD BOND INDEX FUND INC|515958|708479
330263|701|VANGUARD FIXED INCOME SECURITIES FUND|521315|708479
330265|706|Other Investments Total Book Value|0|708479
330266|702|NONE|0|708479
330260|703|Marketable Securities Total Cost|1037273|708479
330449|703|Marketable Securities Total Cost|514809|708665
330450|704|Marketable Securities Total BookValue|514809|708665
