OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
278763|2101|ACTIVE|294|T|722137
278764|2101|APPRENTICE|43|F|722137
278765|2101|RETIRED|129|T|722137
278766|2101|LIFETIME|86|T|722137
284679|2101|REGULAR MEMBERS - FULL|356|T|730415
284680|2102|Agency Fee Payers|28|F|730415
273351|2101|Active|23854|T|710696
273352|2101|Retiree|2262|F|710696
273353|2102|Agency Fee Payers|3|F|710696
284212|2101|GENERAL FT MEMBERS|18502|T|729334
284213|2101|PART TIME MEMBERS|1012|T|729334
285515|2102|Agency Fee Payers|0|F|733566
285514|2101|IBEW Michigan Local Unions|18|T|733566
284338|2101|active|13|T|729735
286063|2101|Active Carriers|2278|T|734889
286064|2101|Retired Carriers|488|T|734889
281963|2101|Full Time Members|83|T|725021
272172|2101|Journeymen|1339|T|710241
272173|2101|Retired|65|T|710241
272174|2101|Apprentice|247|T|710241
272175|2101|Honorary|124|T|710241
272176|2101|Pre-apprentice|11|T|710241
272177|2101|Early retire|34|T|710241
270219|2101|JOURNEYMEN|677|T|708135
270220|2101|APPRENTICE|123|T|708135
270221|2101|RETIRED|85|T|708135
270222|2101|DISABLED|30|T|708135
270223|2101|HONORARY|78|T|708135
270224|2101|ARREARS|125|F|708135
271505|2101|Members - Regular|1287|T|709953
271506|2101|Members - Apprentice|125|T|709953
271507|2101|Members - Retired|288|T|709953
283378|2101|Regular Members|2717|T|727280
282406|2102|Agency Fee Payers|0|F|725396
270333|2101|LOCAL UNIONS|19|T|708479
270334|2102|Agency Fee Payers|0|F|708479
273085|2101|JOURNEYMEN|1913|T|710606
273086|2101|PENSIONERS|239|F|710606
273087|2102|Agency Fee Payers|0|F|710606
270433|2101|Journeyman|1019|T|708665
270434|2101|Apprentices|288|F|708665
270435|2101|Retirees|123|T|708665
270436|2102|Agency Fee Payers|0|F|708665
274417|2101|REGULAR MEMBERS|1008|T|712547
274418|2102|Agency Fee Payers|26|F|712547
