OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|GROSS_SALES_PRICE|AMOUNT_RECD|RPT_ID
110024||MUTUAL FUNDS|170382|174000|174000|174000|722137
112129||n/a|0|0|0|0|729735
107534||INVESTMENTS - MUTUAL FUND|15|15|15|15|708479
107719||FHLMC 5.5%|18326|18326|18326|18326|709656
107730||TRansfer Application of Rent to Zero Interest Note|364511|364511|364511|364511|709656
107729||US Treasury Note 12/18/18|139756|139756|140000|140000|709656
107728||US Treasury Note 4/30/19|224653|224653|225000|225000|709656
107727||US Treasury Note 12/15/18|59816|59766|60000|60000|709656
107726||US Treasury Note 5/31/19|174334|173688|175000|175000|709656
107725||GNMA 8/20/38 5%|200|200|200|200|709656
107724||GNMA II 7/20/38 6%|528|528|528|528|709656
107723||GMMA II 6/20/24 4.5%|1400|1400|1400|1400|709656
107722||GNMA II 12/20/2040 5%|1198|1198|1198|1198|709656
107721||FNMA PL 5% Due 10/1/19|3663|3663|3663|3663|709656
107720||FNMA PL 6%|773|773|773|773|709656
108210||None|0|0|0|0|710418
108100||2018 CHEVY TRAVERSE|37211|27288|12500|12500|710298
112471||CD Redemption|25000|25000|25000|25000|732578
113971||US TREASURY SECURITIES|394077|394077|396942|396942|737206
113975||EXCHANGE TRADED FUNDS|335583|335584|336630|336630|737206
113974||CORPORATE STOCK|1289629|1335215|1468914|1468914|737206
113973||MUTUAL FUNDS|211671|211671|218729|218729|737206
113972||CORPORATE BONDS|1400863|1383285|1411529|1411529|737206
110087||2017 Chevrolet Equinox|19570|9133|9000|0|722272
110092||Land - Forest Park, GA|52500|52500|43926|43926|722272
110091||Buildings - Forest Park. GA|301668|130874|248914|248914|722272
110090||2018 Chevrolet Equinox|20500|14691|12000|0|722272
110089||2018 Chevrolet Equinox|22000|13567|11000|0|722272
110088||2017 Chevrolet Malibu|16000|10933|11000|0|722272
111180||FNMA Principal payments received|9421|9421|9421|9421|724413
111181||Sale of 7 Automobiles|185380|6097|19431|19431|724413
110722||2009Chevrolet Impala|9464|1419|3799|3799|723469
110723||2007 Chevrolet Equinox|20619|0|600|600|723469
114075||MARKETABLE SECURITIES|720725|788755|788755|788755|737747
108854||2016 FORD FUSION|12859|12859|17645|17645|713065
108780||Sale of Investments|1101010|1101010|1101522|1101522|712618
112633||Vanguard Funds|240005|240005|240005|240005|732716
111186||1/5 Ownership Building at same address|82207|82207|0|0|724460
111185||1/5 Land 1440 Bellefontaine Ave. Lima,Oh|20073|20073|0|0|724460
110313||WRITE OFF OF EQUIPMENT|8496|0|0|0|722521
107656||VEHICLE - 2013 CHEVY MALIBU|25935|25935|8250|8250|709370
107657||VEHICLE - 2013 CHEVROLET MALIVU|18656|18656|8250|8250|709370
107663||MUTUAL FUNDS|58143|52169|52677|52677|709411
109233||MUTUAL FUNDS|2086|2086|2062|2062|718584
109234||OFFICE EQUIPMENT|6257|380|0|0|718584
107062||MARKETABLE SECURITIES|50000|50000|50000|50000|706292
107707||Investments|93202|932032|980907|980907|709616
112350||Certificates of Deposit|31581|31581|31581|31581|732055
110261||Transfer of CD value from Investments to Cash|357983|357983|357983|357983|722357
