OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
231239|2101|ACTIVE|336|T|639058
231240|2101|APPRENTICES|35|F|639058
231241|2101|RETIRED|140|T|639058
231242|2101|LIFE MEMBERS|65|T|639058
231243|2102|Agency Fee Payers|0|F|639058
254626|2101|IBEW MI Local Unions|21|T|680085
237656|2101|Active Carriers|2351|T|647189
237657|2101|Retired Carriers|744|T|647189
221671|2101|LOCAL UNIONS|21|T|625387
221672|2102|Agency Fee Payers|0|F|625387
229401|2101|Journeymen|985|T|637427
229402|2101|Apprentices|208|F|637427
229403|2101|Retirees|68|T|637427
229404|2102|Agency Fee Payers|0|F|637427
222935|2101|Building trades|846|T|626891
222936|2101|Production Workers|294|T|626891
222937|2101|Reitred Members|253|T|626891
222938|2101|Members on Withdrawl|30|F|626891
225047|2101|Relief Members|1182|T|627622
225048|2101|Retired Members|476|T|627622
225049|2101|Associate Members|10|F|627622
225050|2101|Retired Associate Members|0|F|627622
225046|2101|Regular Members|1678|T|627622
229543|2101|CLASS A MEMBERSHIP|214|T|637564
229544|2101|CLASS BA MEMBERSHIP|17|T|637564
229172|2102|Agency Fee Payers|0|F|637021
239196|2101|MEMBERS|2150|T|654215
240138|2101|"A" Members|299|T|655681
240139|2101|"BA" Members|11|T|655681
232771|2101|Apprentice|170|T|640391
232772|2101|Industrial|307|T|640391
232773|2101|Life|136|T|640391
232774|2101|Regular|980|T|640391
232775|2102|Agency Fee Payers|0|F|640391
227952|2101|Regular members|900|T|634488
227953|2102|Agency Fee Payers|0|F|634488
234058|2101|Regular members|16597|T|641409
234059|2102|Agency Fee Payers|1073|F|641409
236823|2101|ACTIVE FULL TIME MEMBERS|7395|T|643451
236824|2101|ACTIVE PART TIME MEMBERS|2801|T|643451
229679|2101|Regular Members|1051|T|637725
229680|2102|Agency Fee Payers|1|F|637725
230686|2101|"A" Member|2|T|638640
230687|2101|"BA" Member|1400|F|638640
230688|2102|Agency Fee Payers|9|F|638640
229491|2101|Clerical members (active, dues-paying)|10|T|637528
229492|2101|Operations & mechanical members (active, dues-paying)|640|T|637528
228499|2101|REGULAR MEMBERS|48441|T|635658
228500|2102|Agency Fee Payers|0|F|635658
230927|2101|FULL TIME|10882|T|638748
230928|2101|PART TIME|625|T|638748
230929|2101|RETIREE|1800|F|638748
230930|2101|ASSOCIATE|16|F|638748
230931|2102|Agency Fee Payers|1009|F|638748
226886|2101|"A"|56|T|630530
226887|2101|"BA"|654|T|630530
226888|2102|Agency Fee Payers|12|F|630530
226847|2101|GENERAL MEMBERSHIP|2515|T|630497
225652|2101|Active members with all rights|483|T|628260
225653|2101|Members on LTD|13|F|628260
225654|2101|Members not sworn in|22|F|628260
226462|2101|General Membership|377|T|630009
226463|2102|Agency Fee Payers|0|F|630009
226716|2101|Full Dues Paying Members|893|T|630338
226717|2102|Agency Fee Payers|0|F|630338
233856|2101|Active Members|712|T|641199
233857|2102|Agency Fee Payers|0|F|641199
226853|2101|REGULAR MEMBERS|1869|T|630503
226854|2101|RETIRED MEMBERS|3|T|630503
226855|2102|Agency Fee Payers|86|F|630503
238138|2101|Active Members|282|T|648824
238139|2102|Agency Fee Payers|0|F|648824
228121|2101|Regular Members|428|T|634801
228122|2102|Agency Fee Payers|0|F|634801
236828|2101|JOURNEYMAN|342|T|643457
236829|2101|APPRENTICE|42|T|643457
236830|2101|CONSTRUCTION ELECTRICIAN CONSTRUCTION WIREMAN|244|T|643457
236831|2101|PRE-APPRENTICE|14|F|643457
224107|2101|JOURNEYMEN|250|T|627288
224108|2101|APPRENTICES|21|T|627288
224109|2101|LIFE MEMBERS|30|T|627288
224110|2101|RETIREES|72|T|627288
224111|2102|Agency Fee Payers|0|F|627288
