OID|DESCRIPTION|AMOUNT|RPT_ID
114859|Payroll Liabilities|4312|639058
114860|Due to Related Funds|3595|639058
118628|Payroll Liabilties|2149|647189
110342|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|4332|625387
110343|DUE TO AFFILIATES FOR TRANSMITTAL TO THEM|203204|625387
114084|Death Benefits Payable|141851|637427
114086|Credit Card Payable|2076|637427
114085|PAC Funds Payable|80954|637427
110870|Payroll Tax Liabilities|4998|626891
111827|Payroll deductions and related accruals|3699|627622
114145|PAYROLL LIABILITIES|1054|637564
113951|Accrued Vacation|3070|637021
113952|Payroll Liabilities|3712|637021
119762|Payroll Tax Withholdings|3742|655681
119763|Savings Withholdings|400|655681
115791|Due to PATCH Fund|100|640391
113300|STATE OF MI TAX|124|634488
113302|MESC|203|634488
113301|UNEMPLOYMENT FED|176|634488
116457|Payroll withholding deductions|23180|641409
116460|Accrued Per capita payable - International Office|1306671|641409
116459|Accrued pension contribution|45716|641409
116458|Accrued rebates due affiliated locals|2570|641409
118154|TIP CONTRIBUTION LIABILITY|51|643451
114229|Federal Taxes Paid and Fwded|5897|637725
114231|State Tax Pd & Fwded|86|637725
114230|City Tax Pd & Fwded|37|637725
114689|ACCRUED POST RETIREMENT BENEFIT|6167663|638748
114699|INITIATION FEES|153|638748
114698|EMPLOYEE TAXES|14443|638748
114697|ACCRUED INTEREST|6194|638748
114696|RENTAL DEPOSITS|4162|638748
114695|MEMBER CONTACT PROGRAM|3775|638748
114694|MEDICAL PAYABLE|32807|638748
114693|INSURANCE PAYABLE|11396|638748
114692|PAYROLL DEDUCTION PAYABLE|36490|638748
114691|AFSCME PER CAPITA|158776|638748
114690|ACCRUED VACATION AND SICK LEAVE|1387987|638748
112782|ACCRUED VACATION & SEVERANCE|23854|630530
112786|UNION CREDIT CARD |18|630530
112785|PAYROLL LIABILITIES|3386|630530
112784|DEFERRED INCOME (DUES PAID IN ADVANCE)|95804|630530
112783|UNIT FUNDS|2873|630530
112098|Employee benefits|28563|628260
112449|Payroll taxes payable|495|630009
116385|Total Liabilities -  Unite Here International|12804|641199
112732|PAYROLL TAXES AND WITHHOLDINGS PAYABLE|2501|630503
118841|Accrued Payroll Taxes|2202|648824
113342|Federal tax forward 941|355|634801
113346|Quarterly City Taxes|34|634801
113345|Quarterly School Taxes|20|634801
113344|Quarterly State Unemployment|16|634801
113343|Quarterly State taxes|220|634801
118156|DEFERRED REVENUE|42941|643457
110796|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|1695|626843
117057|PAYROLL LIABILITIES|10182|642146
110088|Escrow|464|623802
114021|Payroll withholdings|261|637201
121166|NONE|0|657336
112693|DUE TO NATIONAL|84554|630414
112694|DUE TO CWA 1109 PENSION FUND|19118|630414
110521|Accrued Payroll Taxes|1716|626398
109898|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT|0|621698
109899|YET DISBURSED BY THE END OF THE REPORTING PERIOD.|22|621698
115647|PAYROLL TAXES PAYABLE|1908|640091
115189|Accrued vacation payable|138582|639406
115190|Union dues payable|136100|639406
118638|Federal Unemployment Tax (940)|125|647334
118640|State Unemployment Tax|4|647334
118639|Federal Taxes Paid and Fwded|1575|647334
113658|Federal Income Tax 941|278|636167
113664|Unemployment State Tax|99|636167
113663|Unemployment 940 Federal|317|636167
113662|FICA 941|192|636167
113661|City Tax|330|636167
113660|State Tax|197|636167
113659|FICA|192|636167
112898|Accrued Payroll and Liabilities|4036|630602
112899|Credit Card|1051|630602
112363|ACCRUED PERSONNEL COSTS|656014|629655
112373|SECURITY DEPOSITS|38750|629655
112372|ACCRUED PENSIONS|288027142|629655
112371|RETIREE MEDICAL ACCRUAL|215457668|629655
112370|VACATION AND SICK ACCRUAL|12163847|629655
112369|LSA EDUCATION LEAVE|107653|629655
112368|PSA EDUCATION LEAVE|71706|629655
112367|DEFERRED COMPENSATION - 457B|1049788|629655
112366|DEFERRED RENTAL INCOME|922151|629655
112365|RESERVE FOR MEDICAL CLAIMS|597000|629655
112364|DEFERRED INCOME|660102|629655
112658|Payroll Withholdings|11696|630353
112660|Assessment Payable - RMELC|1384|630353
112659|Credit Cards Payable|2838|630353
115077|Payroll Withholdings|6619|639265
111891|Accrued vacation|581270|627674
111895|Post retirement benefit obligations|60525423|627674
111894|Severance payable|2237445|627674
111893|Due to broker for pending trades|4989|627674
111892|Fair share objectors payable|586|627674
116410|Payroll Liabilities|46|641244
112668|Accrued payroll taxes|1832|630379
114525|Employee Withholdings|1266|638466
117042|Payroll Liabilities|601|642114
116668|ACCRUED AND WITHHELD TAXES|9407|641625
113909|Payroll withholding taxes|401|636911
113912|Accrued payroll taxes|126|636911
113911|Employee vacation and union dues withheld|1534|636911
113910|Accrued fringe benefits payable|6485|636911
119556|Payroll taxes|2875|654822
113405|Payroll Taxes payable|2131|635212
118331|CREDIT CARD LIABILITIES|694|643706
118334|RENTAL CUSTOMER SECURITY DEPOSIT|400|643706
118333|SALES TAX LIABILITIES|53|643706
118332|PAYROLL TAX LIABILITIES|1284|643706
118629|REAL ESTATE TAX 2016|12000|647198
113299|WITHOLDING PAYABLES|2171|634485
116705|PAYROLL TAXES PAYABLE|889|641698
116706|UNION DUES PAYABLE|63|641698
118320|Overpayment of Union dues for 3 members|2009|643680
116135|ACCRUED LEAVE PAYABLE|3446|640905
116136|ACCRUED SICK PAYABLE|1722|640905
118716|Funds Held for Others - Scholarship|31373|647836
117100|PR TAXES PAYABLE|2341|642195
117764|Payroll Tax Liability|6805|643078
114136|Payroll liabilities|2320|637549
114139|Due to scholarship fund|1002|637549
114138|Pass through arbitration award|8136|637549
114137|Officers accrued leave payable|134095|637549
114584|Vacation and Sick Payable|24116|638598
114585|Payroll Liabilities|2821|638598
118792|NONE|0|648587
118532|CREDIT CARDS|3128|645439
118534|SECURITY DEPOSIT|1495|645439
118533|PAYROLL WITHHOLDINGS|12123|645439
113956|American Express Payable|1774|637033
113959|Sales Tax Payable|120|637033
113958|Retirement W/H Liability|376|637033
113957|Payroll Taxes Payable|204|637033
114087|ACCRUED PAYROLL TAXES AND WITHHOLDINGS|2069|637428
114896|PAYROLL LIABILITIES|29684|639123
113045|International Union UAW|150949|632493
113052|State Unemployment Taxes|816|632493
113051|Federal Unemployment Taxes|120|632493
113050|Illinois Income Taxes|153|632493
113049|FICA Taxes|621|632493
113048|Federal Income Taxes|2227|632493
113047|Region 4 IPS Council|2580|632493
113046|Illinois State CAP Council|22167|632493
116356|None|0|641158
113654|PAYROLL LIABILITIES|6615|636149
115997|UNCLAIMED FUNDS|1777|640651
114755|None|0|638881
118636|SECURITY DEPOSIT|3964|647320
118637|PAYROLL TAXES PAYABLE|10396|647320
111770|PAYROLL TAXES AND WITHHOLDINGS|5172|627528
114279|Payroll/COLCPE/TSP Payables|877|637897
115391|FEDERAL WITHHOLDING PAYABLE|2529|639729
115394|STATE WITHHOLDING PAYABLE|692|639729
115393|SOCIAL SECURITY PAYABLE|2636|639729
115392|MEDICARE PAYABLE|617|639729
114398|Rent Deposit|1400|638174
114400|Accrued Delegate Fund|4816|638174
114399|Payroll Taxes|6005|638174
114074|Accrued and withheld payroll taxes|4303|637412
114250|Accrued Payroll Taxes|409|637823
114546|Payroll Withholdings|12549|638542
114547|MDA Funds|1112|638542
114450|PAYROLL TAXES WITHHELD AND ACCRUED|3351|638253
114452|RENT REC'D IN ADVANCE|6251|638253
114451|SICK AND ANNUAL LEAVE PAYABLE|13894|638253
116867|NONE|0|641957
115869|DUE TO MDA|127|640488
115870|DUE TO STATE OF FLORIDA|2317|640488
115683|Sick Leave Benefits Payable|18012|640148
115685|Prepaid Rent|1200|640148
115684|Damage Deposits|2100|640148
117030|Payroll Deductions Payable|4196|642094
117803|Employer Payroll Taxes|1238|643133
117804|Employee Taxes Withheld|4280|643133
114534|PAYROLL WITHHOLDING LIABILITIES|2268|638498
119420|PAYROLL TAXES|5362|654236
119422|KEY DEPOSIT PAYABLE|130|654236
119421|DUE TO MDA|3544|654236
118935|STATE WITHHOLDINGS|440|649436
114461|PAYROLL LIABILITIES|171|638292
117407|PAYROLL TAXES WITHHELD|1066|642523
114488|WITHHELD PAYROLL TAX|1761|638344
114489|OTHER PAYROLL TAX |2546|638344
113220|Payroll Taxes|6388|634088
115434|PAYROLL|5631|639826
115436|REAL ESTATE|6899|639826
115435|PAYROLL TAXES|2019|639826
121473|PAYROLL TAXES PAYABLE|9513|658535
113861|Federal Taxes Fwd|1185|636822
113864|State Unemployment Taxes|9|636822
113863|Federal Unemployment Taxes|100|636822
113862|State Taxes Fwd|279|636822
118838|Payroll Taxes |4386|648789
117597|N/A|0|642893
117608|N/A|0|642893
117607|N/A|0|642893
117606|N/A|0|642893
117605|N/A|0|642893
117604|N/A|0|642893
117603|N/A|0|642893
117602|N/A|0|642893
117601|N/A|0|642893
117600|N/A|0|642893
117599|N/A|0|642893
117598|N/A|0|642893
116424|PAYROLL LIABILITIES|1763|641278
113720|Payroll Liabilities|4789|636333
113065|PAYROLL TAXES|1078|632834
117167|LONG PORTION OF OBLIGATION UNDER CAPITAL LEASE|16205|642269
115956|Federal form 941 tax payable|2127|640598
115960|Federal unemployment tax payable|36|640598
115959|State unemployment tax payable|89|640598
115958|City withholding tax payable|699|640598
115957|Ohio withholding tax payalbe|712|640598
118695|Accrued salaries and vacation pay|90683|647697
118699|Deferred revenues|1570798|647697
118698|Deferred compensation|199406|647697
118697|Accrued interest|3591|647697
118696|Accrued payroll taxes|9642|647697
110441|Payroll Liabilities|2971|626066
111872|Payroll taxes payable|4583|627655
110597|PAYROLL TAX LIABILITY|0|626549
111179|Payroll Liabilities|788|627121
119543|PAYROLL TAXES|15576|654752
111690|Federal Withholding|115|627431
111694|Federal Unemployment|105|627431
111693|Michigan Unemployment|170|627431
111692|Michigan Withholding|407|627431
111691|FICA|489|627431
110557|GA DOL|3|626454
110552|Federal Tax W/H|2041|626454
110556|FUTA|44|626454
110555|State Tax|781|626454
110554|Medicare Company & Employee|344|626454
110553|Social Sec. Company & Employee|1472|626454
111581|PAYROLL LIABBILITIES|4780|627296
111424|PAYROLL LIABILTIES|3415|627204
111425|EMPLOYEE BENEFITS|896|627204
110596|MISCELLANEOUS PAYROLL WITHHOLDINGS|6729|626547
110561|Accrued payroll liabilities|6621|626465
110974|ACCRUED EXPENSES|20150|626966
110402|Payroll Tax Liabilities|526|625870
110805|Department of Treasury - payroll liabilities|3300|626845
110806|APCU Visa - Union credit card liability|13001|626845
110388|PAYROLL LIABILITIES|3628|625720
110389|ACCRUED VACATION AND SICK LEAVE|7046|625720
110523|Payroll Liabilities of Accured Sick Leave|20454|626401
110524|Payroll Liabilities |4091|626401
115328|ACCRUED PENSION CONTRIBUTIONS|2863|639649
115329|ACCRUED SALARIES|20136|639649
117021|BENEFITS DUE TO NATIONAL FOR PRESIDENT|1048|642081
117022|DUE TO PRESIDENT FOR LIFE INS. PREMIUMS WITHHELD|142|642081
117708|VISA Payable|5856|643010
117710|Security Deposits|2510|643010
117709|Payroll Tax Liability|195|643010
116085|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|2661|640801
109906|ACCRUED PAYROLL TAXES|6376|621762
117662|Payroll taxes withheld and payable|5499|642980
117661|Excess payroll deductions owed to employees|3371|642980
117663|Other payroll deductions withheld and payable|20|642980
114173|TAXES PAYABLE|902|637624
114174|UNFUNDED DEFERRED EXPENSES- CARRYOVER ANNUAL LEAVE|91848|637624
113830|Credit card|61|636755
115271|Payroll Taxes Withheld|5460|639577
115272|Credit Cards |6498|639577
114353|Accrued Leave - Liability|39247|638010
113856|ACCRUED LIABILITIES|4536|636807
113857|ACCRUED PAYROLL|16397|636807
117555|Accrued Compensated Balances|27743|642782
117553|Credit Cards|3077|642782
117554|Security Deposits Payable|1861|642782
117556|Payroll Liabilities|113|642782
117434|WELLS FARGO CREDIT CARD|12239|642599
117435|PAYROLL LIABILITIES|25|642599
120161|PAYROLL WITHHOLDINGS|14773|656030
120163|ACCRUED PAYROLL TAX EXPENSES|55|656030
120162|CREDIT CARD PAYABLE|5893|656030
117160|ACCRUED LEAVE PAYABLE|53459|642264
117161|ACCRUED SICK PAYABLE|42436|642264
117665|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|3102|642982
115735|Payroll Taxes Withheld|2365|640232
118997|Federal Payroll Tax Liabilities|6027|649905
119000|Penalties|15953|649905
118999|LIUNA Pension Fund|5194|649905
118998|Income Taxes Payable 990-T|15157|649905
116578|Payroll Liabilities|6153|641484
117011|PAYROLL TAXES PAYABLE|53|642075
117012|IRA PAYABLE|600|642075
118989|PAYROLL TAXES WITHHELD|6956|649816
118128|INCURRED BUT NOT REPORTED HEALTH CLAIMS|584200|643437
118138|UNION MONIES IN ESCROW|83836|643437
118137|ACCRUED PENSION|27247758|643437
118136|ACCRUED POSTRETIREMENT BENEFIT OBLIGATION|40596406|643437
118135|DEFERRED REVENUE|1417650|643437
118134|PAYROLL WITHHOLDINGS|66791|643437
118133|ACCRUED VACATION|1931495|643437
118132|EMPLOYER'S 401K MATCH CONTRIBUTION  PAYABLE|76875|643437
118131|EMPLOYER'S PAYROLL TAX PAYABLE|137780|643437
118130|ACCRUED SALARIES|1882075|643437
118129|DUES OVERPAYMENT ESCROW|293594|643437
113117|MEMBERSHIP DUES RECIEVED IN ADVANCE|21540|633391
113114|ACCRUED SALARY AND VACATION|2132602|633391
113116|PREMIUMS PAYABLE TO INSURANCE UNDERWRITERS|3189|633391
113115|PAYABLE TO CHAPTERS|445909|633391
113122|PAYROLL TAXES AND OTHER PAYROLL LIABILITIES|161655|633391
113121|ACCRUED EXPENSES|254445|633391
113120|DEFERRED COMPENSATION|1265255|633391
113119|LONG TERM PORTION OF DEFERRED GAINS|6243129|633391
113118|DEFERRED RENT INCENTIVES|673284|633391
121827|EMPLOYEE ADVANCES|2799|659342
111455|Payroll taxes|1332|627229
111456|Deferred Revenue from Theft Loss Recovery|3850|627229
117162|N/A|0|642266
121507|Payroll Liabilities|5783|658650
119079|Payroll Liabilities |5368|650315
114829|FEDERAL PAYROLL TAXES|1471|639017
114830|STATE PAYROLL TAXES|1472|639017
116113|0|0|640848
116669|Payroll Liabilities|2565|641627
110066|PAYROLL LIABILITIES|18064|622485
110067|CREDIT CARD PAYABLES|13110|622485
119560|Per Capita Taxes due to AFGE National |22369|654828
115719|PAYROLL TAXES|3194|640194
