OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|GROSS_SALES_PRICE|AMOUNT_RECD|RPT_ID
42380||MARKETABLE SECURITY|100000|100000|100000|100000|414021
37813||AMALGAMATED BANK OF CHICAGO COMMON INVESTMENT TRUS|29819|29819|30000|30000|401566
39697||FED HOME LN BANK 3.75% NOTE|54066|55000|55000|55000|403243
39699||UNION TANK CAR C 7.45% NOTE|51843|50000|50000|50000|403243
39698||GEN ELECTRIC 5.875% NOTE|50828|51321|51321|51321|403243
40628||AUTO - BUICK|23422|3702|1500|1500|403991
43863||Ford Taurus|24679|0|3000|3000|418236
46056||Amalgamated Bk of NY
Common Stk-3,402 Shs-Class A|40382|40382|1000000|1000000|419658
46059||Automobiles
Sold in Yr-2009|300777|93525|93525|93525|419658
46058||FNMA
Principal Received|4680|4680|4680|4680|419658
46057||ALICARE ACS
Preferred Stk-22.041701 Shs|200000|200000|200000|200000|419658
46543||N/A|0|0|0|0|420155
47387||MARKETABLE SECURITIES|538018|404932|404932|404932|429204
38681||NONE|0|0|0|0|403012
41268||Mutual Fund|56752|56752|50187|50187|407795
41160||EQUITY AND FIXED INCOME SECURITIES|1415708|1415708|1447990|1447990|407432
50877||Northern Trust - US Treasury Notes|201578|200000|200000|200000|441272
50878||Northern Trust - Corporate Bonds|100000|100000|100000|100000|441272
41828||2002 Mercury Grand Marquis|23503|0|0|0|409953
40306||SALE OF MUTUAL FUND - AMERICAN CAPITAL WORLD G&I|9147|9147|7500|7500|403762
40313||MONEY MARKET FUND|1500|1500|1500|1500|403762
40312||MUTUAL FUND - BONF FD OF AMERICA|15259|15259|15000|15000|403762
40311||MUTUAL FUND - GROWTH FUND OF AMERICA|9147|9147|7500|7500|403762
40310||MUTUAL FUND - AMERICAN GROWTH FUND OF AMERICA|19098|19098|20000|20000|403762
40309||MUTUAL FUND - AMERICAN GROWTH FUND OF AMERICA|19098|19098|20000|20000|403762
40308||SALE OF MUTUAL FUND - NEW ECONOMY FUND|76444|76444|49882|49882|403762
40307||SALE OF MUTUAL FUND - AMERICAN AMCAP FUND|78069|78069|48450|48450|403762
38210||NONE|0|0|0|0|402581
42892||TRAILER|5991|0|0|0|415674
42891||BUILDING IMPROVEMENTS|40627|0|0|0|415674
42893||OFFICE FURNITURE AND EQUIPMENT|101264|0|0|0|415674
37709||1995 OLDSMOBILE DELTA 88|19952|19952|500|500|400550
38629||Prudential 06/15/68|25225|25225|24906|24906|402880
38637||Franklin Value Balance Sheet Fund|54027|59503|42004|42004|402880
38636||Wachovia Corp 08/01/14|44392|44392|47605|47605|402880
38635||FHLMC 3514GG|50706|50706|49145|49145|402880
38634||FHLMC 3251CA|35025|35025|48242|48242|402880
38633||FHLMC 3110B|34061|34061|35527|35527|402880
38632||FNMA 03-79BD|13829|13829|14981|14981|402880
38631||FHLMC 3237CB|37559|37559|37488|37488|402880
38630||FHLMC 2597AB|33141|33141|35586|35586|402880
37545||OFFICE EQUIPMENT|267|267|300|300|399735
41059||US GOVERNMENT & GOVERNMENT AGENCY|12211455|12211455|12260206|12260206|406624
41062||OFFICE EQUIPMENT|21964|21964|21964|21964|406624
41061||AUTOMOBILES|772538|286596|197618|197618|406624
41060||MUTUAL FUNDS|1693903|1693903|1510520|1510520|406624
43646||VARIOUS MARKETABLE SECURITIES|4365|4365|4523|4523|417883
43612||2004 Chevy Impala - traded in|14817|14817|0|0|417845
39651||Marketable Securities|3272426|3012771|3012771|3012771|403212
43135||2006 MERCURY MONTEGO|27196|15699|15699|0|416708
40627||Wachovia-Cert of Dep|23006|23006|23006|23006|403962
42417||Templeton Growth Fund|12115|12115|12115|12115|414148
42415||Merrill Lynch USA|30180|30180|30180|30180|414148
42416||Mutual Discovery|102075|102075|102075|102075|414148
42418||Money Market for investment and CD's|87525|87525|87525|87525|414148
46794||Building, Improvements and Land - 170 John Street|107609|34681|226144|226144|420651
37285||None|0|0|0|0|393920
47271||Franklin Funds US Govt Securities Fund Class A SHS|15000|15000|15000|15000|424031
42845||Blackrock Corporate High Yield|15260|9849|9849|9849|415543
42852||Western High Asset Income|2875|2556|2556|2556|415543
42851||Blackrock intl Growth & Income|4485|3299|3299|3299|415543
42850||Pioneer High Income Trust|25111|20498|20498|20498|415543
42849||Pimco High Income Fund|18325|12733|12733|12733|415543
42848||Nuveen Equity Prem Advantage|15817|11676|11676|11676|415543
42847||Enerplus Resources FD-New|7896|4399|4399|4399|415543
42846||Eaton Vance Tax Managed|9775|7684|7684|7684|415543
41951||Vice President's Training Laptop|991|595|0|0|411100
41953||Treasurer's HP 1012 Printer|261|0|0|0|411100
41952||Savin 3450DNP Copier/Duplicator|14251|0|0|0|411100
41976||Franklin Mutual Shares Fund Class A|6776|6776|5000|5000|411580
47359||GAIN ON TRADE IN EQUIPMENT TRANSACTION|65976|0|76475|10499|428209
38753||MACHINERY & EQUIPMENT|11468|38|347|347|403088
39847||COMPUTER|1740|0|50|50|403278
40765||FNMA POOL #545639|6599|6599|5161|5161|404874
40774||MONEY MARKET|68346|68346|68346|68346|404874
40773||RETURN OF PRINCIPAL|32938|32938|32938|32938|404874
40772||FNMA MEDIUM TERM NOTE|20000|20000|20000|20000|404874
40771||FHLMC GOLD POOL#A47288|9992|9992|10061|10061|404874
40770||FHLMC GOLD POOL#A47288|25694|25694|25768|25768|404874
40769||FNMA POOL#814684|12668|12668|11866|11866|404874
40768||FNMA POOL#809621|11108|11108|10347|10347|404874
40767||FNMA POOL#796185|12276|12276|11536|11536|404874
40766||FNMA POOL#788585|11267|11267|10070|10070|404874
40629||2007 DELMORE ATLAS SOFWARE - OUTDATED/JUNKED|52|20|0|0|403993
37533||American Century Target Fund|19699|19699|19699|19699|399239
37707||INVESTMENTS|500653|500653|314273|314273|400548
44280||VARIOUS COMMON STOCKS #3640|0|0|148545|148545|418804
44281||VARIOUS COMMON STOCKS #3659|0|0|588658|588658|418804
47323||NONE|0|0|0|0|426644
44271||NONE|0|0|0|0|418785
46139||Sale of 2005 Chevy Trailblazer|28229|3389|2500|2500|419835
46140||Sales of Marketable Securities|318900|298363|298363|298363|419835
47273||AUTOMOBILE|32742|0|3500|3500|424038
46966||NONE|0|0|0|0|420857
47306||2000 Ford Crown Victoria|22699|0|1315|1315|426158
47322||Mutual Funds|1539332|1539332|1547888|1547888|426507
41103||2005 Tahoe & 1999 Winnebago received in merger|114165|27526|20000|20000|407006
46878||MUTUAL FUNDS|1124382|1124382|900000|900000|420700
41524||NTEU Trust Equities|63478|63478|41908|41908|408776
41523||NTEU Union Bonds|872207|872207|276503|276503|408776
41530||Furniture and Fixtures|55885|0|0|0|408776
41529||Computer Equipment|512119|0|0|0|408776
41528||US Treasury|468722|468722|692502|692502|408776
41527||NTEU Union Mutual Funds|599775|599775|600000|600000|408776
41526||NTEU Union Equities|2526640|252640|1653163|1653163|408776
41525||NTEU Trust Mutual Funds|111588|111588|111588|111588|408776
43129||COMPUTERS (LOSS DUE TO POWER SURGE)|12555|1596|0|0|416674
43130||PRINTERS (LOSS DUE TO POWER SURGE)|1098|438|0|0|416674
42070||N/A|0|0|0|0|412702
46793||AUCTION HELD IN 2008 SOLD COMPUTERS, PRINTERS, ETC|0|0|0|548|420645
46291||CERTIFICATE OF DEPOSIT|85791|85791|85791|85791|420054
47404||NA|0|0|0|0|430430
46037||NONE|0|0|0|0|419615
57272||NA||||0|468587
47304||Sale of Smith Barney investments|9794|9794|9794|9794|426112
47305||Sale of UBS Financial Services investments|527215|527215|526929|526929|426112
50367||Equipment|3286|0|0|0|438900
42931||na|0|0|0|0|415808
45909||JANUS PERKINS MID CAP VALUE|330|330|265|265|419463
45904||THORNBURG VALUE|2784|2784|1501|1501|419463
45908||GOLDMAN SACHS HIGH YIELD|1111|1111|930|930|419463
45907||EUROPACIFIC GROWTH|270|270|181|181|419463
45906||COLUMBIA MARSICO|131|131|99|99|419463
45905||DAVIS NY VENTURE|1923|1923|1064|1064|419463
45914||WF ADVANTAGE INTERNATIONAL|160|160|93|93|419463
45913||T ROWE PRICE INTERNATIONAL BOND|699|699|685|685|419463
45912||PIMCO TOTAL RETURN|1011|1011|1047|1047|419463
45911||MFS RESEARCH|40|40|41|41|419463
45910||JP MORGAN CORE BOND|957|957|996|996|419463
41559||SCHWAB PREMIER ADVISOR CASH|488324|488324|488324|488324|408917
41576||FBR FOCUS FUND INV|50000|50000|54600|54600|408917
41575||THIRD AVENUE REAL ESTATE|2687|2687|2008|2008|408917
41574||GOLDMAN SACHS|50345|50345|25066|25066|408917
41573||EII INTERNATIONAL PROPERTY INSTL|114015|114015|64315|64315|408917
41572||OAKMARK INTERNATIONAL SMALL CAP|1794|1794|1999|1999|408917
41571||OAKMARK INTERNATIONAL FUND|4491|4491|4000|4000|408917
41570||FIRST EAGLE|136773|136773|132682|132682|408917
41569||DFA INTERNATIONAL SMALL COMPANY FUND|121204|121204|120121|120121|408917
41568||LONGLEAF PARTNER|3492|3492|2000|2000|408917
41567||THORNBURG VALUE CL I|3004|3004|2000|2000|408917
41566||OAKMARK FUND|6429|6429|5000|5000|408917
41565||FAIRHOLME|4333|4333|4000|4000|408917
41564||PIMCO TOTAL RETURN|211591|211591|203000|203000|408917
41563||VANGUARD ST BOND|365511|365511|369154|369154|408917
41562||MET WEST TOTAL RETURN I|2131|2131|2000|2000|408917
41561||DFA ONE YEAR FIXED INCOME PORTFOLIO|431652|431652|431866|431866|408917
41560||MONEY MARKET FUND|13|13|13|13|408917
47778||0|0|0|0|0|432994
38092||INVESTMENTS|320|320|320|320|402120
40381||Chevy Truck|25777|0|2000|2000|403840
42397||Furniture and Equipment|300|0|30|30|414117
42398||Automobile|38271|12605|6000|6000|414117
42399||Corporate Bonds|394178|394178|390415|390415|414117
42400||Certificates of Deposit|631073|631073|631000|631000|414117
38638||Sale of Stock Held at SEI|66951|66951|62141|62141|402882
44318||COMPUTER EQUIPMENT|2547|383|0|0|418930
38285||MAINSTAY FUNDS|52305|52305|52305|37565|402696
38286||DELAWARE FIXED INCOME POOLED TRUST|6604875|6604875|267299|240000|402696
47019||DISPOSED OF OBSOLETE COMPUTER EQUIPMENT|18506|0|0|0|421142
