OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
11224|COMMERCE BANK LINE OF CREDIT|850000|450000|0|0|1300000|403192
11371|UNCLAIMED VACATION FUND CHECKS|8446|47|0|0|8493|404014
11372|NET CONTRACTOR OVERPAYMENTS|0|391|0|0|391|404014
11373|GMC Credit|38375|0|38375|0|0|404015
11374|BANCO POPULAR DE PR|1164115|0|27015|0|1137100|404020
11375|COOP DE A&C BO QUEBRADA|64910|0|2257|0|62653|404020
11376|DUE TO GMAC CREDIT|19396|0|7140|0|12256|404024
11538|FORD CREDIT|11519|0|4079|7440|0|405551
11381|None|0|0|0|0|0|404062
11539|CHASE AUTO FINANCIAL|14942|0|2473|12469|0|405551
11540|RHINEBECK SAVINGS BANK|0|16811|0|0|16811|405551
11384|BK OF AMERICA CREDIT UNION|11214|4290|0|0|15504|404109
11385|CHILD AND ELDER CARE|34666|0|0|0|34666|404109
11386|BENEFITS ADMIN PROGRAM|4500|0|0|0|4500|404109
10767|NONE|0|0|0|0|0|392062
10787|NONE|0|0|0|0|0|392276
10788|SERVICE EMPLOYEES INTERNATIONAL UNION|152500|0|0|152500|0|392559
10802|Avaya Phone|24000|0|10365|0|13635|392748
10803|Copier|9552|0|7697|0|1855|392748
10814|PNC Bank - Line of Credit|50517|250|168|0|50599|393224
10815|N.E. District Council H&W Fund|43500|0|0|0|43500|393224
10816|UFCW International Union|0|119221|19000|0|100221|393224
10817|CENTRAL TRADES LABOR COUNCIL|262|0|0|0|262|393254
10894|CITIZENS BANK|4890|0|4890|0|0|396847
10895|CHRYSLER-2006 TOWN & COUNTRY|12091|0|4274|0|7817|396857
10896|CITIZENS - 2007 CHEVY IMPALA|12841|0|2655|0|10186|396857
10897|BK OF AMERICA-2005 CARAVAN|10076|0|3797|0|6279|396857
10898|FORD CREDIT - 2007 EXPLORER|24888|0|6637|0|18251|396857
10907|SUN TRUST BANK|70572|0|70572|0|0|396886
10908|FIRST CITIZENS BANK|45222|0|45222|0|0|396886
10909|ELECTRICAL FEDERAL CR UNION|125816|0|29438|0|96378|397967
10911|NONE|0|0|0|0|0|397988
10912|COMERICA LOCKWOOD|717236|0|717236|0|0|399114
10913|US Bank|13606|0|2941|0|10665|399130
10918|US BANK|25000|0|0|0|25000|399189
10919|US BANK|7667|4833|0|0|12500|399189
10935|HERGET BANK|123175|0|33391|0|89784|400066
10936|GMAC-2005 BUICK LESABRE|12620|0|3917|0|8703|400067
10937|IMCU - 2005 BUICK PARK AVE|0|14500|437|0|14063|400067
10938|INDIANA MEMBERS CU|24538|0|2006|0|22532|400067
10946|WACHOVIA BANK - BLDG|324739|0|324739|0|0|400359
10947|POWERNET BANK - AUTO|29927|0|6512|0|23415|400359
10949|VEHICLE LOANS|44056|0|18639|0|25417|400419
10953|LABOR MGMT COOP TRUST|7391|0|0|0|7391|400560
10958|UA Loan|42150|0|3600|0|38550|400848
10959|Building Mortgage|932851|0|50070|0|882781|400848
10974|NONE|0|0|0|0|0|400885
10987|Desert Community Bank-2009 Malibu|0|23096|13627|0|9469|401044
10988|Power Net Credit Union|57392|71237|20731|0|107898|401070
10989|Credential Leasing Corp|9102|0|3420|0|5682|401070
10990|BSFS Equipment Leasing|15544|0|6763|0|8781|401070
11019|FORD MOTOR CREDIT CORP.|34797|0|9143|0|25654|401182
11023|NONE|0|0|0|0|0|401190
11025|NONE|0|0|0|0|0|401365
11026|NO.CA. CARPENTERS REGION|2886629|0|45198|0|2841431|401418
11027|None|0|0|0|0|0|401427
11028|FORD CREDIT|0|131676|131676|0|0|401430
11031|Loan Payable Chrysler Financial|15853|0|15853|0|0|401454
11035|None|0|0|0|0|0|401580
11036|AVAYA FINANCIAL SERVICES|187|0|187|0|0|401618
11037|XEROX LEASE|189853|0|189853|0|0|401633
11038|WEST COAST BANK|495077|0|53279|0|441798|401647
11039|Reiable Financial Corp.|7544|0|7544|0|0|401657
11040|Ford Motor Credit Co.|8932|0|5167|0|3765|401657
11041|Reliable Financial Corp.|20303|0|7367|0|12936|401657
11042|NONE|0|0|0|0|0|401671
11043|SunTrust Loans|44041656|13965000|13878004|0|44128652|401678
11044|FIFTH THIRD BANK|92500|0|5500|0|87000|401679
11045|SERVICE EMPLOYEES' INTERNATIONAL UNION|7866|0|7866|0|0|401680
11046|NONE|0|0|0|0|0|401681
11047|None|0|0|0|0|0|401706
11049|None|0|0|0|0|0|401735
11050|HUNTINGTON NATIONAL BANK|11412|0|4041|0|7371|401737
11051|HUNTINGTON NATIONAL BANK|11622|0|4062|0|7560|401737
11052|KEY BANK|97894|0|28441|0|69453|401737
11058|Prod Svce & Sales Dist. Cncl.|1500|0|1500|0|0|401818
11061|NONE|0|0|0|0|0|402022
11062|MORTGAGE LOAN|57171|0|57171|0|0|402046
11063|PNC BANK, NA|244154|0|244154|0|0|402049
11064|None - Not Applicable|0|0|0|0|0|402051
11065|KEY BANK - 4901 MAYFLOWER|213185|0|213111|0|74|402053
11066|Pacific NWIW Federal Credit Union|14722|0|14722|0|0|402054
11067|POPULAR AUTO|11090|0|11090|0|0|402082
11068|COOP A/C CASA DEL TRABAJADOR|28955|8000|8658|0|28297|402082
11069|COOP A/C CASA DEL TRABAJADOR|0|5000|2407|0|2593|402082
11070|DE LAGE FINANCIAL|13179|0|5102|0|8077|402082
11071|VEGA COOP - MORTGAGE|610601|0|1330|0|609271|402082
11072|None|0|0|0|0|0|402244
11073|N/A|0|0|0|0|0|402245
11074|N/A|0|0|0|0|0|402252
11075|ALTON ROUTE CREDIT UNION|14086|0|5474|0|8612|402263
11076|ALTON ROUTE CREDIT UNION|16533|0|4099|0|12434|402263
11077|ALTON ROUTE CREDIT UNION|20078|0|4224|0|15854|402263
11078|NONE|0|0|0|0|0|402267
11079|NONE|0|0|0|0|0|402325
11080|XEROX CORP|2414|4078|1911|0|4581|402345
11081|BANTERRA BANK|0|18000|5019|0|12981|402345
11096|BANK OF AMERICA|10718|0|2723|0|7995|402383
11097|IBEW FCU|16846|0|4196|0|12650|402383
11100|TEXAS GULF BANK|0|115000|3456|0|111544|402414
11101|Automobile|38926|0|19558|0|19368|402434
11102|NONE|0|0|0|0|0|402581
11103|CHRYSLER FINANCIAL|0|36700|3012|0|33688|402592
11104|Colorado Springs National Bank|28891|0|28891|0|0|402599
11105|One Thirteen Credit Union|0|160000|26368|0|133632|402599
11106|PNC BANK LOAN|0|740000|3514|0|736486|402603
11107|GMAC|11455|0|11455|0|0|402625
11108|NONE|0|0|0|0|0|402627
11110|NONE|0|0|0|0|0|402663
11111|NONE|0|0|0|0|0|402665
11112|RBC Bank|23147|0|6388|0|16759|402672
11113|Ford Credit|21572|0|7435|0|14137|402672
11114|HUNTINGTON BANK|112280|0|19435|0|92845|402686
11115|FORD MOTOR CREDIT-FUSION|7798|0|6684|0|1114|402686
11116|NONE|0|0|0|0|0|402691
11117|Boilermaker Bank & Trust Co.|97200|0|20200|0|77000|402702
11118|NONE|0|0|0|0|0|402705
11119|Automobile Loan|3004|0|3004|0|0|402722
11120|Suntrust Bank|64894|0|15024|0|49870|402723
11122|Ikon|5696|0|4900|0|796|402727
11123|Great American Leasing|2996|0|2172|0|824|402727
11124|NO. CA CARPENTERS REGIONAL COUNCIL|1345540|1350000|12997|0|2682543|402731
11125|KEY CORPORATE CAPITAL, INC.|3720|0|1212|0|2508|402762
11126|NYC DISTRICT COUNCIL|10000|0|0|10000|0|402767
11127|IBEW LU 278 FCU B|3613|0|3613|0|0|402769
11128|IBEW LU 278 FCU  C|5946|0|5946|0|0|402769
11129|IBEW LU 278 FCU I|0|10611|4449|0|6162|402769
11130|IBEW LU 278 FCU J|0|4554|385|0|4169|402769
11131|IBEW LU 278 FCU H|0|3175|3175|0|0|402769
11132|Ford Motor Credit|61401|47198|67505|0|41094|402781
11133|NONE|0|0|0|0|0|402799
11134|Local #340 Impact Fund|2715|0|2715|0|0|402802
11135|CSEA, Retirees Council|58395|0|20077|0|38318|402807
11136|NONE|0|0|0|0|0|402812
11137|NONE|0|0|0|0|0|402840
11138|NONE|0|0|0|0|0|402844
