OID|DESCRIPTION|BOOK_VALUE|RPT_ID
19209|CONTRIBUTION CERTIFICATE|100|364042
19210|UTILITY DEPOSIT|39|364042
12060|CONSTRUCTION PERIOD INTEREST NET|3534|334251
16875|Inventory - T-Shirts, Jackets and Hats|16256|350295
16881|Rent Deposit Storage Area  - Detroit, MI|100|350295
16880|Rent Deposit - St.Louis, MO|3025|350295
16879|Rent Deposit - Macedonia, OH|2500|350295
16878|Utility Deposit - Macedonia, OH|619|350295
16877|Phone Deposit - St.Louis, MO|235|350295
16876|Cemetary Lots - St.Louis, MO|4400|350295
18201|6 Kids Kamp t-shirts|60|351971
18792|NONE|0|361232
18137|GROUP INSURANCE DEPOSIT|500|351748
18140|PREPAID EXPENSES|73460|351748
18139|PREPAID INSURANCE|92379|351748
18138|LEGAL RESERVE|78659|351748
13015|NONE|0|337274
13467|Prepaid expenses|3014|339078
13469|Premium Reserve Fund on deposir eith carrier|377546|339078
13468|Lease deposit|5817|339078
15514|SECURITY DEPOSIT|1860|347833
12935|Prepaid supply inventory|3098|337096
12936|Prepaid insurance|1482|337096
13430|Deposit on General Membership Meeting|850|338990
17358|PREPAID INSURANCE|6498|350708
12388|UNREALIZED GAINS ON INVESTMENTS|250781|335074
12213|NONE|0|334726
17816|PREPAID INSURANCE|1311|351298
11618|DUE FROM AFFILIATED FUND|5121|330626
13296|Due from Pension/Welfare funds|69142|338782
13299|Due From Building Corp.|153318|338782
13298|Payroll|134|338782
13297|Accrued Interest|6972|338782
12216|Prepaid Insurance|11500|334763
18179|SECURITY DEPOSITS|5074|351866
18180|PREPAID EXPENSES|2605|351866
13994|Utility Deposit-water|50|343301
15467|Rent Deposit|4388|347687
21038|PREPAID EXPENSES|1935|371152
21039|ACCRUED INVESTMENT INCOME|16778|371152
13113|PREPAID EXPENSES|1408041|337882
13117|RESERVE FOR MARKET VALUE OF INVESTMENTS|320561|337882
13116|ALLOWANCE FOR DOUBTFUL ACCOUNTS|-1897466|337882
13115|SECURITY DEPOSIT|196772|337882
13114|EMPLOYEE TRAVEL ADVANCES|319250|337882
