OID|INV_TYPE|NAME|AMOUNT|RPT_ID
57712|701|JACKSON NATL LIFE INS CO|66280|350461
57713|701|LINCOLN NATL LIFE INS CO|131935|350461
57714|701|FEDERAL FARM CREDIT BANK|100594|350461
57715|701|FHLB 02/26/2010 AGENCY BOND|100188|350461
57716|703|Marketable Securities Total Cost|350023|350461
57717|704|Marketable Securities Total BookValue|398997|350461
57718|702|ANDOVER ASSOCIATES LP|607286|350461
57719|705|Other Investments Total Cost|400000|350461
57720|706|Other Investments Total Book Value|607286|350461
61070|701|N/A|0|351732
61071|702|N/A|0|351732
38398|701|.|0|333203
38399|702|.|0|333203
65620|701|.|0|364042
65621|702|.|0|364042
38918|701|Citigroup, Inc|48642|333710
38919|701|Fed Home Loan BK|53290|333710
38920|701|McCormick|48948|333710
38921|701|Morgan Stanley|121732|333710
38922|701|Rockwell Intl Co|48772|333710
38923|701|SLM Corp|45324|333710
38924|703|Marketable Securities Total Cost|376723|333710
38925|704|Marketable Securities Total BookValue|373027|333710
38926|702|Sheet Metal Worker Building Association|749159|333710
38927|705|Other Investments Total Cost|1115934|333710
38928|706|Other Investments Total Book Value|749159|333710
62800|701|.|0|356947
62801|702|.|0|356947
39413|701|.|0|334251
39414|702|.|0|334251
55598|702|.|0|349717
55597|701|.|0|349717
53885|701|N/A|0|348993
53886|702|N/A|0|348993
58571|701|.|0|350745
58572|702|.|0|350745
67354|701|N/A|0|367806
67355|702|NEW YOURK LIFE ANNUITY|82583|367806
67356|705|Other Investments Total Cost|82583|367806
67357|706|Other Investments Total Book Value|82583|367806
55184|701|N/A|0|349575
55185|702|N/A|0|349575
57324|701|.|0|350295
57325|702|.ALICARE ACS Preferred Stock|200000|350295
57326|702|Amalgamated Bank of New York - Common Stock|1429258|350295
57327|705|Other Investments Total Cost|1640788|350295
57328|706|Other Investments Total Book Value|1640788|350295
53984|701|N/A|0|349018
53985|702|N/A|0|349018
63042|701|ADVANTA NOTE|8000|358439
63043|701|ADVANTA NOTE|6000|358439
63044|703|Marketable Securities Total Cost|14000|358439
63045|704|Marketable Securities Total BookValue|14000|358439
63046|702|N/A|0|358439
59105|701|.|0|350895
59106|702|.|0|350895
50646|701|N/A|0|347202
50647|702|N/A|0|347202
62331|701|N/A|0|354906
62332|702|N/A|0|354906
47274|701|.|0|343984
47275|702|.|0|343984
61447|703|Marketable Securities Total Cost|33|351971
61446|701|N/A|0|351971
61448|704|Marketable Securities Total BookValue|33|351971
61449|702|N/A|0|351971
63976|701|N/A|0|361232
63977|702|N/A|0|361232
63103|701|.|0|358594
63104|702|.|0|358594
61104|701|.|0|351748
61105|703|Marketable Securities Total Cost|1206766|351748
61106|704|Marketable Securities Total BookValue|1600570|351748
61107|702|.|0|351748
61108|705|Other Investments Total Cost|297943|351748
61109|706|Other Investments Total Book Value|297943|351748
43296|701|NONE|0|337274
43297|702|NONE|0|337274
44765|701|.|0|339078
44766|702|.|0|339078
51304|701|.|0|347833
51305|702|.|0|347833
42985|701|.|0|337096
42986|702|.|0|337096
44648|701|Alliance Bermsteom Wealth Preservation - Strat C|21249|338990
44649|701|FTJ Fund Choic Strategist|28225|338990
44650|701|FTJ Fund Choice - Advantaged Asset Mgt|19461|338990
44651|701|Sigma Planning|50598|338990
44652|701|Sigma Financial|10018|338990
44653|701|J P Morgan Savings|37419|338990
44654|703|Marketable Securities Total Cost|163239|338990
44655|704|Marketable Securities Total BookValue|166970|338990
44656|702|None|0|338990
44657|702|None|0|338990
44658|702|None|0|338990
44659|702|None|0|338990
44082|701|GOVERNMENT OBLIGATIONS-FED HOME LN BK 5.85%|145548|338530
44083|701|GOVERNMENT OBLIGATIONS-FED HOME LN BK 5.25%|124999|338530
44084|701|CORPORATE BONDS-CONSUMERS ENERGY 6.375%|122189|338530
44085|701|CORPORATE BONDS-EQUITABLE COS INC 6.5%|335809|338530
44086|701|CORPORATE BONDS-MARSH MCLENNAN 3.625%|124107|338530
44087|701|CORPORATE BONDS-RAYTHEON CO 4.5%|119870|338530
44088|701|EQUITIES-VAN KAMPEN SR INCM TR SENIOR INCOME TRUST|108200|338530
44089|703|Marketable Securities Total Cost|2118604|338530
44090|704|Marketable Securities Total BookValue|2049431|338530
44091|702|.|0|338530
65914|701|N/A|0|364761
65915|702|N/A|0|364761
63539|701|.|0|360030
63540|702|.|0|360030
74565|701|N/A|0|374696
74566|702|N/A|0|374696
48056|701|.|0|345213
48057|702|.|0|345213
48108|701|.|0|345227
48109|702|.|0|345227
45444|701|.|0|340152
45445|702|.|0|340152
46850|701|.|0|343347
46851|702|.|0|343347
64606|701|N/A|0|362716
64607|702|N/A|0|362716
58414|701|N/A|0|350708
58415|702|LOCAL 234 BUILDING CORP.|499102|350708
58416|705|Other Investments Total Cost|499102|350708
58417|706|Other Investments Total Book Value|499102|350708
41046|701|CAPITAL WORLD GROWTH & INCOME FUND|135651|335074
41047|701|GROWTH FUND OF AMERICA|103700|335074
41048|701|FUNDAMENTAL INVESTORS FUND|67145|335074
41049|701|NEW ECONOMY FUND|69386|335074
41050|701|INVESTMENT COMPANY OF AMERICA|81128|335074
41051|701|AMCAP FUND|69282|335074
41052|703|Marketable Securities Total Cost|526292|335074
41053|704|Marketable Securities Total BookValue|526292|335074
41054|702|.|0|335074
50410|701|.|0|347062
50411|702|.|0|347062
40250|701|COHEN & STEERS SELECT FUND|31467|334726
40251|701|BLACKROCK LARGE CAP VALUE|30642|334726
40252|701|FRANKLIN INCOME FUND|17945|334726
40253|701|BLACKROCK PREFERRED INCOME STRATEGY FUND|35524|334726
40254|701|PIMCO TOTAL RETURN|25396|334726
40255|701|LORD ABBETT BOND|56879|334726
40256|701|BLACKROCK HIGH YIELD BOND FUND|32842|334726
40257|701|BLACKROCK HIGH INCOME FUND|33134|334726
40258|701|AMERICAN FUNDS INCOME|41553|334726
40259|703|Marketable Securities Total Cost|340192|334726
40260|704|Marketable Securities Total BookValue|350002|334726
40261|702|NONE|0|334726
57567|701|N/A|0|350404
57568|702|N/A|0|350404
59822|701|.|0|351298
59823|702|.|0|351298
72627|701|Vanguard Star Fund|337131|372039
72628|703|Marketable Securities Total Cost|334809|372039
72629|704|Marketable Securities Total BookValue|337131|372039
72630|702|N/A|0|372039
57674|701|.|0|350446
57675|702|.|0|350446
47400|701|.|0|344229
47401|702|.|0|344229
55918|701|N/A|0|349807
55919|702|N/A|0|349807
36362|701|MORGAN STANLEY CAP TR III - 4,000 SHARES|100000|327681
36363|701|WELLS FARGO CAP TR III - 4,000 SHARES|100000|327681
36364|701|USB CAPITAL VII - 100 SHARES|25000|327681
36365|701|MORGAN STANLEY CAP TR VI - 4,000 SHARES|100000|327681
36366|701|BELL SOUTH - 4,000 SHARES|100000|327681
36367|701|COUNTRYWIDE FIN CAP V - 2,000 SHARES|50000|327681
36368|703|Marketable Securities Total Cost|475000|327681
36369|704|Marketable Securities Total BookValue|475000|327681
36370|702|.|0|327681
37242|701|.|0|330626
37243|702|.|0|330626
39044|701|.|0|333915
39045|702|.|0|333915
51656|702|.|0|348015
51655|701|.|0|348015
43694|701|.|0|337992
43695|702|.|0|337992
44015|702|.|0|338478
44014|701|.|0|338478
44270|701|.|0|338782
44271|702|.|0|338782
40285|701|FHLMC 2744|21554|334763
40286|701|FHLMC 2764|17853|334763
40287|701|Hartford Capital Appreciation|101282|334763
40288|701|Evergreen Global Dividend Opportunity|50625|334763
40289|701|Franklin Value Balance Sheet|73316|334763
40290|703|Marketable Securities Total Cost|187801|334763
40291|704|Marketable Securities Total BookValue|265098|334763
40292|702|.|0|334763
36487|701|HARRIS PREFERRED CAPITAL - 1,000 SHARES|25000|327982
36488|703|Marketable Securities Total Cost|25000|327982
36489|704|Marketable Securities Total BookValue|25000|327982
36490|702|.|0|327982
61151|701|N/A|0|351761
61152|702|N/A|0|351761
74686|701|N/A|0|375169
74687|702|N/A|0|375169
61363|701|N/A|0|351866
61364|702|N/A|0|351866
60275|701|N/A|0|351516
60276|702|N/A|0|351516
53930|701|Valero Energy Corp - 96 shares|5253|349007
53931|701|Valero Energy Corp - 54 shares|3108|349007
53932|701|AT&T - 400 shares|10094|349007
53933|703|Marketable Securities Total Cost|18455|349007
53934|704|Marketable Securities Total BookValue|18455|349007
53935|702|.|0|349007
63345|701|N/A|0|359341
63346|702|N/A|0|359341
52970|701|Retail Employees Credit Union CD|201484|348687
52971|701|Retail Employees Credit Money Market Fund|25337|348687
52972|703|Marketable Securities Total Cost|226827|348687
52973|704|Marketable Securities Total BookValue|226827|348687
52974|702|Minneapolis Labor Temple Association Stock|23250|348687
52975|706|Other Investments Total Book Value|25710|348687
46788|701|.|0|343301
46789|702|.|0|343301
51067|701|N/A|0|347687
