OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|CASH_PAID|RPT_ID
51941||VEHICLES|32447|30284|25825|350461
51942||MARKETABLE SECURITIES|100391|100391|100391|350461
54680||Building Improvement - Air conditioning units|18170|18170|18170|351732
54682||Storage unit (outside- Parking lot)|4259|4259|4259|351732
54681||Office furn. (used conference tables and chairs)|4405|4405|4405|351732
36595||US TREASURY BILLS|296527|296527|296527|333203
36614||COMMON COLLECTIVE TRUST|9183|9183|9183|333203
36613||SPRINKLER SYSTEM|9850|9850|9850|333203
36612||ELECTRICAL|2211|2211|2211|333203
36611||BATHROOM FIXTURES|601|601|601|333203
36610||CARPET|6345|6345|6345|333203
36609||PAINTING|3984|3984|3984|333203
36608||2007 FOR ESCAPE|21114|21114|21114|333203
36607||FILE CABINET|130|130|130|333203
36606||TWO STORAGE CABINETS|278|278|278|333203
36605||LEATHER OFFICE CHAIR|161|161|161|333203
36604||FOUR WOODEN BOOKCASES|667|667|667|333203
36603||MINI REFRIGERATOR/FREEZER|203|203|203|333203
36602||RECEPTION DESK, FILES AND CABINETS|6822|6822|6822|333203
36601||GPS|247|247|247|333203
36600||SONY CAMERA|377|377|377|333203
36599||HP DESKTOP COMPUTER|946|946|946|333203
36598||FOUR LAPTOPS|4585|4585|4585|333203
36597||PRINTER|537|537|537|333203
36596||THREE CELL PHONES|805|805|805|333203
57188||2007 CHEVROLET SUBURBAN|32592|32592|32592|364042
57189||2 LAPTOP COMPUTERS|4599|4599|4599|364042
37410||Rockwell Bond|50270|50270|50774|333710
37420||Computer Equipment|2174|1957|2174|333710
37419||2006 Pacifica|23766|21199|23766|333710
37418||2007 Chevy Impala|22057|19852|22057|333710
37417||2006 Pacifica|21636|19472|21636|333710
37416||2006 Pacifica|21636|19472|21636|333710
37415||Citigroup Bond|49691|49691|50123|333710
37414||Fed Home Loan|54067|54067|54622|333710
37413||SLM Corp Bond|48917|48917|49417|333710
37412||Morgan Stanley|123156|123156|123257|333710
37411||McCormick Bond|50622|50622|51151|333710
37819||FURNITURE & FIXTURES|7939|6598|7939|334251
37820||STORM DRAINS|9825|9793|9825|334251
