OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
33784|2101|Regular active member|94396|T|313075
33785|2102|Agency Fee Payers|17|F|313075
39318|2102|Agency Fee Payers|0|F|315081
39315|2101|ACTIVE|457|T|315081
39316|2101|RETIRED|163|T|315081
39317|2101|LIFE|70|F|315081
39634|2101|Active Carriers|2290|T|315281
39635|2101|Retired Members|404|T|315281
39636|2102|Agency Fee Payers|0|F|315281
18347|2101|LOCALS|23|T|297076
18348|2102|Agency Fee Payers|0|F|297076
18299|2101|JOURNEYMAN|680|T|296772
18300|2101|APPRENTICES|107|F|296772
18301|2101|RETIREES|150|T|296772
18302|2102|Agency Fee Payers|0|F|296772
20705|2101|Building Trades|1007|T|299301
20706|2101|Production workers|347|T|299301
20707|2101|Retired|317|T|299301
20708|2101|On withdrawal|31|F|299301
20709|2102|Agency Fee Payers|0|F|299301
22539|2101|Regular Carriers|1517|T|300072
22540|2101|Relief Carriers|1015|T|300072
22541|2101|Retired Carriers|706|T|300072
22542|2101|Associate Members|28|F|300072
22543|2102|Agency Fee Payers|0|F|300072
23560|2101|PENSIONERS|74|F|302266
23559|2101|APPRENTICES|21|F|302266
23561|2101|HONORARY MEMBERS|38|F|302266
23562|2101|JOURNEYMEN|237|T|302266
23563|2102|Agency Fee Payers|0|F|302266
39500|2101|regular dues paying members|458|T|315206
39501|2102|Agency Fee Payers|0|F|315206
40559|2101|Class A Membership|217|T|317610
40560|2102|Agency Fee Payers|0|F|317610
38533|2101|A Members|408|T|314742
38534|2101|BA Members|0|T|314742
38535|2102|Agency Fee Payers|0|F|314742
48007|2101|GENERAL MEMBERSHIP|1896|T|335252
48008|2102|Agency Fee Payers|0|F|335252
33442|2101|REGULAR MEMBERS|1025|T|312870
33443|2102|Agency Fee Payers|0|F|312870
34738|2101|Dues paying members|40699|T|313475
34739|2101|Permit holding members|5032|F|313475
34740|2102|Agency Fee Payers|0|F|313475
26649|2101|REGULAR MEMBERS|439|T|308462
26650|2102|Agency Fee Payers|0|F|308462
34758|2101|FULL-TIME MEMBERS|4889|T|313482
34759|2101|PART-TIME MEMBERS|1665|T|313482
34760|2102|Agency Fee Payers|0|F|313482
67220|2101|REGULAR MEMBER FULL PAYING|1015|T|358438
67221|2102|Agency Fee Payers|0|F|358438
26349|2101|Class 5|2|F|308124
26347|2101|Class 1|2928|T|308124
26350|2101|Class 7|6|F|308124
26351|2101|Class 8|202|F|308124
26352|2102|Agency Fee Payers|1|F|308124
26348|2101|Class 4|51|F|308124
34179|2101|"BA"  MEMBERS|3305|T|313279
34180|2101|"A" Members|3|T|313279
34181|2102|Agency Fee Payers|48|F|313279
27482|2101|REGULAR MEMBERS|322|T|309572
27483|2102|Agency Fee Payers|0|F|309572
53373|2101|Utu 1626 members|180|T|343983
53374|2102|Agency Fee Payers|0|F|343983
37549|2101|Regular Members|9000|T|314402
37550|2102|Agency Fee Payers|0|F|314402
23909|2101|Active members / full dues|512|T|302810
23910|2102|Agency Fee Payers|0|F|302810
32920|2102|Agency Fee Payers|0|F|312568
32919|2101|REGULAR MEMBERS ( PRIVATE SECTOR)|9598|T|312568
39130|2101|FULL TIME|10260|T|314868
39131|2101|PART TIME|642|T|314868
39132|2101|RETIREE|2617|F|314868
39133|2101|ASSOCIATE|63|F|314868
39134|2102|Agency Fee Payers|1468|F|314868
24696|2101|"A" Members|7|T|303765
24697|2101|"BA" Members|1586|T|303765
24698|2102|Agency Fee Payers|0|F|303765
24281|2101|GENERAL MEMBERSHIP|2186|T|303350
24282|2102|Agency Fee Payers|0|F|303350
22904|2101|Active members with all rights|570|T|301077
22905|2101|Members on LTD|56|F|301077
22906|2101|Members not sworn in|11|F|301077
22907|2101|Retired members|131|F|301077
22908|2102|Agency Fee Payers|0|F|301077
24667|2101|General Members|475|T|303700
24668|2102|Agency Fee Payers|0|F|303700
24247|2101|FULL DUES PAYING MEMBERS|1463|T|303289
24248|2101|CASH DUES PAYING MEMBERS|1|T|303289
24249|2102|Agency Fee Payers|0|F|303289
41295|2101|Active|5809|T|322130
41296|2101|Executive Active|0|T|322130
41297|2101|Apprentice|31|F|322130
