OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
24637|1102|N/A|N/A|||294056
60424|1103|0||||327071
9483|1103|0|na|0|0|270101
9484|1101|4%|mo|0|0|270101
9485|1104|15|TRANS|0|0|270101
9486|1105|0|NA|0|0|270101
18977|1103|0|MTH|||275521
18978|1101|0|MTH|||275521
18979|1104|0|MTH|||275521
18980|1102|0|MTH|||275521
18981|1105|0|MTH|||275521
20665|1103|45||||278186
20666|1101|23|MONTH|||278186
20667|1104|NONE||||278186
20668|1102|2%|HOURLY RATE|||278186
20669|1105|NONE||||278186
21045|1103|0|N/A|0|0|279428
21046|1101|2.26|MONTH|2.26|2.26|279428
21047|1104|0|N/A|0|0|279428
21048|1102|0|N/A|0|0|279428
21049|1105|D.N.A.|N/A|0|0|279428
21289|1103|30.00||||280561
21290|1101|Various|Month|10.00|21.30|280561
21291|1104|0.00||||280561
21292|1102|1.3 x hourly rate|Month|||280561
21293|1105|0.00||||280561
21542|1103|||||281555
21543|1101|18.05|Month|8.05|18.05|281555
21544|1104|||||281555
21545|1102|||||281555
21546|1105|||||281555
22806|1103|1.00 - 100.00|MONTH|1.00|100.00|286393
22807|1101|6.87 - 9.37|MONTH|6.87|9.37|286393
22808|1104|NONE||||286393
22809|1102|NONE||||286393
22810|1105|9.07|MONTH|||286393
22935|1103|N/A|N/A|5.00|50.00|288025
22936|1101|2.5 HRS|MONTH|18.00|65.00|288025
22937|1104|.50|N/A|N/A|N/A|288025
22938|1102|N/A|N/A|N/A|N/A|288025
22939|1105|N/A|N/A|N/A|N/A|288025
22990|1103|N/A|N/A|N/A|N/A|288053
22991|1101|$10,000|YEAR|$1,000|$10,000|288053
22992|1104|N/A|N/A|N/A|N/A|288053
22993|1102|N/A|N/A|N/A|N/A|288053
22994|1105|N/A|N/A|N/A|N/A|288053
23080|1103|50|N/A|||289759
23081|1101|18-20|MONTH|||289759
23082|1104|10|N/A|||289759
23083|1102|N/A|N/A|||289759
23084|1105|N/A|N/A|||289759
23189|1103|0|0|200.00|1000.00|290507
23190|1101|0|MONTH|$28.00|53.00 + 0.65 PER HOUR|290507
23191|1104|0|0|0|0|290507
23192|1102|0|0|0|0|290507
23193|1105|$.0.65 PER HOUR|MONTH|0|0|290507
23218|1103|0|0|100|500|290798
23219|1101|0|QUARTER|82.65|100.65|290798
23220|1104|0|0|0|0|290798
23221|1102|0|0|0|0|290798
23222|1105|0|0|0|0|290798
23248|1103|100.00||||291062
23249|1101|67.75|MONTH|65.50|67.75|291062
23250|1104|NONE||||291062
23251|1102|NONE||||291062
23252|1105|NONE||||291062
23263|1103|100.00||||291102
23264|1101|68.50|MONTH|||291102
23265|1104|NONE||||291102
23266|1102|NONE||||291102
23267|1105|NONE||||291102
23338|1103|100.00||||291333
23339|1101|63.75|MONTH|61.50|63.75|291333
23340|1104|NONE||||291333
23341|1102|NONE||||291333
23342|1105|NONE||||291333
23358|1103|100|1 time|||291337
23359|1101|Various|month|28|68|291337
23360|1104|||||291337
23361|1102|||||291337
23362|1105|||||291337
23398|1103|100.00||||291477
23399|1101|69.75|MONTH|67.50|69.75|291477
23400|1104|NONE||||291477
23401|1102|NONE||||291477
23402|1105|NONE||||291477
23496|1103|n/a||||291802
23497|1101|19.59|Bi-weekly|||291802
23498|1104|n/a||||291802
23499|1102|n/a||||291802
23500|1105|n/a||||291802
23501|1103|na|na|||291926
23502|1101|$25.00|Month|||291926
23503|1104|na|na|||291926
23504|1102|na|na|||291926
23505|1105|na|na|||291926
23506|1103|100.00||||291927
23507|1101|62.75|MONTH|||291927
23508|1104|NONE||||291927
23509|1102|NONE||||291927
23510|1105|NONE||||291927
23536|1103|0||||292199
23537|1101|.02|hour worked|||292199
23538|1104|0||||292199
