OID|INV_TYPE|NAME|AMOUNT|RPT_ID
357619|703|Marketable Securities Total Cost||737701
357620|704|Marketable Securities Total BookValue||737701
357621|705|Other Investments Total Cost||737701
357622|706|Other Investments Total Book Value||737701
355447|703|Marketable Securities Total Cost|0|736181
355448|704|Marketable Securities Total BookValue||736181
355449|705|Other Investments Total Cost|0|736181
355450|706|Other Investments Total Book Value||736181
354177|703|Marketable Securities Total Cost||735611
354178|704|Marketable Securities Total BookValue||735611
354179|705|Other Investments Total Cost||735611
354180|706|Other Investments Total Book Value||735611
352587|703|Marketable Securities Total Cost|2570980|734116
352588|704|Marketable Securities Total BookValue|2570980|734116
352589|701|VANGUARD SHORT - TERM INVESTMENT GRADE|1290268|734116
352590|701|VANGUARD SHORT - TERM BOND INDEX|1280712|734116
352591|705|Other Investments Total Cost|0|734116
352592|706|Other Investments Total Book Value|0|734116
352593|702|NONE|0|734116
356302|703|Marketable Securities Total Cost||736455
356303|704|Marketable Securities Total BookValue||736455
356304|705|Other Investments Total Cost||736455
356305|706|Other Investments Total Book Value||736455
352466|703|Marketable Securities Total Cost|558643|733909
352467|704|Marketable Securities Total BookValue|558643|733909
352468|701|MFS Midcap Value Fund|28229|733909
352469|701|Vanguard Growth ETF|58880|733909
352470|701|Vanguard Value ETF Index|47658|733909
352471|701|T Rowe Price New Horizons|36735|733909
352472|701|JPMorgan Chase|35321|733909
352473|701|Riverside Pub CA|31885|733909
352474|701|Montgomery Cnty PA|35922|733909
352475|705|Other Investments Total Cost||733909
352476|706|Other Investments Total Book Value||733909
356201|703|Marketable Securities Total Cost||736413
356202|704|Marketable Securities Total BookValue||736413
356203|705|Other Investments Total Cost||736413
356204|706|Other Investments Total Book Value||736413
353527|703|Marketable Securities Total Cost||735196
353528|704|Marketable Securities Total BookValue||735196
353529|705|Other Investments Total Cost||735196
353530|706|Other Investments Total Book Value||735196
356673|701|Verizon Communications 2.2625% Due 8/15/26|162375|736581
356669|703|Marketable Securities Total Cost|1737051|736581
356674|701|Wells Fargo BK N Step 12/6/27|152415|736581
356675|701|Wells Fargo 3% Due 10/23/26|217708|736581
356676|701|SIT US Govt Bond Fund|168002|736581
356677|701|Vanguard short Term Invest Grade|188368|736581
356678|701|Schwab Money Fund|208256|736581
356679|705|Other Investments Total Cost|77653|736581
356680|706|Other Investments Total Book Value|77653|736581
356681|702|Interest in SMW Building Association|77653|736581
356670|704|Marketable Securities Total BookValue|1799260|736581
356671|701|FHLB 1.58% Due 11/06/29|150933|736581
356672|701|FHLB .75% Due 6/24/25|199874|736581
357674|703|Marketable Securities Total Cost|0|737775
357675|704|Marketable Securities Total BookValue||737775
357676|705|Other Investments Total Cost|0|737775
357677|706|Other Investments Total Book Value||737775
354670|703|Marketable Securities Total Cost|0|735839
354671|704|Marketable Securities Total BookValue|0|735839
354672|705|Other Investments Total Cost|0|735839
354673|706|Other Investments Total Book Value|0|735839
354058|703|Marketable Securities Total Cost|295158|735565
354059|704|Marketable Securities Total BookValue|295158|735565
354060|705|Other Investments Total Cost||735565
354061|706|Other Investments Total Book Value||735565
356000|703|Marketable Securities Total Cost||736356
356001|704|Marketable Securities Total BookValue||736356
356002|705|Other Investments Total Cost||736356
356003|706|Other Investments Total Book Value||736356
355453|705|Other Investments Total Cost|0|736183
355454|706|Other Investments Total Book Value|0|736183
355452|704|Marketable Securities Total BookValue|0|736183
355451|703|Marketable Securities Total Cost|0|736183
359252|706|Other Investments Total Book Value||739498
359248|703|Marketable Securities Total Cost|250000|739498
359249|704|Marketable Securities Total BookValue|250000|739498
359250|701|Certificate of Deposit|250000|739498
359251|705|Other Investments Total Cost||739498
358586|704|Marketable Securities Total BookValue||738763
358587|705|Other Investments Total Cost||738763
358588|706|Other Investments Total Book Value||738763
358585|703|Marketable Securities Total Cost||738763
358943|703|Marketable Securities Total Cost|4137162|738989
358944|704|Marketable Securities Total BookValue|4129505|738989
358945|701|OPPENHEIMER CORP. BONDS|1649650|738989
358946|701|BLACKROCK II MULTI ASSETS|829774|738989
358947|701|JH DISCIPLINED VAL FUND|270659|738989
358948|701|JH BALANCED FUND|496388|738989
358949|701|VANGUARD INDEX FUND|291126|738989
358950|701|VANGUARD  TOTAL CORP|294928|738989
358951|701|VANGUARD  INT-TERM CORP|296980|738989
358952|705|Other Investments Total Cost|1031911|738989
358953|706|Other Investments Total Book Value|1031911|738989
358412|703|Marketable Securities Total Cost|3278007|738631
358413|704|Marketable Securities Total BookValue|3279851|738631
358414|705|Other Investments Total Cost||738631
358415|706|Other Investments Total Book Value||738631
358065|703|Marketable Securities Total Cost||738322
358066|704|Marketable Securities Total BookValue||738322
358067|705|Other Investments Total Cost||738322
358068|706|Other Investments Total Book Value||738322
353151|703|Marketable Securities Total Cost|528225|734953
353152|704|Marketable Securities Total BookValue|576049|734953
353153|701|CASH HOLDINGS|234|734953
353154|701|LPL MFS Value Cl A MEIAX|55119|734953
353155|701|LPL MFS Growth CL A MFEGX|87152|734953
353156|701|LPL Total Return CL A MSFRX|95766|734953
353157|701|LPL MFS Technology CL A MTCAX|78792|734953
353158|701|LPL Massachusetts MFS Invest trust MITTX|58839|734953
353159|701|MFS Corporate Bond CL A MFBFX|82723|734953
353160|701|MFS High Income Cl A MHITX|57142|734953
353161|701|MFS Diversified Income CL A DIFAX|60282|734953
353162|705|Other Investments Total Cost||734953
353163|706|Other Investments Total Book Value||734953
353559|706|Other Investments Total Book Value|0|735217
353548|703|Marketable Securities Total Cost|588134|735217
353560|702|NONE|0|735217
353549|704|Marketable Securities Total BookValue|599562|735217
353550|701|BLACKROCK EQUITY|56912|735217
353551|701|BLACKROCK GLOBAL|78874|735217
353552|701|DELAWARE INVESTMENTS|30347|735217
353553|701|FRANKLIN RISING FUND|59374|735217
353554|701|FRANKLIN INCOME FUND|32155|735217
353555|701|GUGGENHEIM DEFINED FUND|94105|735217
353556|701|ADVISORS DISCIPLINED TRUST|103458|735217
353557|701|FT UNIT 8132 FUND|110945|735217
353558|705|Other Investments Total Cost|0|735217
359166|705|Other Investments Total Cost||739150
359167|706|Other Investments Total Book Value||739150
359165|704|Marketable Securities Total BookValue||739150
359164|703|Marketable Securities Total Cost||739150
358803|703|Marketable Securities Total Cost|990652|738899
358804|704|Marketable Securities Total BookValue|990652|738899
