OID|INV_TYPE|NAME|AMOUNT|RPT_ID
130396|701|GENERAL ELECTRIC CAP NT; 4.75%; DUE SEPT 15, 2012|200000|448963
130397|701|EATON VANCE FLTG RATE FUND-7,994.765 SHARES|70000|448963
130398|701|LOOMIS SAYLES FDS II INVT GRADE - 9,995.951SHS|120000|448963
130399|701|NATIXIS LOOMIS SAYLES HIGH - 14,470.992 SHARES|70000|448963
130400|701|NATIXIS LOOMIS SAYLES HIGH - 14,470.992 SHARES|70000|448963
130401|701|PIMCO SHORT TERM FUND - 19,171.014 SHARES|175861|448963
130402|703|Marketable Securities Total Cost|1199947|448963
130403|704|Marketable Securities Total BookValue|1199947|448963
130404|702|N/A|0|448963
136919|703|Marketable Securities Total Cost||452223
136920|704|Marketable Securities Total BookValue||452223
136921|705|Other Investments Total Cost||452223
136922|706|Other Investments Total Book Value||452223
117420|701|N/A|0|433208
117421|702|MALGAMATED BANK OF CHICAGO COMMON INV. TRUST|244429|433208
117422|705|Other Investments Total Cost|242813|433208
117423|706|Other Investments Total Book Value|244429|433208
117490|701|N/A|0|433356
117491|702|N/A|0|433356
119368|701|Vanguard Gnma Fund|80229|435898
119369|701|Fed Home Loan 5.875% Due 3/21/11|62378|435898
119370|701|GNMA II 6% Due 07/20/38|43958|435898
119371|701|Loomis Sayles Bond Fund|44244|435898
119372|701|SIT US Govt SEc Bond Fund|175602|435898
119373|703|Marketable Securities Total Cost|476908|435898
119374|704|Marketable Securities Total BookValue|492475|435898
119375|702|Sheet Metal Workers Local Union No.9 Building Asso|715965|435898
119376|705|Other Investments Total Cost|1149143|435898
119377|706|Other Investments Total Book Value|715965|435898
119789|701|N/A|0|436077
119790|702|N/A|0|436077
126164|703|Marketable Securities Total Cost|0|445447
126165|704|Marketable Securities Total BookValue|0|445447
126166|705|Other Investments Total Cost|0|445447
126167|706|Other Investments Total Book Value|0|445447
134334|701|N/A|0|450978
134335|702|N/A|0|450978
129452|703|Marketable Securities Total Cost|0|448602
129453|704|Marketable Securities Total BookValue||448602
129454|705|Other Investments Total Cost||448602
129455|706|Other Investments Total Book Value||448602
130988|704|Marketable Securities Total BookValue||449206
130987|703|Marketable Securities Total Cost||449206
130989|705|Other Investments Total Cost|1323219|449206
130990|706|Other Investments Total Book Value|1323219|449206
130991|702|Amalgamated Bank of New York - Common Stock|1314689|449206
135242|703|Marketable Securities Total Cost||451257
135243|704|Marketable Securities Total BookValue||451257
135244|705|Other Investments Total Cost||451257
135245|706|Other Investments Total Book Value||451257
140145|703|Marketable Securities Total Cost|0|464850
140146|704|Marketable Securities Total BookValue|0|464850
140147|705|Other Investments Total Cost|0|464850
140148|706|Other Investments Total Book Value|0|464850
131608|701|N/A|0|449508
131609|702|N/A|0|449508
131610|705|Other Investments Total Cost|2304|449508
131611|706|Other Investments Total Book Value|2304|449508
127101|703|Marketable Securities Total Cost||446790
127102|704|Marketable Securities Total BookValue||446790
127103|705|Other Investments Total Cost||446790
127104|706|Other Investments Total Book Value||446790
134932|703|Marketable Securities Total Cost|1112847|451145
134931|701|N/A|0|451145
134933|704|Marketable Securities Total BookValue|1345622|451145
134934|702|N/A|0|451145
134935|705|Other Investments Total Cost|297943|451145
134936|706|Other Investments Total Book Value|297943|451145
123540|701|N/A|0|440183
123541|702|N/A|0|440183
123817|703|Marketable Securities Total Cost||440364
123818|704|Marketable Securities Total BookValue||440364
123819|705|Other Investments Total Cost||440364
123820|706|Other Investments Total Book Value||440364
122273|701|N/A|0|438550
122274|702|N/A|0|438550
123268|701|Chase - Liquid Arbitration Savings Fund|45236|439886
123263|701|Alliance Bernstein|17058|439886
123264|701|FTJ Fun Choice AAMA Capital Preservation|20632|439886
123265|701|FTJ Choice Funds Litman/Gregory Balanced Income|29410|439886
123266|701|Sigma Planning Corp|58951|439886
123267|701|Sigma Financial Corp|10338|439886
123269|701|Chase Savings - Women's Fund|102|439886
123270|701|Chase Savings - Entertainment fund|3485|439886
123271|703|Marketable Securities Total Cost|306339|439886
123272|704|Marketable Securities Total BookValue|310699|439886
123273|702|N/A|0|439886
123262|701|Chase Savings|125487|439886
123486|701|MUNICIPAL BONDS-OAKLAND UNIVERSITY MIC 3.41%|168412|440137
123487|703|Marketable Securities Total Cost|2711978|440137
123488|704|Marketable Securities Total BookValue|2727194|440137
123489|702|N/A|0|440137
145940|703|Marketable Securities Total Cost|233667|471246
145941|704|Marketable Securities Total BookValue|196684|471246
145942|701|Northern Trust - Stock Index Fund|196684|471246
145943|705|Other Investments Total Cost||471246
145944|706|Other Investments Total Book Value||471246
125530|701|N/A|0|444671
125531|702|N/A|0|444671
127116|703|Marketable Securities Total Cost||446794
127117|704|Marketable Securities Total BookValue||446794
127118|705|Other Investments Total Cost|85000|446794
127119|706|Other Investments Total Book Value|38531|446794
127120|702|30,000 Citi Group Bond - ML|30642|446794
127121|702|1,150 Freddie Mac Bond - ML|723|446794
127122|702|1,000 Fannie Mae Bond - ML|560|446794
127123|702|Cash Money Account - ML|6387|446794
127124|702|Accrued Interest - ML|219|446794
136277|703|Marketable Securities Total Cost||451899
136278|704|Marketable Securities Total BookValue||451899
136279|705|Other Investments Total Cost|537465|451899
136280|706|Other Investments Total Book Value|537465|451899
136281|702|LOCAL 234 BUILDING CORP.|537465|451899
118752|701|AMERICAN - CAPITAL WORLD BOND FUND CLASS A|10000|435620
118750|701|AMERICAN - FUNDAMENTAL INVESTORS|69930|435620
118751|701|AMERICAN MUTUAL FUND CLASS A|20369|435620
118753|701|AMERCIAN - CAPITAL INCOME BUILDER|20487|435620
118754|701|AMERICAN - INTERNATIONAL GROWTH & INCOME FUND|29265|435620
118755|701|AMERICAN - NEW WORLD FUND CLASS A|29265|435620
118756|701|AMERICAN - INCOME FUND OF AMERICA|49317|435620
118757|701|AMRICAN - CAPITAL WORLD GROWTH & INCOME FUND|116450|435620
118758|703|Marketable Securities Total Cost|388967|435620
118759|704|Marketable Securities Total BookValue|388967|435620
118760|702|N/A|0|435620
118749|701|AMERICAN - GROWTH FD OF AMERICA|43884|435620
127106|702|N/A|0|446791
127105|701|N/A|0|446791
120888|701|EVERGREEN UTILITY AND TELECOMMUNICATIONS FUND|51302|436482
120893|701|LOOMIS SAYLES STRATEGIC INCOME FUND|88167|436482
120897|703|Marketable Securities Total Cost|645104|436482
120898|704|Marketable Securities Total BookValue|594535|436482
120892|701|JOHN HANCOCK LIFESTYLE FUND|43948|436482
120886|701|BLACKROCK GLOBAL FUND|58522|436482
120889|701|FRANKLIN UTILITIES FUND|31832|436482
120890|701|FRANKLIN INCOME FUND|40215|436482
120891|701|GE TOTAL RETURN FUND|57736|436482
120894|701|LORD ABBETT SHORT FUND|62205|436482
120895|701|LORD ABBETT BOND FUND|62349|436482
120896|701|PIMCO TOTAL RETURN FUND|33673|436482
120899|702|N/A|0|436482
120887|701|DELAWARE DIVERSIFIED FUND|64270|436482
138958|703|Marketable Securities Total Cost|0|460863
138959|704|Marketable Securities Total BookValue|0|460863
138960|705|Other Investments Total Cost|0|460863
138961|706|Other Investments Total Book Value|0|460863
134217|706|Other Investments Total Book Value||450925
134213|703|Marketable Securities Total Cost|432788|450925
134214|704|Marketable Securities Total BookValue|415128|450925
134215|701|Vanguard Star Funds|415128|450925
134216|705|Other Investments Total Cost||450925
129366|703|Marketable Securities Total Cost|0|448582
129367|704|Marketable Securities Total BookValue|0|448582
129368|701|N/A|0|448582
129369|705|Other Investments Total Cost|0|448582
129370|706|Other Investments Total Book Value|0|448582
129371|702|N/A|0|448582
136091|701|N/A|0|451770
136092|701|N/A|0|451770
136093|701|N/A|0|451770
136094|702|N/A|0|451770
116490|701|WELLS FARGO CAP TR III - 4,000 SHARES|100000|430975
116489|701|MORGAN STANLEY CAP TR III - 4,000 SHARES|100000|430975
116491|701|USB CAPITAL VII - 100 SHARES|25000|430975
116492|701|MORGAN STANLEY CAP TR VI - 4,000 SHARES|100000|430975
116493|701|BELL SOUTH - 4,000 SHARES|100000|430975
116494|701|COUNTRYWIDE FIN CAP V - 2,000 SHARES|50000|430975
116495|703|Marketable Securities Total Cost|475000|430975
116496|704|Marketable Securities Total BookValue|475000|430975
116497|702|N/A|0|430975
117085|701|N/A|0|432564
117086|702|N/A|0|432564
121036|701|N/A|0|436600
121037|702|N/A|0|436600
130347|701|N/A|0|448953
130348|702|N/A|0|448953
128254|703|Marketable Securities Total Cost||447895
