OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
13874|L&N FEDERAL CREDIT UNION|41177|0|11080|0|30097|436010
11566|BANK OF AMERICA|109732|0|948|0|108784|405878
13528|N/A|0|0|0|0|0|429284
13557|US BANK|25000|0|0|0|25000|430974
15414|NONE|0|0|0|0|0|451955
13498|NONE|0|0|0|0|0|427390
13499|NONE|0|0|0|0|0|427456
13520|CENTRAL TRADES LABOR COUNCIL|262|0|0|0|262|428806
13529|PNC BANK -LINE OF CREDIT|50599|0|2465|0|48134|429668
13530|NE DISTRICT COUNCIL H & W|43500|0|0|0|43500|429668
13531|UFCW INTERNATIONAL UNION|100221|0|24000|0|76221|429668
13535|HERGET BANK|89784|0|35576|0|54208|430597
13544|National APWU|0|224000|162162|0|61838|430726
13549|FORD MOTOR CORP.|111303|0|27150|0|84153|430815
13550|GMAC|0|41420|3762|0|37658|430860
13551|Keith Hawthorne Ford of Charlotte|0|32562|32562|0|0|430875
13552|NONE|0|0|0|0|0|430893
13553|NONE|0|0|0|0|0|430938
13555|Keybank National Assoc.|0|46216|2217|0|43999|430969
15419|GMAC|62041|0|17985|12314|31742|452002
13558|US BANK|12500|0|0|0|12500|430974
13559|US Bank|10665|0|3169|0|7496|431001
13560|IBEW Visa|0|12811|12210|0|601|431001
13562|Credit Line Payable|0|0|0|0|0|431040
13573|ELECTRICAL FEDERAL CU|96378|0|29308|0|67070|431165
13574|Avaya Phone|13635|0|13635|0|0|431423
13575|Copier|1855|0|1855|0|0|431423
13583|CHRYSLER-2006 TOWN & COUNTRY|7817|0|5455|0|2362|431568
13584|CITIZENS-2007 CHEVY IMPALA|10186|0|3562|0|6624|431568
13585|BK OF AMERICA-2005 CARAVAN|6279|0|5391|0|888|431568
13586|FORD CREDIT-2007 EXPLORER|18251|0|6637|0|11614|431568
13594|LABOR MGMT COOP TRUST|7391|0|0|0|7391|431686
13598|VEHICLE LOANS|25417|0|19849|3331|2237|431901
13599|Credential Leasing Corp|5682|0|3980|0|1702|432041
13600|BSFS Equipment Leasing|8781|0|5937|0|2844|432041
13601|Power Net Credit Union|107898|64284|25127|0|147055|432041
13602|Yale Mortgage Corporation|0|204750|2348|0|202402|432041
13607|FORD MOTOR CREDIT CORP|25654|0|9412|0|16242|432129
13613|POWERNET BANK - AUTO|23415|0|6924|0|16491|432164
13614|INTERNATIONAL LOAN|619691|0|0|0|619691|432168
13615|INTERNATIONAL PER CAPITA|573159|0|0|0|573159|432168
13617|None|0|0|0|0|0|432218
13619|UA Loan|38550|0|9300|29250|0|432478
13620|Building Mortgage|882781|0|59093|0|823688|432478
13625|Desert Community Bank - 2009 Malibu|9469|0|6572|0|2897|432768
13627|Ford Credit|17523|0|5460|0|12063|432776
13632|District 57 Lodge|5000|0|5000|0|0|432993
13633|NONE|0|0|0|0|0|433108
13634|Automobile Loan|19368|0|10998|0|8370|433111
13635|WEST COAST BANK|441798|0|57249|0|384549|433115
13636|Ford Motor Credit Co.|3765|0|3765|0|0|433175
13637|Reliable Financial Corp.|12936|0|3915|0|9021|433175
13638|N/A|0|0|0|0|0|433177
13639|FORD CREDIT|0|272335|58703|0|213632|433180
13643|None|0|0|0|0|0|433286
