OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
616222|1201|ROYALTY|2016-07-27|26752|2263068|649202
583892|1201|REFUND OF DUES|2016-10-25|94|2153523|633781
584209|1201|Share of Occupancy Costs|2017-01-26|6169|2154672|634338
584923|1201|Advertising Grant|2016-11-29|20800|2158770|636159
587517|1201|ORGANIZER SUBSIDY|2016-08-23|14858|2169108|638628
646652|1201|Royalties|2017-07-11|15096|2381720|670722
646653|1201|Royalties|2017-07-17|16223|2381720|670722
646654|1201|Royalties|2017-07-31|8845|2381720|670722
606176|1201|REIMBURSEMENT FOR CLERICAL SERVICES & SUPPLIES|2016-03-02|9037|2226324|642967
606177|1201|SAME.|2016-03-23|9037|2226324|642967
606178|1201|SAME.|2016-05-04|9037|2226324|642967
606179|1201|SAME|2016-06-21|18074|2226324|642967
606180|1201|SAME.|2016-08-24|18074|2226324|642967
606181|1201|SAME.|2016-10-12|18075|2226324|642967
606182|1201|SAME.|2016-11-21|9037|2226324|642967
606183|1201|SAME.|2016-12-14|9037|2226324|642967
606184|1201|SAME.|2017-01-25|9037|2226324|642967
606185|1201|ORGANIZING ASSISTANCE.|2016-02-03|8000|2226325|642967
606186|1201|SAME.|2016-03-09|8000|2226325|642967
606187|1201|SAME.|2016-04-06|8000|2226325|642967
606188|1201|SAME|2016-05-11|8000|2226325|642967
606189|1201|SAME.|2016-06-10|8000|2226325|642967
606190|1201|SAME.|2016-07-06|8000|2226325|642967
606191|1201|SAME.|2016-08-03|8000|2226325|642967
606192|1201|SAME.|2016-09-07|8000|2226325|642967
606193|1201|SAME.|2016-10-05|8000|2226325|642967
606194|1201|SAME.|2016-11-08|8000|2226325|642967
606195|1201|SAME.|2016-12-07|8000|2226325|642967
606196|1201|SAME.|2017-01-11|8000|2226325|642967
615461|1201|Convention Registrations|2016-03-31|13350|2259353|649173
615462|1201|Convention Registrations|2016-04-30|25600|2259353|649173
615463|1201|Convention Registrations|2016-05-31|6350|2259353|649173
615464|1201|Convention Registrations|2016-09-08|16472|2259354|649173
615465|1201|Reilief Fund Contribution|2016-10-21|10000|2259355|649173
615466|1201|Reimbursement of Salaries and Benefits|2016-12-01|7802|2259356|649173
615467|1201|Convention Registrations|2016-03-29|5250|2259357|649173
615468|1201|Reilief Fund Contribution|2016-10-27|5000|2259357|649173
615469|1201|Reimbursement of Salaries and Benefits|2016-03-23|6000|2259358|649173
615470|1201|Reimbursement of Salaries and Benefits|2016-05-02|6000|2259358|649173
615471|1201|Reimbursement of Salaries and Benefits|2016-05-19|6000|2259358|649173
615472|1201|Reimbursement of Salaries and Benefits|2016-06-23|6000|2259358|649173
615473|1201|Reimbursement of Salaries and Benefits|2016-07-19|6000|2259358|649173
615474|1201|Reimbursement of Salaries and Benefits|2016-08-19|6000|2259358|649173
615475|1201|Reimbursement of Salaries and Benefits|2016-09-19|6000|2259358|649173
615476|1201|Reimbursement of Salaries and Benefits|2016-10-24|6000|2259358|649173
615477|1201|Reimbursement of Salaries and Benefits|2016-11-28|6000|2259358|649173
