OID|INV_TYPE|NAME|AMOUNT|RPT_ID
297070|701|PIMCO SHORT TERM FUND|44465|667115
297061|704|Marketable Securities Total BookValue|828298|667115
297062|701|EATON VANCE BD FUND CL A|51464|667115
297063|701|EATON VANCE FLTG RATE FUND CL I|101436|667115
297064|701|JANUS FLEXIBLE BD FUND CL I|64201|667115
297065|701|LOOMIS SAYLES FDS II INVT GRADE BD FD CL Y|112897|667115
297066|701|NATIXIS LOOMIS SAYLES HIGH INCOME FUND CL A|88484|667115
297067|701|PIMCO FDS PAC INVT MGMT SER GNM FD INSTL CL|65543|667115
297068|701|GATEWAY FUND CL A|93004|667115
297069|701|LORD ABBETT INVT TR CONVERTIBLE FUND CL A|101493|667115
297071|705|Other Investments Total Cost||667115
297072|706|Other Investments Total Book Value||667115
297060|703|Marketable Securities Total Cost|844519|667115
286515|703|Marketable Securities Total Cost|500000|654377
286516|704|Marketable Securities Total BookValue|500000|654377
286517|701|VANGUARD BOND INDEX FUND INC|250000|654377
286518|701|VANGUARD FIXED INCOME SECURITIES FUND|250000|654377
286519|705|Other Investments Total Cost|0|654377
286520|706|Other Investments Total Book Value|0|654377
286521|702|NONE|0|654377
287316|701|JP Morgan Chase Due 11/30/27|130285|655540
287310|704|Marketable Securities Total BookValue|1782167|655540
287311|701|Fed HM LN MTG Corp 1% due 12/30/24|195717|655540
287312|701|Fed HM LN MTG Corp 1% due 10/27/28|133850|655540
287313|701|UST INFL .625% due 1/15/24|127513|655540
287314|701|General Electric 5.25% due 12/6/17|193124|655540
287315|701|Verizon Communications 2.2625% due 8/15/20|138282|655540
287317|701|SIT Government Bond Fund|176580|655540
287318|701|Vanguard Investment Grade Fund|177785|655540
287319|701|Sch Treasury Obligations|101482|655540
287320|705|Other Investments Total Cost|882298|655540
287321|706|Other Investments Total Book Value|882298|655540
287322|702|Sheet Metal Workers #9 Building Association|882298|655540
287309|703|Marketable Securities Total Cost|1893287|655540
289460|703|Marketable Securities Total Cost|0|656470
289461|704|Marketable Securities Total BookValue|0|656470
289462|705|Other Investments Total Cost|0|656470
289463|706|Other Investments Total Book Value|0|656470
312456|703|Marketable Securities Total Cost||684650
312457|704|Marketable Securities Total BookValue||684650
312458|705|Other Investments Total Cost||684650
312459|706|Other Investments Total Book Value||684650
296977|703|Marketable Securities Total Cost||667078
296978|704|Marketable Securities Total BookValue||667078
296979|705|Other Investments Total Cost||667078
296980|706|Other Investments Total Book Value||667078
301092|703|Marketable Securities Total Cost|0|669672
301093|704|Marketable Securities Total BookValue|0|669672
301094|701|N/A|0|669672
301095|705|Other Investments Total Cost|1361665|669672
301096|706|Other Investments Total Book Value|1361665|669672
301097|702|Amal. Bk of New York - ComStk (Not sold to public)|1314689|669672
306253|703|Marketable Securities Total Cost|167000|674101
306254|704|Marketable Securities Total BookValue|167000|674101
306255|705|Other Investments Total Cost||674101
306256|706|Other Investments Total Book Value||674101
301787|703|Marketable Securities Total Cost||670151
301788|704|Marketable Securities Total BookValue||670151
301789|705|Other Investments Total Cost||670151
301790|706|Other Investments Total Book Value||670151
349400|703|Marketable Securities Total Cost|1989799|727039
349401|704|Marketable Securities Total BookValue|2584371|727039
349402|705|Other Investments Total Cost|297943|727039
349403|706|Other Investments Total Book Value|297943|727039
292329|703|Marketable Securities Total Cost|0|659014
292330|704|Marketable Securities Total BookValue|0|659014
292331|705|Other Investments Total Cost|0|659014
292332|706|Other Investments Total Book Value|0|659014
292399|703|Marketable Securities Total Cost|1601010|659093
292400|704|Marketable Securities Total BookValue|1674361|659093
292401|701|BLACKROCK FUNDS II MULTI ASSET INCOME PORT|564052|659093
292402|701|JOHN HANCOCK III DISCIPLINED VALUE CL A|268838|659093
292403|701|JOHN HANCOCK FDS II GLOBAL ABSOLUTE RETURN|400955|659093
292404|701|JOHN HANCOCK FUNDS II STRATEGIC INCOME OPPTYS|440516|659093
292405|705|Other Investments Total Cost||659093
292406|706|Other Investments Total Book Value||659093
291062|703|Marketable Securities Total Cost||657539
291063|704|Marketable Securities Total BookValue||657539
291064|705|Other Investments Total Cost||657539
291065|706|Other Investments Total Book Value||657539
292110|703|Marketable Securities Total Cost|2863193|658917
292111|704|Marketable Securities Total BookValue|2833452|658917
292112|701|Apple, Inc. 1.3%|199961|658917
292113|701|Apple, Inc. 1.7%|250591|658917
292114|701|Capital One Bank 1.4%|200013|658917
292115|705|Other Investments Total Cost|0|658917
292116|706|Other Investments Total Book Value|0|658917
292858|703|Marketable Securities Total Cost||660450
292859|704|Marketable Securities Total BookValue||660450
292860|705|Other Investments Total Cost|85000|660450
292861|706|Other Investments Total Book Value|61132|660450
293907|703|Marketable Securities Total Cost|0|663557
293908|704|Marketable Securities Total BookValue|0|663557
293909|705|Other Investments Total Cost|0|663557
293910|706|Other Investments Total Book Value|0|663557
304656|705|Other Investments Total Cost|530786|671952
304654|703|Marketable Securities Total Cost||671952
304657|706|Other Investments Total Book Value|530786|671952
304655|704|Marketable Securities Total BookValue||671952
288657|703|Marketable Securities Total Cost|314858|656135
288658|704|Marketable Securities Total BookValue|314858|656135
288659|701|AMERICAN FDS - GRWTH FD OF AMERICA|41878|656135
288660|701|AMERICAN FDS - FUNDAMENTAL INVESTORS|61010|656135
288661|701|AMERICAN FDS - CAPITAL WORLD GRWTH & INCOME FD|70981|656135
288662|701|AMERICAN FDS - CAPITAL INCOME BUILDER |59451|656135
288663|701|AMERICAN FDS - INT'L GRWTH & INC FD|25757|656135
288664|701|AMERICAN FDS - BALANCED CLASS A FD|33333|656135
288665|701|CITIZENS INVESTMENTS CASH EQUIVALENTS|22448|656135
288666|705|Other Investments Total Cost||656135
288667|706|Other Investments Total Book Value||656135
293824|703|Marketable Securities Total Cost||663435
293825|704|Marketable Securities Total BookValue||663435
293826|705|Other Investments Total Cost||663435
293827|706|Other Investments Total Book Value||663435
287599|703|Marketable Securities Total Cost|419754|655753
287600|704|Marketable Securities Total BookValue|462791|655753
287601|701|DELEWARE|26822|655753
287602|701|BALANCE SHEET STRENGTH FUND|45185|655753
287603|701|BLACKROCK EQUITY FUND|52267|655753
287604|701|FRANKLIN RISING FUND|46344|655753
287605|701|FT 6252 DIVIDEND FUND|52213|655753
287606|701|FD 5912 HIGH DIVIDENT FUND|54136|655753
287607|701|FT 5924 RICHARD FUND|53259|655753
287608|701|FRANKLIN INCOME FUND|31696|655753
287609|701|BLACKROCK GLOBAL FUND|70424|655753
287610|705|Other Investments Total Cost|0|655753
287611|706|Other Investments Total Book Value|0|655753
287612|702|NONE|0|655753
299953|703|Marketable Securities Total Cost|105343|669059
299954|704|Marketable Securities Total BookValue|111919|669059
299955|701|VANGUARD TOTAL INTL BOND|9406|669059
299956|701|VANGUARD SHORT TERM BOND|8701|669059
299957|701|VANGUARD FTSE DEVELOPED MARKETS|25211|669059
299958|701|VANGUARD EMERGING MARKETS |6611|669059
299959|701|VANGUARD S&P 500 INDEX|39982|669059
299960|701|VANGUARD EXTENDED MARKET|8715|669059
299961|705|Other Investments Total Cost||669059
299962|706|Other Investments Total Book Value||669059
304392|703|Marketable Securities Total Cost|1075467|671805
304393|704|Marketable Securities Total BookValue|1075467|671805
304394|701|Vanguard Star Fund|1075467|671805
304395|705|Other Investments Total Cost||671805
304396|706|Other Investments Total Book Value||671805
294376|703|Marketable Securities Total Cost||664215
294377|704|Marketable Securities Total BookValue||664215
294378|705|Other Investments Total Cost||664215
294379|706|Other Investments Total Book Value||664215
307516|703|Marketable Securities Total Cost|50000|679458
307517|704|Marketable Securities Total BookValue|50000|679458
307518|701|COUNTRYWIDE FIN CAP V - 2,000 SHARES|50000|679458
307519|705|Other Investments Total Cost||679458
307520|706|Other Investments Total Book Value||679458
293805|703|Marketable Securities Total Cost|0|663370
293806|704|Marketable Securities Total BookValue|0|663370
293807|705|Other Investments Total Cost|0|663370
293808|706|Other Investments Total Book Value|0|663370
291752|703|Marketable Securities Total Cost|989543|658643
291753|704|Marketable Securities Total BookValue|989543|658643
291754|701|MERRILL LYNCH SPECIAL ACCOUNT|522133|658643
291755|701|MERRILL LYNCH SERVICE AWARD ACCOUNT|467410|658643
291756|705|Other Investments Total Cost||658643
291757|706|Other Investments Total Book Value||658643
287517|703|Marketable Securities Total Cost|873174|655719
287518|704|Marketable Securities Total BookValue|895296|655719
287519|701|Unit FT SR Float RT 222T|50500|655719
287520|701|Ishares MSCI Euro Financial|50462|655719
287521|701|Unit FT European Deep Value Dividend|78211|655719
287522|701|Unit FT Sabrient Bakers Dozen Aug 2016|82537|655719
287523|701|Unit FT Sabrient Forward Looking|99169|655719
287524|701|Unit Invesco Morgan Stanley Stocks for 2018|160190|655719
287525|705|Other Investments Total Cost||655719
287526|706|Other Investments Total Book Value||655719
299895|705|Other Investments Total Cost|157547|669010
299893|703|Marketable Securities Total Cost||669010
299896|706|Other Investments Total Book Value|157547|669010
299897|702|CERTIFICATE OF DEPOSIT|28692|669010
299898|702|CERTIFICATE OF DEPOSIT|32712|669010
299899|702|CERTIFICATE OF DEPOSIT|32568|669010
299900|702|CERTIFICATE OF DEPOSIT|63575|669010
299894|704|Marketable Securities Total BookValue||669010
307003|703|Marketable Securities Total Cost||677417
307004|704|Marketable Securities Total BookValue||677417
307005|705|Other Investments Total Cost||677417
307006|706|Other Investments Total Book Value||677417
296466|703|Marketable Securities Total Cost||666668
296467|704|Marketable Securities Total BookValue||666668
296468|705|Other Investments Total Cost||666668
296469|706|Other Investments Total Book Value||666668
304689|703|Marketable Securities Total Cost||671962
304690|704|Marketable Securities Total BookValue||671962
304691|705|Other Investments Total Cost||671962
304692|706|Other Investments Total Book Value||671962
293275|703|Marketable Securities Total Cost||662098
293276|704|Marketable Securities Total BookValue||662098
293277|705|Other Investments Total Cost|3474|662098
293278|706|Other Investments Total Book Value|3474|662098
293279|702|PBF Energy Stoke|3474|662098
306730|702|Minneapolis Labor Temple Association Stock|23750|676441
306726|704|Marketable Securities Total BookValue|356077|676441
306727|701|Union Bank & Trust CD|356077|676441
306728|705|Other Investments Total Cost|23800|676441
306729|706|Other Investments Total Book Value|23800|676441
306725|703|Marketable Securities Total Cost|356077|676441
303132|703|Marketable Securities Total Cost||670938
303133|704|Marketable Securities Total BookValue||670938
303134|705|Other Investments Total Cost||670938
303135|706|Other Investments Total Book Value||670938
300449|703|Marketable Securities Total Cost||669311
300450|704|Marketable Securities Total BookValue||669311
300451|705|Other Investments Total Cost||669311
300452|706|Other Investments Total Book Value||669311
292160|705|Other Investments Total Cost||658924
292154|703|Marketable Securities Total Cost||658924
292161|706|Other Investments Total Book Value||658924
292155|704|Marketable Securities Total BookValue|42814|658924
292156|701|Principal capital Appreciation Class A|9395|658924
292157|701|Principal Real Estate Sec FD CL A|11849|658924
292158|701|Principal gov & High Quality Bond Class|6355|658924
292159|701|179.151 American Funds Short Term Bond|6455|658924
312995|703|Marketable Securities Total Cost|27715588|685517
312996|704|Marketable Securities Total BookValue|27715558|685517
312997|701|LORD ABBETT SHORT DURATION INCOME FUND A|3218332|685517
312998|701|METROPOLITAN WEST INTERMEDIATE BOND FUND|3832874|685517
